azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
35,60,6200,500,4000,"[[0.008264483268028137, -0.0021481496629884187, -0.000530303199222259, 0.0002483595380831656], [-0.0021481482575933138, 0.008145238097541103, 0.0009019844111791008, 0.0008945916177863595], [0.0005301738018699813, -0.0009024946155815128, -0.0009200325330356346, 0.007871744446871306], [0.00024864778516818265, 0.0008940802802132307, -0.00787181164109691, -0.0008007873814887359]]","[[ 1.         -0.25992547 -0.06416653  0.03005143]
 [-0.2599253   0.98557137  0.10913984  0.10824532]
 [ 0.06415087 -0.10920158 -0.11132366  0.95247872]
 [ 0.03008631  0.10818345 -0.95248685 -0.09689503]]","[6.417397502376529e-20, 1.229392204749172e-19]","[3.1928126187661723e-19, -1.1757687283503326e-19]","[0.008512842801476945, 0.008016123725581028]",,,"[2.398548948742881e-25, 2.405821913019378e-25]","[2.385146898772746e-25, 2.391889100337196e-25]","[9.503335148965405e-27, 8.77431127157478e-27]","[8.159587664684186e-27, 7.175681875281736e-27]","[4.667023780350465e-26, 4.605538436101874e-26]","[4.61519802929399e-26, 4.56939279649189e-26]"
36,60,6200,500,4000,"[[0.008900007162353667, -0.0019093753541258329, -0.000610554349539118, 0.00032343058230338323], [-0.0019101931658500114, 0.008695666424225973, 0.0012902593259441501, 0.0012068485957055489], [0.0006016297089909241, -0.001301458633965189, -0.00015120207274907995, 0.008586753225504241], [0.00033511484695965835, 0.0011934548157776358, -0.00858907298318304, 5.3123860912962135e-05]]","[[ 1.         -0.21453638 -0.06860156  0.03634049]
 [-0.21462827  0.97704038  0.14497284  0.13560086]
 [ 0.06759879 -0.14623119 -0.01698898  0.96480296]
 [ 0.03765332  0.13409594 -0.9650636   0.00596897]]","[1.0665902357007677e-19, -1.0455906124421877e-19]","[1.0309014623391928e-19, -3.3814428848004525e-20]","[0.009223437739635843, 0.008576576575381228]",,,"[2.446253074332371e-25, 2.455188345953881e-25]","[2.436594720345804e-25, 2.442165528307525e-25]","[9.655494398624718e-27, 8.578776240559441e-27]","[8.100444523906574e-27, 6.997703793968594e-27]","[4.70660383315749e-26, 4.633511772955424e-26]","[4.654149252461724e-26, 4.598506851264996e-26]"
37,60,6200,500,4000,"[[0.012205515606267009, 0.0007041464107602853, 0.00024765996714573037, -0.00013150686387606615], [0.0007016889178692526, 0.011789244062100943, 0.002237710770290193, 0.002213346295244633], [-0.0002584257667303542, -0.002283510832426337, 0.000111520515462554, 0.011968294985594251], [-0.00012369506048763947, 0.0021668604991239102, -0.011976715270680548, 0.0005276996331632793]]","[[ 1.          0.05769084  0.02029082 -0.01077438]
 [ 0.05748949  0.9658948   0.18333603  0.18133984]
 [-0.02117287 -0.18708844  0.0091369   0.98056447]
 [-0.01013436  0.17753125 -0.98125435  0.04323452]]","[-1.0529741425452884e-19, -2.6541144433493078e-20]","[-3.0789992638837424e-19, 3.5500636544061264e-19]","[0.012074008735817897, 0.01233702246342685]",,,"[2.499924258672263e-25, 2.535185310528334e-25]","[2.518431324497227e-25, 2.540523305727851e-25]","[1.177309444215167e-26, 9.392343926170556e-27]","[8.019312286933998e-27, 6.42006738075934e-27]","[4.893462364415859e-26, 4.80076847915983e-26]","[4.82859782832431e-26, 4.758854390557861e-26]"
38,60,6200,500,4000,"[[0.013553594968711533, 0.0008667826811165937, 0.0005998866143573025, -0.00039652399468461524], [0.0008644531522456166, 0.013297651334789443, 0.0016027373965940036, 0.0019448676560404271], [-0.0006054391106750886, -0.0016533844100399694, -0.002586586342595363, 0.013167155225515651], [-0.00039315604480531395, 0.0019030581489923475, -0.01317316199745135, -0.0023307238097160913]]","[[ 1.          0.06395223  0.04426033 -0.029256  ]
 [ 0.06378036  0.98111618  0.11825183  0.1434946 ]
 [-0.04467    -0.12198862 -0.19084135  0.97148803]
 [-0.02900751  0.14040984 -0.97193121 -0.17196351]]","[2.3637364011412805e-19, 4.438647677871296e-21]","[-6.376892925461835e-20, -1.737064508487318e-20]","[0.013157070966864257, 0.013950118955801758]",,,"[2.417928630020897e-25, 2.45167453980603e-25]","[2.447804698655998e-25, 2.4718529340503e-25]","[1.257172397263385e-26, 1.063048311984493e-26]","[7.165697692439214e-27, 5.724506820985329e-27]","[4.894788902412371e-26, 4.833569416138007e-26]","[4.825173904751301e-26, 4.782697343805554e-26]"
39,60,6200,500,4000,"[[0.013859056646230234, -0.00017188327371702068, 0.0004951823220536231, -0.00037941354394110624], [-0.00017377177130498307, 0.013713840334011806, 0.0010903315354799047, 0.001557788226526906], [-0.0005019982728632763, -0.0011282056242074114, -0.004418763334142223, 0.013080842175736972], [-0.00036946601294823324, 0.0015303680331069987, -0.013083793806304315, -0.0042735893048250805]]","[[ 1.         -0.01240223  0.03572987 -0.02737658]
 [-0.0125385   0.98952192  0.07867285  0.11240218]
 [-0.03622168 -0.08140566 -0.31883579  0.94384795]
 [-0.02665881  0.11042368 -0.94406092 -0.30836076]]","[3.298567602574383e-19, -1.2487621114465695e-19]","[1.6690922619029662e-19, -3.5100307695989974e-19]","[0.013479643094950866, 0.014238470182419973]",,,"[2.38255957956918e-25, 2.407371630045271e-25]","[2.414143668092382e-25, 2.432938147452374e-25]","[1.251272857708768e-26, 1.114921346192279e-26]","[6.432391190849905e-27, 5.283850877731184e-27]","[4.887622538538274e-26, 4.848770343979661e-26]","[4.819971656775407e-26, 4.795286390008992e-26]"
40,60,6200,500,4000,"[[0.013748788201992015, -0.0017458181935635989, 0.00021518312394170892, -0.0002609090439919162], [-0.0017473996389897103, 0.013674167482015763, 0.0007303034951826222, 0.001184957606515589], [-0.00022871042696235108, -0.0007449748903233548, -0.005622806069856217, 0.012399527867026555], [-0.00023779090247753588, 0.001173437601127178, -0.012400158508451917, -0.005548204775152098]]","[[ 1.         -0.12697979  0.01565106 -0.01897688]
 [-0.12709481  0.99457256  0.05311766  0.08618633]
 [-0.01663495 -0.05418477 -0.40896739  0.90186333]
 [-0.01729541  0.08534844 -0.9019092  -0.40354137]]","[-5.1662349489655744e-20, 1.4987651467290257e-19]","[-3.056775783129233e-19, 8.199467194344678e-20]","[0.01348787915065735, 0.01400969723835711]",,,"[2.366605374226124e-25, 2.382410694596554e-25]","[2.396312594683575e-25, 2.409043253918366e-25]","[1.208092371685784e-26, 1.122531374090401e-26]","[5.777037807137225e-27, 4.921171582715333e-27]","[4.878302691982509e-26, 4.853511934342794e-26]","[4.815944393815113e-26, 4.801122085336859e-26]"
41,60,6200,500,4000,"[[0.013514668453384737, -0.003571503117531756, -0.0001300340324318771, -0.00010979923249980998], [-0.0035732819750998587, 0.013474989237878841, 0.000533979572369628, 0.0008772337739966106], [0.00010573292161241422, -0.0005228925887466222, -0.006266859236836998, 0.011416037064688554], [-7.12440544947513e-05, 0.0008766681604505489, -0.01141577479354243, -0.00622722078299781]]","[[ 1.         -0.26426864 -0.0096217  -0.00812445]
 [-0.26440027  0.99706399  0.03951111  0.06490975]
 [ 0.00782357 -0.03869074 -0.46370795  0.84471455]
 [-0.00527161  0.0648679  -0.84469514 -0.46077496]]","[-1.6573236724562111e-19, 2.760659137670634e-19]","[7.323063544718153e-20, -3.4943976979765603e-19]","[0.013404869213587366, 0.013624467678467438]",,,"[2.363165590657552e-25, 2.371622309161407e-25]","[2.389366657645983e-25, 2.39672258821797e-25]","[1.145632107080134e-26, 1.097429332443744e-26]","[5.179481589677279e-27, 4.571594588184175e-27]","[4.87338546508119e-26, 4.852629037863216e-26]","[4.818409929702923e-26, 4.803892967972988e-26]"
42,60,6200,500,4000,"[[0.013412354850987206, -0.005355030166922528, -0.0004989087856963811, 3.345333946396125e-05], [-0.005357843781765877, 0.013375439534016187, 0.0005192532026685618, 0.0007066603363610627], [0.00046053172605070786, -0.0004837677793392511, -0.006488591679473219, 0.010432694842715695], [8.830475927215983e-05, 0.000710506547460112, -0.010432753690316748, -0.006451783789890362]]","[[ 1.         -0.399261   -0.0371977   0.00249422]
 [-0.39947077  0.99724766  0.03871454  0.05268727]
 [ 0.03433638 -0.03606882 -0.48377722  0.77784214]
 [ 0.00658384  0.05297403 -0.77784653 -0.48103289]]","[2.1174819129710894e-19, -1.9130247112951518e-20]","[-8.853330723885372e-20, -1.4867802071306988e-19]","[0.013445808183131321, 0.013378901504239822]",,,"[2.369593230415222e-25, 2.372788028669661e-25]","[2.392663558092216e-25, 2.395424057556481e-25]","[1.088200758403964e-26, 1.056809519939403e-26]","[4.630338229118911e-27, 4.205324108894159e-27]","[4.902679760363334e-26, 4.862642892626671e-26]","[4.856244513105156e-26, 4.819045706477694e-26]"
43,60,6200,500,4000,"[[0.013292364807405924, -0.007370178397120373, -0.0009902110964516695, 0.0003199045751027484], [-0.007373920297986421, 0.013235235839215589, 0.0005940878642078739, 0.0003672438782012468], [0.0009387013165755466, -0.0005455956220171643, -0.005435902369940425, 0.009608279066436845], [0.0003827869319747993, 0.00036737299578864786, -0.009610573274508085, -0.005378942262902897]]","[[ 1.         -0.55446706 -0.07449473  0.02406679]
 [-0.55474856  0.99570212  0.04469392  0.02762818]
 [ 0.07061959 -0.04104579 -0.40894923  0.72284196]
 [ 0.0287975   0.0276379  -0.72301456 -0.40466406]]","[3.959772667423329e-20, 2.5064086353321434e-19]","[2.3141741948509415e-19, 3.7731774009866845e-19]","[0.013612269375098213, 0.012972460225241018]",,,"[2.381241170578037e-25, 2.379418076456271e-25]","[2.397696143323533e-25, 2.396524504498674e-25]","[9.773834908127686e-27, 9.704280455206276e-27]","[4.045257073644579e-27, 3.846670698397061e-27]","[4.859749516640634e-26, 4.834042635771605e-26]","[4.820156674833866e-26, 4.796384171599614e-26]"
44,60,6200,500,4000,"[[0.01326297247249858, -0.009432808659652642, -0.0011591285892857228, 0.000466782279284768], [-0.009436555772863838, 0.013189487322005214, 0.0006693963673287167, 7.079798248605821e-05], [0.0010980112528988953, -0.0006154656929975133, -0.0042262114631220335, 0.008266381443841982], [0.0005339760542470626, 6.0001557547609654e-05, -0.008270533179473133, -0.004152939438604731]]","[[ 1.         -0.71121377 -0.08739584  0.03519439]
 [-0.71149629  0.99445938  0.05047107  0.00533802]
 [ 0.08278772 -0.04640481 -0.31864738  0.62326763]
 [ 0.04026066  0.00452399 -0.62358066 -0.31312283]]","[7.706735810113847e-20, -7.771959969756478e-21]","[2.3307177742138468e-20, -4.9085250158500876e-20]","[0.013729754744308924, 0.01279619018624762]",,,"[2.395483492513012e-25, 2.390394564394868e-25]","[2.403660831713706e-25, 2.400736625845879e-25]","[8.472003967891346e-27, 8.655955349919365e-27]","[3.535912493719552e-27, 3.466778987283298e-27]","[4.790203165555209e-26, 4.788121223743792e-26]","[4.757726769530828e-26, 4.75678019951036e-26]"
