azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
35,60,6200,500,4000,"[[0.008264365070637048, -0.0021482988973368956, -0.0005295737328732528, 0.00024747808428858076], [-0.0021482975627417156, 0.00814501425923089, 0.000902646895366199, 0.0008955455571926959], [0.0005294443567827969, -0.000903157085706392, -0.0009200594960246521, 0.007871528266922292], [0.00024776631740458706, 0.0008950342314554643, -0.007871595490897908, -0.0008007087035578045]]","[[ 1.         -0.25994724 -0.06407918  0.0299452 ]
 [-0.25994708  0.98555838  0.10922157  0.10836229]
 [ 0.06406352 -0.1092833  -0.11132852  0.95246618]
 [ 0.02998008  0.10830042 -0.95247432 -0.0968869 ]]","[-6.625184046683135e-20, 6.562588035270515e-20]","[-3.599786627507281e-19, -1.6096014705294944e-19]","[0.008511843150291814, 0.008016886981984103]",,,"[2.398522462411131e-25, 2.405849301627927e-25]","[2.385120191232987e-25, 2.391916840669128e-25]","[9.503201819471251e-27, 8.774440048426278e-27]","[8.159453317471236e-27, 7.175784247689578e-27]","[4.66695455351734e-26, 4.605611969638691e-26]","[4.61512896406515e-26, 4.569466166269928e-26]"
36,60,6200,500,4000,"[[0.008899875944146467, -0.0019095433596040658, -0.0006098159601590129, 0.00032249931745516975], [-0.001910363292139985, 0.008695399411092437, 0.0012909416262244261, 0.001207700861627381], [0.0006008915651198297, -0.0013021401077009506, -0.0001512311701008728, 0.008586511841842642], [0.00033418344699223294, 0.0011943076352695318, -0.008588831644647653, 5.323055931413998e-05]]","[[ 1.         -0.21455842 -0.0685196   0.03623638]
 [-0.21465055  0.97702479  0.14505164  0.13569862]
 [ 0.06751685 -0.14630992 -0.0169925   0.96479006]
 [ 0.03754923  0.13419374 -0.96505072  0.00598105]]","[2.273911744290992e-19, 5.1327266127423726e-20]","[-9.658494950661016e-20, -3.44789071626562e-19]","[0.009222375256581015, 0.00857737662202181]",,,"[2.446229432239595e-25, 2.455213252965163e-25]","[2.436571159052965e-25, 2.44219050731128e-25]","[9.655372461702982e-27, 8.578881473205885e-27]","[8.100301862643026e-27, 6.997809002092693e-27]","[4.706539878382201e-26, 4.633579984696975e-26]","[4.654085372171477e-26, 4.598575034090096e-26]"
37,60,6200,500,4000,"[[0.012205382712505748, 0.0007039020946531509, 0.0002485542002334728, -0.00013241845336078688], [0.0007014403992953652, 0.01178874689383843, 0.0022386346767343354, 0.002214171459831843], [-0.0002593196972593987, -0.0022844315807096236, 0.00011145528887171325, 0.011967989469399556], [-0.00012460600688132492, 0.0021676882496247706, -0.011976412102787364, 0.0005279986896108993]]","[[ 1.          0.05767145  0.02036431 -0.01084918]
 [ 0.05746976  0.96586458  0.18341372  0.18140943]
 [-0.02124634 -0.18716591  0.00913165  0.98055012]
 [-0.0102091   0.17760101 -0.98124019  0.04325949]]","[-3.738805150364744e-19, -8.015501766580622e-20]","[-1.5784935356420069e-21, -2.6997466340162928e-20]","[0.01207296425257249, 0.012337801159149888]",,,"[2.499903413861716e-25, 2.535207394307639e-25]","[2.5184112717063e-25, 2.540543959361678e-25]","[1.177299865887751e-26, 9.39234077070361e-27]","[8.019167521824623e-27, 6.420201963160915e-27]","[4.893404621365871e-26, 4.800821868863995e-26]","[4.828540027493695e-26, 4.7589084454825e-26]"
38,60,6200,500,4000,"[[0.013553509999459715, 0.0008665828375068966, 0.0006008161011884232, -0.0003972606964688639], [0.0008642500846365291, 0.013297218205297327, 0.0016037252618816074, 0.0019459837966162886], [-0.0006063688386904963, -0.001654367194934806, -0.002586607661244952, 0.013166931480129837], [-0.0003938914639067216, 0.0019041781539764534, -0.013172941111286642, -0.002330396954301661]]","[[ 1.          0.06393789  0.04432919 -0.02931054]
 [ 0.06376578  0.98109037  0.11832546  0.14357785]
 [-0.04473888 -0.1220619  -0.19084412  0.97147761]
 [-0.02906195  0.14049336 -0.97192101 -0.17194048]]","[4.286677497816891e-20, 8.427721476812234e-20]","[-2.2239886921397136e-19, 1.0399745286921095e-20]","[0.013156249295828638, 0.013950770688333834]",,,"[2.41790581910421e-25, 2.451698896362408e-25]","[2.447782416846256e-25, 2.471875905490825e-25]","[1.257164997369084e-26, 1.0630445857952e-26]","[7.165602969424854e-27, 5.72461497687061e-27]","[4.894727862753814e-26, 4.833623239242025e-26]","[4.825112771656423e-26, 4.78275194332001e-26]"
39,60,6200,500,4000,"[[0.013859005938901945, -0.00017202915099478848, 0.0004960498385696755, -0.0003800680290048327], [-0.0001739201502383471, 0.013713519831753933, 0.001091258910623586, 0.0015590735933386436], [-0.0005028668164649521, -0.0011291258564879022, -0.004418758918449749, 0.01308069011530522], [-0.0003701187972098715, 0.00153165828101596, -0.0130836433568659, -0.004273315080975528]]","[[ 1.         -0.01241281  0.0357926  -0.0274239 ]
 [-0.01254925  0.98950241  0.07874006  0.11249534]
 [-0.03628448 -0.08147236 -0.31883664  0.94384043]
 [-0.02670601  0.11051718 -0.94405352 -0.30834211]]","[-9.79670861529956e-21, -1.0338445671988984e-19]","[7.73124423850671e-20, -8.527016029736348e-20]","[0.013478937902559229, 0.01423907396015508]",,,"[2.382536182052296e-25, 2.407396550354869e-25]","[2.414120680381332e-25, 2.432961905572811e-25]","[1.251268181374305e-26, 1.114916412164728e-26]","[6.43232811174859e-27, 5.283929883810814e-27]","[4.887561971063162e-26, 4.848824206540983e-26]","[4.819910909477095e-26, 4.795340977457564e-26]"
40,60,6200,500,4000,"[[0.013748763138720664, -0.0017459197321195285, 0.00021595593253966023, -0.0002615394693850434], [-0.001747503442342065, 0.013673956079246152, 0.0007311204730759443, 0.00118632565195575], [-0.0002294853107557565, -0.000745782676379369, -0.005622791231185405, 0.012399431549581784], [-0.00023841933856039442, 0.0011748111883440723, -0.012400061728231328, -0.005548003592607737]]","[[ 1.         -0.1269874   0.0157073  -0.01902276]
 [-0.12710259  0.994559    0.05317718  0.08628599]
 [-0.01669134 -0.05424362 -0.40896706  0.90185797]
 [-0.01734115  0.0854485  -0.9019038  -0.40352747]]","[1.862460223361743e-19, 3.909101092049046e-20]","[2.8636012354957444e-19, -3.171043135280405e-19]","[0.013487223661993225, 0.01401030260047855]",,,"[2.366581907947699e-25, 2.382435514594747e-25]","[2.396289481507847e-25, 2.409067116587243e-25]","[1.208090234464178e-26, 1.122526065468044e-26]","[5.7769961100471e-27, 4.921226294126324e-27]","[4.878244288134096e-26, 4.853565048715936e-26]","[4.815885745752791e-26, 4.801175821966357e-26]"
41,60,6200,500,4000,"[[0.013514662646092804, -0.003571573274206934, -0.00012936489603293717, -0.00011044305107588484], [-0.003573354638873898, 0.01347486800616425, 0.0005346659231922002, 0.0008786158335700749], [0.00010506039374207028, -0.0005235680693607995, -0.006266844980954834, 0.011415980290302302], [-7.188557150756121e-05, 0.0008780559133884668, -0.011415715459505558, -0.006227091113575476]]","[[ 1.         -0.26427395 -0.00957219 -0.00817209]
 [-0.26440576  0.99705545  0.03956191  0.06501204]
 [ 0.00777381 -0.03874074 -0.4637071   0.84471071]
 [-0.00531908  0.06497061 -0.84469112 -0.46076556]]","[-1.18138132000621e-19, 1.1893257342399985e-19]","[-1.1387546669962052e-19, -1.1391277952344733e-19]","[0.013404219587719715, 0.013625105689751235]",,,"[2.363142496173119e-25, 2.37164655104669e-25]","[2.389343885574725e-25, 2.396746029612084e-25]","[1.145632108795009e-26, 1.097424001667847e-26]","[5.17945496133152e-27, 4.571630574632635e-27]","[4.873330402666754e-26, 4.852680396008427e-26]","[4.818354608184449e-26, 4.803944827995395e-26]"
42,60,6200,500,4000,"[[0.013412366016612862, -0.005355080609871242, -0.0004983352675035279, 3.278280688987612e-05], [-0.005357897317992039, 0.013375381897543483, 0.0005198150420033043, 0.0007080085883848573], [0.0004599534893261763, -0.00048431753566240295, -0.006488589789785909, 0.010432663003806195], [8.763679018969269e-05, 0.0007118602614573999, -0.010432717477960292, -0.006451713127094353]]","[[ 1.         -0.39926443 -0.03715491  0.00244422]
 [-0.39947443  0.99724254  0.0387564   0.05278775]
 [ 0.03429324 -0.03610978 -0.48377667  0.77783912]
 [ 0.00653403  0.05307492 -0.77784318 -0.48102722]]","[-3.355943950452282e-19, 2.2189699436273865e-19]","[-8.171833828684891e-19, -3.067267530905133e-19]","[0.013445148816183253, 0.013379583202439196]",,,"[2.369570975596123e-25, 2.372811231626903e-25]","[2.392641608824138e-25, 2.39544655531575e-25]","[1.088202631676293e-26, 1.056804172755488e-26]","[4.630323105184e-27, 4.205346364662988e-27]","[4.902629340529094e-26, 4.862691129168347e-26]","[4.856193884519277e-26, 4.819094320117006e-26]"
43,60,6200,500,4000,"[[0.013292380183161723, -0.007370215140642419, -0.0009897245300957965, 0.0003191649550245551], [-0.007373960578778968, 0.013235253406876049, 0.0005945341221423718, 0.00036846960680240467], [0.0009382084912744019, -0.0005460298987995779, -0.005435897237659574, 0.009608276981055857], [0.0003820501836909614, 0.00036860361516696707, -0.00961056626037474, -0.005378939363206968]]","[[ 1.         -0.55446918 -0.07445804  0.02401112]
 [-0.55475095  0.99570229  0.04472744  0.02772036]
 [ 0.07058243 -0.04107841 -0.40894837  0.72284097]
 [ 0.02874204  0.02773044 -0.72301319 -0.40466337]]","[5.346183505228211e-20, 2.3673652691345393e-19]","[1.0792556119597178e-19, 7.67592047361959e-19]","[0.013611545130776205, 0.0129732152210746]",,,"[2.381220096568527e-25, 2.379439985499628e-25]","[2.39767536881391e-25, 2.396545801889634e-25]","[9.773864413619961e-27, 9.704233986605571e-27]","[4.045245563261203e-27, 3.846686116930905e-27]","[4.859704088569363e-26, 4.834087482516097e-26]","[4.820111051741384e-26, 4.796429304807546e-26]"
44,60,6200,500,4000,"[[0.01326298613584857, -0.009432841887683275, -0.001158733846581512, 0.00046599376447776456], [-0.009436592749386975, 0.013189544451419144, 0.0006697099170893132, 7.189822464401924e-05], [0.0010976089983653163, -0.0006157679865511518, -0.004226201377544943, 0.008266394501982221], [0.0005331905500874755, 6.11054395518887e-05, -0.008270541428258277, -0.004152972864991622]]","[[ 1.         -0.71121554 -0.08736598  0.03513491]
 [-0.71149835  0.99446266  0.05049466  0.00542097]
 [ 0.08275731 -0.04642755 -0.31864629  0.62326797]
 [ 0.0402014   0.00460722 -0.62358064 -0.31312502]]","[-8.036032176923441e-20, -7.448226182889846e-21]","[-3.764764321500972e-19, 3.8526282607301164e-19]","[0.01372897989285233, 0.012796992364404174]",,,"[2.395463759521384e-25, 2.390415029914581e-25]","[2.403641355714317e-25, 2.400756586389188e-25]","[8.47203525387641e-27, 8.65591605633449e-27]","[3.535904457266919e-27, 3.466788157810839e-27]","[4.790161831734699e-26, 4.788162765825757e-26]","[4.757685267566862e-26, 4.756821956130517e-26]"
