azi,aoi,svl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,wvl,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,,500,3500,"[[0.02364479003387646, -0.008398513942568814, 8.312431949692083e-08, -1.4505236202999975e-07], [-0.008398513942777651, 0.023644790033136964, 3.450435419404141e-08, 9.66329524854434e-08], [6.900138808322251e-08, 7.123787901674064e-08, -0.008660593879558658, -0.020335564239225532], [1.4028798742597366e-07, -4.4110240406637807e-08, 0.020335564239373865, -0.00866059388025237]]","[[ 1.00000000e+00 -3.55195116e-01  3.51554484e-06 -6.13464369e-06]
 [-3.55195116e-01  1.00000000e+00  1.45927937e-06  4.08686025e-06]
 [ 2.91824914e-06  3.01283619e-06 -3.66279162e-01 -8.60044188e-01]
 [ 5.93314583e-06 -1.86553741e-06  8.60044188e-01 -3.66279162e-01]]","[6.755682001305019e-19, -1.2628175738561442e-18]","[8.495791301490366e-19, -1.3355971126176716e-19]","[0.023644644968642377, 0.023644935073366284]",,,3000.0,"[2.349264875219558e-25, 2.349264592281405e-25]","[2.366618613990478e-25, 2.36661865276245e-25]","[1.830003630072654e-26, 1.830004297111573e-26]","[1.898810631461005e-26, 1.898809319589237e-26]","[3.418063740679727e-26, 3.418064225483322e-26]","[3.399493050943826e-26, 3.39949323308501e-26]"
1,60,,500,3500,"[[0.023653218750939627, -0.008348596875354983, 3.595521605079241e-05, 0.0001697801249240475], [-0.008348589923063247, 0.023643065972929533, 0.0003498070942585781, -0.0005723543694387935], [-3.575865132540742e-05, -0.00034963800843769985, -0.008761114625252553, -0.020319140530337905], [0.00017016307163914853, -0.000572559057372098, 0.02031913796699525, -0.008750961849946405]]","[[ 1.         -0.35295817  0.0015201   0.00717789]
 [-0.35295788  0.99957077  0.01478898 -0.02419774]
 [-0.00151179 -0.01478184 -0.37039841 -0.85904336]
 [ 0.00719408 -0.02420639  0.85904325 -0.36996918]]","[-4.90063047954857e-19, 6.144046729410217e-19]","[-4.674052580633675e-19, 2.949340079362928e-19]","[0.023822998862894535, 0.02348343861323129]",,,3000.0,"[2.351469753653834e-25, 2.349475526358103e-25]","[2.369348273686531e-25, 2.366457804179775e-25]","[1.845457558360212e-26, 1.820194506455127e-26]","[1.909836233631129e-26, 1.89312994958426e-26]","[3.427754963771353e-26, 3.415472076233182e-26]","[3.409180021108312e-26, 3.396812054473649e-26]"
2,60,,500,3500,"[[0.02368007872561171, -0.00819259422230849, 6.46487038992671e-05, 0.00031913331395831674], [-0.008192575316042068, 0.023641900495451187, 0.0006752988859650255, -0.001115484432698616], [-6.439836076211892e-05, -0.0006749735548893406, -0.009068976997152634, -0.020268786764553945], [0.0003196688294245837, -0.0011158201412231558, 0.02026877672498808, -0.009030798772993436]]","[[ 1.         -0.34596989  0.00273009  0.01347687]
 [-0.34596909  0.99838775  0.02851759 -0.04710645]
 [-0.00271952 -0.02850386 -0.38297917 -0.85594254]
 [ 0.01349948 -0.04712063  0.85594212 -0.38136692]]","[4.086715033912409e-19, 8.586556692660309e-19]","[1.2151834720237027e-19, 9.32676889098226e-20]","[0.023999212026504953, 0.023360945398935788]",,,3000.0,"[2.356440542688197e-25, 2.352055881442738e-25]","[2.375016323571577e-25, 2.368813272508272e-25]","[1.8674698814259e-26, 1.815717682988942e-26]","[1.926974146222413e-26, 1.892590516668899e-26]","[3.44760935612769e-26, 3.41902409563564e-26]","[3.42895710879364e-26, 3.400179736526912e-26]"
3,60,,500,3500,"[[0.023726314677862684, -0.007898660030289249, 7.875108567837927e-05, 0.0004241299508948482], [-0.007898655098277654, 0.023650580628430957, 0.0009428709984565051, -0.0015852042612973173], [-7.873066402218825e-05, -0.0009427127341820806, -0.009613992781529182, -0.020175522892482978], [0.0004242255812956043, -0.0015853229586169073, 0.02017551557657453, -0.009538258732611408]]","[[ 1.         -0.33290716  0.00331915  0.01787593]
 [-0.33290695  0.99680801  0.03973946 -0.06681207]
 [-0.00331828 -0.03973279 -0.4052038  -0.85034373]
 [ 0.01787996 -0.06681708  0.85034342 -0.40201181]]","[6.139454572402615e-19, -3.1479557509953804e-19]","[4.3001805053358747e-19, -5.682839358411466e-19]","[0.024150444615610125, 0.02330218471428222]",,,3000.0,"[2.365046776495502e-25, 2.357270715613194e-25]","[2.384533729070896e-25, 2.373961546273074e-25]","[1.898052503364895e-26, 1.816759247613672e-26]","[1.95198235336406e-26, 1.897446597363257e-26]","[3.485528275808677e-26, 3.429631013212417e-26]","[3.466772077288383e-26, 3.410517004047695e-26]"
4,60,,500,3500,"[[0.02380612337619538, -0.007389652092227604, 7.933374963768906e-05, 0.000449442777300804], [-0.007389644515023514, 0.023704169990100717, 0.0010746977914046674, -0.001865597839982793], [-7.922446379622031e-05, -0.0010748139556628032, -0.010494513974229739, -0.020015805939947708], [0.00044958661454972825, -0.0018655609316925727, 0.020015812610290173, -0.010392560588634851]]","[[ 1.         -0.31040972  0.00333249  0.01887929]
 [-0.3104094   0.99571735  0.04514375 -0.0783663 ]
 [-0.0033279  -0.04514863 -0.44083255 -0.84078393]
 [ 0.01888533 -0.07836475  0.84078421 -0.43654989]]","[8.545310138685826e-19, 3.2573899263138332e-19]","[1.4563009678772144e-18, 3.7067129967483077e-19]","[0.024255566140291545, 0.02335668058617929]",,,3000.0,"[2.379532375011792e-25, 2.365930363900039e-25]","[2.400243707691979e-25, 2.382786318931114e-25]","[1.942901548530743e-26, 1.824412378451239e-26]","[1.989998368056645e-26, 1.908716733235198e-26]","[3.569395441486174e-26, 3.453000525682779e-26]","[3.550596196187844e-26, 3.433545834643241e-26]"
5,60,,500,3500,"[[0.02341765593476094, -0.006535032046450118, -0.0003040405940605847, 0.00013258533989843953], [-0.006535011768025355, 0.023341467376113395, 0.0009361500208367484, -0.0016049450931645763], [0.0003042786605831003, -0.0009360969188412471, -0.011684055574967704, -0.019190338700982062], [0.00013303793371285467, -0.0016050586319576463, 0.019190332337349233, -0.011607867019284578]]","[[ 1.         -0.27906431 -0.01298339  0.00566177]
 [-0.27906345  0.99674653  0.03997625 -0.06853569]
 [ 0.01299356 -0.03997398 -0.49894215 -0.81948162]
 [ 0.0056811  -0.06854053  0.81948135 -0.49568868]]","[9.35526104070817e-19, -2.1094471729845152e-19]","[-1.1734523295789174e-18, 9.132574128167353e-19]","[0.023550241261838727, 0.023285070582186203]",,,3000.0,"[2.401066178155466e-25, 2.378949569420732e-25]","[2.422960299144069e-25, 2.395595646632069e-25]","[2.000621132281072e-26, 1.848922048272036e-26]","[2.040989780033323e-26, 1.941364653536748e-26]","[3.753800168663594e-26, 3.503140833942846e-26]","[3.735078691223549e-26, 3.483797505588077e-26]"
6,60,,500,3500,"[[0.02192167417137018, -0.006553054992922226, -0.0019446622305366102, -0.0005873601473186765], [-0.006553025574522954, 0.021714421211356787, 0.00125101202916218, -0.0018307348636390738], [0.0019448219192286773, -0.0012513439025155534, -0.012704336712784762, -0.01656221196052208], [-0.0005871596000514357, -0.0018306133495635377, 0.016562218280890946, -0.012497083754955628]]","[[ 1.         -0.29893041 -0.08870957 -0.02679358]
 [-0.29892907  0.99054575  0.05706736 -0.08351255]
 [ 0.08871685 -0.0570825  -0.57953314 -0.75551766]
 [-0.02678443 -0.083507    0.75551795 -0.57007889]]","[5.374132351179275e-19, 4.967549101963672e-19]","[7.019646189462801e-19, 4.877750874963003e-20]","[0.021334314012437187, 0.022509034306435038]",,,3000.0,"[2.408978127939776e-25, 2.390321145500614e-25]","[2.431618806914469e-25, 2.40621676336708e-25]","[1.998010578035454e-26, 1.863349797714722e-26]","[2.030515027556889e-26, 1.963236243277499e-26]","[3.826538634283949e-26, 3.535030395150485e-26]","[3.806737045626406e-26, 3.51597938471264e-26]"
7,60,,500,3500,"[[0.021317223377886548, -0.006565904338832011, -0.002951285327008613, -0.0008351172850960918], [-0.006565922707679083, 0.020885453251622853, 0.001657684010527964, -0.0024630619142582202], [0.002951244780046698, -0.001657470055895932, -0.013338483417131355, -0.015164198155234263], [-0.0008351161553981225, -0.0024631569315646533, 0.015164182659421682, -0.012906713291536458]]","[[ 1.         -0.30800936 -0.13844605 -0.03917571]
 [-0.30801022  0.97974548  0.07776266 -0.11554328]
 [ 0.13844415 -0.07775262 -0.62571392 -0.71135897]
 [-0.03917565 -0.11554774  0.71135825 -0.6054594 ]]","[-1.2653609274697418e-19, -1.1837650379401107e-18]","[8.987093369794194e-19, 1.0788593369457818e-18]","[0.020482106081640084, 0.022152340650922996]",,,3000.0,"[2.427054348323825e-25, 2.408394549122352e-25]","[2.450645226385154e-25, 2.423479073597588e-25]","[1.98420771624324e-26, 1.87142487367284e-26]","[2.009247919603281e-26, 1.980689973176759e-26]","[3.786066389573636e-26, 3.54484876247572e-26]","[3.765819686893135e-26, 3.526005804472984e-26]"
8,60,,500,3500,"[[0.02068524388651715, -0.0062917109408385, -0.004037865906465905, -0.001098802822587971], [-0.006291691572304931, 0.019968664030169087, 0.0018886751902951818, -0.0028377288589484647], [0.004037911315504568, -0.0018887989017433184, -0.01402215709411062, -0.013671072975038844], [-0.0010987468551496157, -0.0028376894618990147, 0.013671076654468279, -0.01330557723803376]]","[[ 1.         -0.30416421 -0.19520514 -0.05312013]
 [-0.30416328  0.96535792  0.09130543 -0.13718614]
 [ 0.19520733 -0.09131142 -0.67788213 -0.66090944]
 [-0.05311742 -0.13718424  0.66090962 -0.64324005]]","[-4.128641016499559e-19, 9.6269051239347e-19]","[-2.8438911480311607e-19, 1.4665452263897098e-18]","[0.019586441053266398, 0.021784046697245967]",,,3000.0,"[2.463994676795036e-25, 2.439199561770711e-25]","[2.48880858056989e-25, 2.453142489194211e-25]","[1.973829211565802e-26, 1.878503857641588e-26]","[1.988942708664115e-26, 2.000498114672435e-26]","[3.764282740835651e-26, 3.564282101887556e-26]","[3.743536268988747e-26, 3.54581918181535e-26]"
9,60,,500,3500,"[[0.019528485749771934, -0.005725448904577213, -0.005576433268900967, -0.0014720824408445158], [-0.005725418531713997, 0.018361068246241154, 0.0019123322077763474, -0.002704058348527794], [0.005576533224367032, -0.0019123850687428156, -0.014539903052901135, -0.011460762678309326], [-0.0014718219010156253, -0.002704085274103148, 0.011460722863188685, -0.013372485550444416]]","[[ 1.         -0.29318448 -0.2855538  -0.07538129]
 [-0.29318292  0.94021976  0.09792527 -0.13846738]
 [ 0.28555892 -0.09792798 -0.74454841 -0.58687411]
 [-0.07536795 -0.13846876  0.58687207 -0.68476818]]","[-1.32879862567498e-18, 2.3470181968794343e-19]","[5.747746240605071e-19, 2.1613102226726967e-18]","[0.018056403299097582, 0.021000568179183825]",,,3000.0,"[2.554554426595555e-25, 2.507543356985605e-25]","[2.581110332623217e-25, 2.51905529454086e-25]","[1.95890973793355e-26, 1.872893287100933e-26]","[1.956522374616477e-26, 2.017449033687915e-26]","[3.765392170668425e-26, 3.605559072383848e-26]","[3.744196133797369e-26, 3.588189473192499e-26]"
10,60,,500,3500,"[[0.020647038960060933, -0.0027656622974119287, -0.006423522114228126, -0.0018681968373118894], [-0.0027656269277960364, 0.019464699096237936, 3.348334243212471e-05, 0.0016348071331116418], [0.006423657725067151, -3.379330736338459e-05, -0.017694827212312025, -0.010102220578053253], [-0.0018677828689867362, 0.0016348605899726917, 0.010102135380413768, -0.01651248735208767]]","[[ 1.         -0.13394958 -0.31111106 -0.09048255]
 [-0.13394787  0.94273562  0.0016217   0.07917877]
 [ 0.31111763 -0.00163671 -0.85701525 -0.48928181]
 [-0.09046251  0.07918136  0.48927768 -0.79975087]]","[-1.8588332328717497e-19, -1.6004701503552258e-18]","[2.031312205339273e-18, 8.734527292691427e-19]","[0.01877884211252592, 0.022515235785115623]",,,3000.0,"[2.575871200950231e-25, 2.516283740371475e-25]","[2.6030725125884e-25, 2.524012982413252e-25]","[2.292500682869765e-26, 1.957671086429813e-26]","[2.304904113804946e-26, 2.163642025918094e-26]","[3.851742518053489e-26, 3.789183261267025e-26]","[3.829217147460291e-26, 3.771343055374935e-26]"
11,60,,500,3500,"[[0.026560567529063966, -0.0003093574113134396, -0.004830659140471084, -0.0014662203906991966], [-0.00030940025115212995, 0.026010535154144386, -0.0005054033843593735, 0.001781946245548314], [0.00483070409054949, 0.0005057728552040029, -0.02218775004535799, -0.01451435907116192], [-0.0014660632481543624, 0.0017818339749836357, 0.014514356980856053, -0.021637717672110698]]","[[ 1.         -0.01164724 -0.18187334 -0.0552029 ]
 [-0.01164886  0.97929139 -0.01902834  0.06708992]
 [ 0.18187503  0.01904225 -0.83536431 -0.54646269]
 [-0.05519699  0.06708569  0.54646261 -0.8146557 ]]","[6.159691482624217e-19, 1.7159704066783375e-19]","[-1.4636147004979505e-18, 8.4260905244306515e-19]","[0.025094347124703504, 0.028026787904505492]",,,3000.0,"[2.497539132030074e-25, 2.475193316764691e-25]","[2.524278956275411e-25, 2.489993167503363e-25]","[2.465463134085234e-26, 2.146083406949044e-26]","[2.523686270021304e-26, 2.323992027627288e-26]","[3.836261768983999e-26, 3.825914558097941e-26]","[3.811824337294385e-26, 3.802189675638033e-26]"
