azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,3050,500,4000,"[[0.01544595992512866, -0.013807258280345867, 8.964889942517212e-07, -2.287937700965774e-05], [-0.013807257855168576, 0.015445899872391157, 3.92305480045516e-06, 3.610733635125308e-05], [-8.255170180031481e-07, -3.984550873169426e-06, -0.00637025744392735, 0.002712301130375647], [-2.3137181583986192e-05, 3.626285312574721e-05, -0.0027123012425499266, -0.006370197392799777]]","[[ 1.00000000e+00 -8.93907426e-01  5.80403548e-05 -1.48125316e-03]
 [-8.93907399e-01  9.99996112e-01  2.53985820e-04  2.33765571e-03]
 [-5.34454979e-05 -2.57967190e-04 -4.12422243e-01  1.75599389e-01]
 [-1.49794391e-03  2.34772415e-03 -1.75599397e-01 -4.12418356e-01]]","[-4.2877434887923157e-19, 2.4520983641243775e-19]","[9.457870451745727e-19, -4.551265465724604e-19]","[0.015423080539722743, 0.015468839293717146]",,,"[2.181594299924012e-25, 2.181523633401024e-25]","[2.175547579537981e-25, 2.175453711436748e-25]","[2.448921486346643e-26, 2.447990293178714e-26]","[2.500273776792099e-26, 2.49927422741398e-26]","[5.276106151872413e-26, 5.271304602414713e-26]","[5.261675527347392e-26, 5.256893931934433e-26]"
1,60,3050,500,4000,"[[0.015106905298993424, -0.013006494491060824, -0.0015022111199197402, 0.0009333925140012354], [-0.013006483783337503, 0.014914346293044322, 0.0007780559440376893, -0.0014308574136091018], [0.0015021959247228703, -0.0007780498647218981, -0.007437827494970607, 0.001500593913114228], [0.0009335661612998594, -0.0014309580489702807, -0.0015006059724569192, -0.0072452684896968395]]","[[ 1.         -0.86096353 -0.09943871  0.06178582]
 [-0.86096282  0.98725358  0.05150333 -0.09471546]
 [ 0.0994377  -0.05150293 -0.49234621  0.09933166]
 [ 0.06179731 -0.09472212 -0.09933245 -0.47959978]]","[-2.135607341353412e-19, 2.2094512602055407e-19]","[3.305556647232837e-19, -1.2057412005539844e-19]","[0.016040297804262388, 0.014173512777276189]",,,"[2.179052693719827e-25, 2.190430947575942e-25]","[2.170753308999434e-25, 2.184314706339774e-25]","[2.454436173904095e-26, 2.426942986800093e-26]","[2.537609723804466e-26, 2.488339959221925e-26]","[5.134109435975263e-26, 5.116188799174777e-26]","[5.120342034843646e-26, 5.10146690847384e-26]"
2,60,3050,500,4000,"[[0.01563200301528444, -0.013705527448360288, -0.0016563032307992207, 0.0009951822308693465], [-0.013705520429316989, 0.015393819077460987, 0.0009868449466261438, -0.0016377023744418213], [0.0016564152375506177, -0.0009870302219421264, -0.007384829994118481, 0.00013444815075433768], [0.000995092470645902, -0.0016376494607329194, -0.00013442830339215913, -0.00714664605722537]]","[[ 1.         -0.8767608  -0.10595592  0.06366313]
 [-0.87676035  0.98476306  0.06312978 -0.104766  ]
 [ 0.10596308 -0.06314163 -0.47241739  0.00860083]
 [ 0.06365739 -0.10476261 -0.00859956 -0.45718044]]","[9.940755022646095e-19, -4.324443646501975e-19]","[-7.381614449593685e-19, 1.1700640546614351e-19]","[0.016627185237102018, 0.014636820776446872]",,,"[2.157823936003696e-25, 2.165489992429277e-25]","[2.150342875957851e-25, 2.159115278486105e-25]","[2.39241002504196e-26, 2.346462877218659e-26]","[2.479136798235321e-26, 2.421199803934211e-26]","[4.962422442785593e-26, 4.814811590929994e-26]","[4.94827590794517e-26, 4.798751538055446e-26]"
3,60,3050,500,4000,"[[0.01586511951476975, -0.014011273044605501, -0.001561702114140634, 0.0011589139100667341], [-0.014011285810544354, 0.015595278313424063, 0.0009873458207141656, -0.0019320513878017755], [0.0015618071185026592, -0.000987524889963328, -0.007275744905282883, -0.00036307311046196206], [0.0011586180279017943, -0.0019318672812122842, 0.00036310844118751166, -0.007005903706552121]]","[[ 1.         -0.88314954 -0.0984362   0.07304792]
 [-0.88315035  0.98299154  0.06223375 -0.12177982]
 [ 0.09844282 -0.06224503 -0.45860007 -0.02288499]
 [ 0.07302927 -0.12176821  0.02288722 -0.44159161]]","[-1.6882638013903119e-19, -8.943798899104903e-20]","[8.748708640522897e-19, -3.798692969457988e-19]","[0.017024033415568678, 0.014706205596697025]",,,"[2.149990969183039e-25, 2.156049842089787e-25]","[2.142820780997306e-25, 2.149333510920119e-25]","[2.358202406234693e-26, 2.307722830592014e-26]","[2.445646616119676e-26, 2.38989480252891e-26]","[4.880340266540755e-26, 4.730843487038806e-26]","[4.866143861344888e-26, 4.714359357928341e-26]"
4,60,3050,500,4000,"[[0.01596407580335174, -0.014142186690739283, -0.0014116136160276093, 0.001346558538064813], [-0.01414219301584566, 0.01566010407216424, 0.000921266260340662, -0.0022267535081423166], [0.0014116305357401858, -0.0009212965687379137, -0.007207123323795451, -0.0004956669844934953], [0.0013464743689521803, -0.0022267007969611536, 0.0004956751316774709, -0.00690315159278294]]","[[ 1.         -0.88587569 -0.08842439  0.08434929]
 [-0.88587609  0.98095901  0.05770871 -0.13948528]
 [ 0.08842545 -0.05771061 -0.45145885 -0.0310489 ]
 [ 0.08434402 -0.13948197  0.03104941 -0.43241787]]","[7.725660413580635e-20, 6.172018248290204e-19]","[9.901584677588372e-19, -6.140346471428873e-19]","[0.01731063433199272, 0.014617517257329212]",,,"[2.146854977713169e-25, 2.15159672835018e-25]","[2.139782138435716e-25, 2.144285621382866e-25]","[2.335793481997069e-26, 2.28542441659143e-26]","[2.422842072383227e-26, 2.374303853237432e-26]","[4.827255559320701e-26, 4.696590092919841e-26]","[4.81307558584155e-26, 4.680090242616175e-26]"
5,60,3050,500,4000,"[[0.01597337418540353, -0.01415249427351234, -0.001247660337027696, 0.0015381121216958764], [-0.014152442711920314, 0.01562846144398089, 0.0008143066167057342, -0.0025125436974896454], [0.0012477813958186126, -0.0008144920182326609, -0.007189663287550021, -0.0003680305221830016], [0.001538488300690621, -0.0025127740243909855, 0.0003680303681128565, -0.00684475054998143]]","[[ 1.         -0.88600531 -0.07810875  0.09629225]
 [-0.88600208  0.97840702  0.050979   -0.15729574]
 [ 0.07811633 -0.05099061 -0.45010298 -0.02304025]
 [ 0.0963158  -0.15731016  0.02304024 -0.42851   ]]","[-6.958358964859097e-19, -6.372667436158222e-19]","[4.874886820778014e-19, 2.982950615681637e-20]","[0.017511486297566225, 0.014435262055849163]",,,"[2.14655621538715e-25, 2.150104321381768e-25]","[2.139408276004366e-25, 2.141953614280591e-25]","[2.321025392043138e-26, 2.273765744328326e-26]","[2.407060543571904e-26, 2.369351957987305e-26]","[4.790795465047307e-26, 4.686086705888509e-26]","[4.776609147028663e-26, 4.669729888173284e-26]"
6,60,3050,500,4000,"[[0.01591163787158273, -0.014056161216564417, -0.0010890565121353575, 0.0017233057746200164], [-0.0140561814358589, 0.015517327824095149, 0.0006755339217431103, -0.0027894717078318166], [0.0010890310603833262, -0.0006754929492828814, -0.007223437494057608, -1.932424033164561e-05], [0.0017231569334360715, -0.0027893797432322126, 1.9326342500646684e-05, -0.006829127447094033]]","[[ 1.         -0.88338871 -0.06844402  0.10830474]
 [-0.88338998  0.97521876  0.04245534 -0.17531016]
 [ 0.06844242 -0.04245276 -0.45397196 -0.00121447]
 [ 0.10829538 -0.17530438  0.0012146  -0.42919073]]","[-4.6681379731325005e-19, -2.771321074380126e-21]","[-6.439870392822741e-20, 7.264455196214616e-19]","[0.01763494363660235, 0.014188332089238639]",,,"[2.148512374582247e-25, 2.150953824149037e-25]","[2.141116552793785e-25, 2.141729133738473e-25]","[2.311463338598901e-26, 2.270155172583071e-26]","[2.396132502240357e-26, 2.372631124243299e-26]","[4.765998266114411e-26, 4.691038628509265e-26]","[4.751745638055479e-26, 4.674868606988944e-26]"
7,60,3050,500,4000,"[[0.015788315663572135, -0.013848971469133243, -0.0009467359139285337, 0.0018932213382910675], [-0.013848974726881328, 0.015335539835611934, 0.0005071124840209601, -0.003058506282150709], [0.000946691985554568, -0.000507040599978927, -0.007304183142272579, 0.0005332438306022318], [0.0018932194743447753, -0.003058503448820536, -0.0005332534638061613, -0.006851407314426573]]","[[ 1.         -0.87716586 -0.05996434  0.11991281]
 [-0.87716607  0.97132209  0.03211948 -0.19371961]
 [ 0.05996156 -0.03211493 -0.4626322   0.03377459]
 [ 0.11991269 -0.19371943 -0.0337752  -0.43395429]]","[2.7270215520779847e-19, 5.684530910086729e-19]","[1.659834489794635e-19, 6.896549523546622e-19]","[0.017681536992237453, 0.013895094317716641]",,,"[2.15259667851917e-25, 2.154065511636538e-25]","[2.144767270796384e-25, 2.143526338813697e-25]","[2.30506943429309e-26, 2.273254290997425e-26]","[2.388195904102448e-26, 2.382966780597788e-26]","[4.750382726882766e-26, 4.708579876891891e-26]","[4.735987464885125e-26, 4.692588160491602e-26]"
8,60,3050,500,4000,"[[0.015607359434842056, -0.01351039949690919, -0.0008278434995398595, 0.002041704157889645], [-0.013510399782930498, 0.015086302553559527, 0.00030720811666307314, -0.003323385918656302], [0.0008279026239637478, -0.00030730417706391274, -0.007426084894055444, 0.0012841897359820568], [0.002041678291206504, -0.0033233758748449508, -0.001284174603885026, -0.00690502801299272]]","[[ 1.         -0.86564288 -0.05304187  0.13081676]
 [-0.86564289  0.96661467  0.01968354 -0.2129371 ]
 [ 0.05304566 -0.0196897  -0.47580662  0.08228104]
 [ 0.1308151  -0.21293646 -0.08228007 -0.44242128]]","[3.8498608119090796e-19, -2.832258229617043e-20]","[-9.645786827531196e-19, 1.1797457603976497e-18]","[0.017649063583123622, 0.013565655269567324]",,,"[2.159040488231782e-25, 2.15969910395382e-25]","[2.150565041920439e-25, 2.147583648985555e-25]","[2.299792373056725e-26, 2.282263947285426e-26]","[2.38136392099734e-26, 2.399744492555529e-26]","[4.742786682747464e-26, 4.738429977546334e-26]","[4.728168241182722e-26, 4.722588422717137e-26]"
9,60,3050,500,4000,"[[0.015368631762068975, -0.013001460649123109, -0.0007381336393989789, 0.0021629127218396353], [-0.013001462807075943, 0.014767251534570647, 7.025233841699476e-05, -0.0035909904431670903], [0.0007381870805731735, -7.033883503653745e-05, -0.0075814362515973475, 0.0022350900412839996], [0.0021628815115259147, -0.0035909809368992454, -0.0022350751121596314, -0.0069800560242881966]]","[[ 1.         -0.84597385 -0.04802859  0.14073554]
 [-0.84597399  0.96086963  0.00457115 -0.23365713]
 [ 0.04803206 -0.00457678 -0.49330587  0.14543195]
 [ 0.14073351 -0.23365651 -0.14543098 -0.4541755 ]]","[-2.5288091408577583e-19, -6.592439209270398e-19]","[-5.263769536430007e-19, -5.626975732977341e-19]","[0.017531544474364513, 0.013205719033040198]",,,"[2.168395433440628e-25, 2.168505236673561e-25]","[2.159019008601533e-25, 2.154516361956644e-25]","[2.293140591315125e-26, 2.296744457943679e-26]","[2.373336263359832e-26, 2.422751400318294e-26]","[4.742831580021382e-26, 4.782433139906786e-26]","[4.727914955816335e-26, 4.766711682851066e-26]"
