azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,3050,500,4000,"[[0.019294706347506033, -0.016400682684656477, -5.772308459659965e-07, -3.0687664177268498e-06], [-0.016400682642613875, 0.019294705465863534, -1.1047947000440737e-06, 4.655310582770819e-06], [4.58094914715352e-07, 1.1759483224363617e-06, -0.006293082988752194, -0.007981252789308854], [-3.304500966248213e-06, 4.78421240174214e-06, 0.007981252807202513, -0.006293082108294508]]","[[ 1.00000000e+00 -8.50009448e-01 -2.99165396e-05 -1.59047065e-04]
 [-8.50009445e-01  9.99999954e-01 -5.72589538e-05  2.41273979e-04]
 [ 2.37419998e-05  6.09466815e-05 -3.26155935e-01 -4.13649871e-01]
 [-1.71264642e-04  2.47954663e-04  4.13649872e-01 -3.26155889e-01]]","[-5.596174607071073e-19, -6.022151178903354e-20]","[4.933378972556469e-19, 7.13596353628366e-20]","[0.019291637570586023, 0.019297775103418135]",,,"[2.341838649654707e-25, 2.341756633339666e-25]","[2.309717509990489e-25, 2.309636357633284e-25]","[2.3755707707703e-26, 2.375105080620736e-26]","[2.451093444517003e-26, 2.450620803392626e-26]","[4.739772375596479e-26, 4.739267601509003e-26]","[4.721340572550959e-26, 4.720838001114545e-26]"
1,60,3050,500,4000,"[[0.01955094268334278, -0.016101328932315945, -0.0012473954717648298, 3.5897105716304375e-05], [-0.016101320389495067, 0.019464687123125175, 0.001090620799884736, -0.0007863218872797117], [0.0012475007811941152, -0.0010906851303704305, -0.005745239381723787, -0.009422747526475522], [3.606892794653135e-05, -0.0007864075835151362, 0.009422741030935211, -0.005658983822173804]]","[[ 1.         -0.82355768 -0.06380232  0.00183608]
 [-0.82355724  0.99558816  0.05578354 -0.04021913]
 [ 0.0638077  -0.05578683 -0.29385997 -0.48195873]
 [ 0.00184487 -0.04022351  0.4819584  -0.28944813]]","[3.543182313042655e-19, -6.304666794567648e-19]","[2.2985882200473126e-19, 7.422468847372029e-19]","[0.019586839778396085, 0.019515045567002565]",,,"[2.333001851683955e-25, 2.338902255995699e-25]","[2.297832925197617e-25, 2.308036788894732e-25]","[2.402541990104158e-26, 2.334328837819562e-26]","[2.518612489987733e-26, 2.413453109807257e-26]","[4.702484262697373e-26, 4.707133671793218e-26]","[4.685650228124526e-26, 4.687917134739584e-26]"
2,60,3050,500,4000,"[[0.020007101156358727, -0.016153478397606353, -0.001210370192022249, 0.0003225875038004759], [-0.016153484188904502, 0.019885471250143224, 0.0012820983160222745, -0.0012804226444651959], [0.00121033992407153, -0.001282162883859566, -0.005636748421038174, -0.010287284478834514], [0.00032241102383450407, -0.0012802849215727762, 0.010287296087272104, -0.005515118515514506]]","[[ 1.         -0.80738725 -0.06049703  0.01612365]
 [-0.80738754  0.99392066  0.06408216 -0.06399841]
 [ 0.06049552 -0.06408539 -0.28173739 -0.51418166]
 [ 0.01611483 -0.06399153  0.51418224 -0.27565805]]","[2.4150395469011713e-19, 5.523924420355965e-19]","[-7.88212726949601e-19, 2.987503983458675e-19]","[0.02032968864909181, 0.01968451364184209]",,,"[2.311390922000609e-25, 2.314290097774713e-25]","[2.277614226479955e-25, 2.283485478451174e-25]","[2.385265853547463e-26, 2.313541350072535e-26]","[2.49593736767144e-26, 2.401165470705457e-26]","[4.655278709788221e-26, 4.613853976646891e-26]","[4.637568178947952e-26, 4.593515630441987e-26]"
3,60,3050,500,4000,"[[0.020140388253676415, -0.016111466572398973, -0.001118712125298978, 0.0006940836141039731], [-0.016111496565079448, 0.019960354502569135, 0.0014537475130402624, -0.0018367914632050346], [0.0011185116622447408, -0.0014536715806438183, -0.005727732328867312, -0.010519201711902529], [0.0006937103798010403, -0.0018365884660328105, 0.010519212535599197, -0.005547698580583709]]","[[ 1.         -0.79995809 -0.05554571  0.03446228]
 [-0.79995958  0.99106106  0.07218071 -0.09119941]
 [ 0.05553575 -0.07217694 -0.28439036 -0.52229389]
 [ 0.03444374 -0.09118933  0.52229443 -0.27545142]]","[5.656726240174008e-19, 1.477636070470005e-19]","[-4.753222431377523e-19, -4.2794613085378083e-19]","[0.020834471856438195, 0.01944630462898596]",,,"[2.304835255549199e-25, 2.3050256603154e-25]","[2.271745394853329e-25, 2.274001492929905e-25]","[2.376961791858007e-26, 2.307786378101565e-26]","[2.483940156058374e-26, 2.401096366301931e-26]","[4.635623243320044e-26, 4.587509341787544e-26]","[4.617327561603534e-26, 4.566569792810621e-26]"
4,60,3050,500,4000,"[[0.02014262017208666, -0.016017539413437688, -0.0010158307623132704, 0.0010938919040061872], [-0.016017549164191975, 0.01987445074053434, 0.0016119971680562182, -0.0024299425960648043], [0.00101577932031514, -0.001611976161886449, -0.005991131858548158, -0.010463018036646473], [0.0010937968922313734, -0.0024298922562994265, 0.010463019794588005, -0.005722962427178874]]","[[ 1.         -0.79520635 -0.05043191  0.05430733]
 [-0.79520683  0.98668647  0.08002917 -0.12063687]
 [ 0.05042935 -0.08002813 -0.29743558 -0.51944672]
 [ 0.05430261 -0.12063437  0.51944681 -0.28412204]]","[1.3135597544372083e-19, -4.068375353957428e-19]","[-1.6183377806844043e-19, 5.918225749272336e-19]","[0.02123651206453178, 0.019048728257710427]",,,"[2.303594436990132e-25, 2.301141933416476e-25]","[2.270940049340264e-25, 2.269528336921783e-25]","[2.375289949505798e-26, 2.311867523845215e-26]","[2.478536120164434e-26, 2.411304225240357e-26]","[4.625657902707322e-26, 4.58021114656662e-26]","[4.606833701638569e-26, 4.558940265434892e-26]"
5,60,3050,500,4000,"[[0.02006340387341847, -0.01586968603209868, -0.0009267570357339944, 0.001494338697286476], [-0.015869640289673845, 0.019673202022014308, 0.0017561271408795133, -0.0030541670017769263], [0.0009270924197269811, -0.0017565004447015952, -0.006434300595833385, -0.010196827735622563], [0.0014946164138411717, -0.003054190012292651, 0.01019686154636965, -0.006044098748575201]]","[[ 1.         -0.79097675 -0.04619142  0.07448082]
 [-0.79097447  0.98055156  0.08752887 -0.15222576]
 [ 0.04620813 -0.08754748 -0.32069835 -0.5082302 ]
 [ 0.07449466 -0.15222691  0.50823188 -0.30124992]]","[-3.9384242878931036e-19, -6.610174705558435e-19]","[-6.702995628823735e-19, -9.778820540402015e-19]","[0.021557742558969, 0.018569065166023066]",,,"[2.305807801372299e-25, 2.30083651225212e-25]","[2.273382812866924e-25, 2.268324039254613e-25]","[2.379834070339971e-26, 2.323986791574901e-26]","[2.479366838577851e-26, 2.430114391264944e-26]","[4.622207204111287e-26, 4.583806010970862e-26]","[4.602813917357762e-26, 4.562277189851198e-26]"
6,60,3050,500,4000,"[[0.019923853204212597, -0.01565093325757027, -0.0008713946169084281, 0.0018736993252298374], [-0.01565094535224441, 0.019375103014276012, 0.0018828215638504626, -0.0037081792694236004], [0.0008712938863995737, -0.0018826851292051137, -0.007066622474178319, -0.009747596292344842], [0.0018736451417609944, -0.0037081974938952874, 0.009747578944274542, -0.00651787228464924]]","[[ 1.         -0.78553747 -0.04373625  0.09404302]
 [-0.78553808  0.97245763  0.09450088 -0.18611758]
 [ 0.04373119 -0.09449403 -0.35468152 -0.48924253]
 [ 0.0940403  -0.18611849  0.48924166 -0.32713914]]","[-1.0567984571188759e-18, 4.570361210345061e-19]","[-7.516759937483728e-19, 1.8282118824701748e-18]","[0.02179755251757595, 0.018050153869156337]",,,"[2.311037002189769e-25, 2.303719469326792e-25]","[2.278638308577941e-25, 2.270029677724091e-25]","[2.389574820887533e-26, 2.343244467308706e-26]","[2.485536881617618e-26, 2.456588928588405e-26]","[4.624471657182004e-26, 4.595497209221811e-26]","[4.604409257533026e-26, 4.573684719006357e-26]"
7,60,3050,500,4000,"[[0.019735237170479727, -0.015334680908540645, -0.000865418164828181, 0.002210790892647444], [-0.0153346662768889, 0.018990284845533424, 0.001983097469569402, -0.004390785621337143], [0.0008653993639705928, -0.001982999773085927, -0.007895125324704485, -0.009119990499096372], [0.0022108997388108867, -0.004390880844375307, 0.009119971040014779, -0.007150173000156018]]","[[ 1.         -0.77702035 -0.04385142  0.11202251]
 [-0.77701961  0.96225268  0.10048511 -0.22248456]
 [ 0.04385047 -0.10048016 -0.40005221 -0.4621171 ]
 [ 0.11202803 -0.22248939  0.46211611 -0.36230489]]","[9.921104704633527e-19, 7.995621889261729e-19]","[-2.9875990809373446e-19, -5.214263752447752e-19]","[0.021946028051179848, 0.01752444626829204]",,,"[2.319401096140363e-25, 2.310023821555038e-25]","[2.286812898101801e-25, 2.274869401360827e-25]","[2.402935112504822e-26, 2.369083524138403e-26]","[2.495621675810854e-26, 2.490299575840466e-26]","[4.632371880168162e-26, 4.614206081895981e-26]","[4.611499850145508e-26, 4.592041482942289e-26]"
8,60,3050,500,4000,"[[0.01950343087559476, -0.014880359460822787, -0.0009239408919566852, 0.0024856989971279502], [-0.014880371808573852, 0.01852447097430286, 0.0020439779070685338, -0.005100779014883717], [0.000923953919092269, -0.0020440458910126807, -0.008924357761133827, -0.008304080789044785], [0.002485620235161716, -0.005100715749833083, 0.008304096073516247, -0.00794539786003912]]","[[ 1.         -0.76296112 -0.04737325  0.12744932]
 [-0.76296175  0.94980576  0.10480094 -0.2615324 ]
 [ 0.04737392 -0.10480443 -0.45757886 -0.42577538]
 [ 0.12744528 -0.26152915  0.42577617 -0.40738462]]","[-2.764330102377126e-19, 2.4724270680656237e-19]","[1.7715555481440374e-18, 1.021106067221792e-18]","[0.02198912986075192, 0.017017731869202427]",,,"[2.331529508526434e-25, 2.3204708835046e-25]","[2.298500254515823e-25, 2.283526764159833e-25]","[2.417695885152811e-26, 2.400798505548666e-26]","[2.507669356794074e-26, 2.530798871972112e-26]","[4.646361480185902e-26, 4.639686010175081e-26]","[4.624517037919345e-26, 4.617094373587452e-26]"
9,60,3050,500,4000,"[[0.019227545730067228, -0.01422620789652762, -0.001061179616356263, 0.002676030208253271], [-0.014226216340471887, 0.01797760468644423, 0.0020457159062531754, -0.005833720199640891], [0.0010611977864178187, -0.0020457784758551737, -0.010150253728336656, -0.0072759579611870445], [0.002675978112965725, -0.005833677666261542, 0.007275972903496009, -0.00890031268483149]]","[[ 1.         -0.73988683 -0.05519059  0.1391769 ]
 [-0.73988727  0.93499217  0.10639506 -0.30340431]
 [ 0.05519154 -0.10639832 -0.52790168 -0.37841324]
 [ 0.13917419 -0.3034021   0.37841402 -0.46289385]]","[1.4563053672766477e-19, 1.6727618557217174e-18]","[1.86055746878523e-19, -3.7740914789594483e-19]","[0.021903575926396295, 0.016551515512803386]",,,"[2.348608465598823e-25, 2.336408059314087e-25]","[2.314821284095607e-25, 2.297287935340224e-25]","[2.430446123889554e-26, 2.437129950035867e-26]","[2.518754472361959e-26, 2.577223596356032e-26]","[4.667258688275781e-26, 4.672353546950511e-26]","[4.644279002553692e-26, 4.649279098612928e-26]"
