azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,3050,500,4000,"[[0.015445938694744702, -0.01380726588079581, 9.570985017801819e-08, 1.265733780717615e-07], [-0.013807265881064394, 0.015445938693771786, -6.991087713890497e-08, -8.604247017993121e-08], [-2.4778697615583837e-08, 8.4263750734085e-09, -0.006370222228250003, 0.0027123236895501474], [-1.3095951660864346e-07, 6.930380226521482e-08, -0.002712323690237725, -0.006370222228883776]]","[[ 1.00000000e+00 -8.93909147e-01  6.19644115e-06  8.19460575e-06]
 [-8.93909147e-01  1.00000000e+00 -4.52616565e-06 -5.57055624e-06]
 [-1.60422090e-06  5.45539850e-07 -4.12420530e-01  1.75601091e-01]
 [-8.47857286e-06  4.48686245e-06 -1.75601091e-01 -4.12420530e-01]]","[6.446726216425304e-20, -1.7258812725465917e-19]","[8.668395596408777e-19, 8.130109714898423e-19]","[0.015446065259714006, 0.015445812112958]",,,"[2.181561500657136e-25, 2.181556485829845e-25]","[2.175503256276137e-25, 2.175498014011681e-25]","[2.44845975171746e-26, 2.448453634074731e-26]","[2.499776623798237e-26, 2.499772871632679e-26]","[5.273708365362456e-26, 5.273702452715822e-26]","[5.259287696466201e-26, 5.259281796559708e-26]"
1,60,3050,500,4000,"[[0.015110021941369348, -0.013009607966650332, -0.001502163122105873, 0.0009533086359862606], [-0.01300959698447908, 0.014913072408076135, 0.0007761019292135724, -0.0014646238654982056], [0.001502147906347857, -0.0007760958317274155, -0.007436520371350956, 0.0014999535262378298], [0.0009534824674215158, -0.0014647246428103437, -0.0014999656093519459, -0.00723957083873459]]","[[ 1.         -0.860992   -0.09941502  0.06309115]
 [-0.86099127  0.98696564  0.05136339 -0.09693062]
 [ 0.09941401 -0.05136299 -0.49215815  0.09926879]
 [ 0.06310265 -0.09693729 -0.09926959 -0.47912378]]","[-8.174772619528459e-19, -3.9468607476358875e-19]","[-4.259600833702459e-19, 9.015453986252259e-20]","[0.0160633305686108, 0.014156713297676236]",,,"[2.179032485898333e-25, 2.190450351390827e-25]","[2.170724034962073e-25, 2.184344331000278e-25]","[2.453996032889202e-26, 2.427049343667168e-26]","[2.53713366756096e-26, 2.488472701652826e-26]","[5.131637483175359e-26, 5.118262714503723e-26]","[5.117880020022945e-26, 5.103531702403366e-26]"
2,60,3050,500,4000,"[[0.015635176254293334, -0.013708501022241196, -0.0016523003311133106, 0.0010154692017341296], [-0.013708494153975563, 0.015392734175960626, 0.0009845142043056988, -0.001670850227123541], [0.0016524123233871832, -0.0009846993946736353, -0.007383566767064637, 0.00013504638859437678], [0.0010153796849413249, -0.0016707974471172485, -0.00013502630920917395, -0.007141124689660718]]","[[ 1.         -0.87677304 -0.10567839  0.06494773]
 [-0.8767726   0.98449381  0.0629679  -0.10686482]
 [ 0.10568556 -0.06297974 -0.47224071  0.00863734]
 [ 0.064942   -0.10686144 -0.00863606 -0.45673452]]","[-7.959622571020659e-19, -1.2451866327512783e-19]","[-4.143932457462949e-20, 7.277884951923791e-19]","[0.01665064544696292, 0.014619707044600297]",,,"[2.157801555229302e-25, 2.165506439453719e-25]","[2.150310582306145e-25, 2.159140699437713e-25]","[2.391945112658394e-26, 2.346610566926811e-26]","[2.478650392405179e-26, 2.421367954529162e-26]","[4.959721514565391e-26, 4.817241261379985e-26]","[4.945586795355662e-26, 4.801170923217136e-26]"
3,60,3050,500,4000,"[[0.01586852565393323, -0.014014207405049939, -0.001555946761633232, 0.0011793720492709078], [-0.014014220630201189, 0.015593902723008481, 0.0009845423198254584, -0.0019645515111393974], [0.0015560516665327833, -0.0009847211392034437, -0.007274671225583421, -0.0003619227938884432], [0.001179076454908196, -0.0019643675361940764, 0.0003619582673739322, -0.0070000482972682005]]","[[ 1.         -0.88314489 -0.09805238  0.07432146]
 [-0.88314573  0.98269386  0.06204372 -0.12380177]
 [ 0.09805899 -0.06205499 -0.45843397 -0.02280759]
 [ 0.07430284 -0.12379017  0.02280982 -0.44112783]]","[-4.016650001110397e-19, 1.7766044822183143e-19]","[6.496905009970892e-19, 5.07294813608784e-19]","[0.017047897693923335, 0.01468915359666561]",,,"[2.149970965828497e-25, 2.15606435457103e-25]","[2.14279091576751e-25, 2.149356562453815e-25]","[2.357739456609417e-26, 2.307892254325658e-26]","[2.445166898963105e-26, 2.390084374216804e-26]","[4.877559384412862e-26, 4.733375096920899e-26]","[4.863375672749169e-26, 4.716879840044385e-26]"
4,60,3050,500,4000,"[[0.015967772406121312, -0.014145103804013511, -0.001404925060605551, 0.0013669408915938826], [-0.014145110231829449, 0.01565834445247475, 0.0009179360162472994, -0.0022585920633611824], [0.0014049420227075881, -0.0009179663661367365, -0.007206291729178442, -0.0004939752140830987], [0.0013668569404186712, -0.0022585394716398447, 0.0004939833704798052, -0.006896863775706141]]","[[ 1.         -0.8858533  -0.08798504  0.08560624]
 [-0.8858537   0.98062172  0.05748679 -0.14144691]
 [ 0.0879861  -0.05748869 -0.45130226 -0.03093576]
 [ 0.08560098 -0.14144362  0.03093627 -0.43192398]]","[-3.0383393978534547e-19, 6.208406733841241e-19]","[-3.412304400433438e-19, 3.0489592223832534e-19]","[0.01733471328827825, 0.014600831506578793]",,,"[2.146838005210038e-25, 2.151610118151699e-25]","[2.139755370813927e-25, 2.144307294131828e-25]","[2.335346797872397e-26, 2.2856087856486e-26]","[2.422381805424126e-26, 2.374508303365098e-26]","[4.8244399412916e-26, 4.6991779047774e-26]","[4.810273183506512e-26, 4.682666423495898e-26]"
5,60,3050,500,4000,"[[0.015977390285061722, -0.014155400140625402, -0.0012405309700089595, 0.0015581964607609866], [-0.014155348093087907, 0.015626304663554868, 0.0008103882761458654, -0.002543719112288893], [0.0012406520011232402, -0.0008105736261313876, -0.007189100540677679, -0.00036575276161205235], [0.001558572877576974, -0.00254394968143808, 0.00036575295973133407, -0.006838014923028836]]","[[ 1.         -0.88596447 -0.0776429   0.09752509]
 [-0.88596121  0.9780261   0.05072094 -0.15920742]
 [ 0.07765048 -0.05073254 -0.44995462 -0.0228919 ]
 [ 0.09754865 -0.15922185  0.02289191 -0.42798072]]","[1.5216240992654156e-18, -6.827779587483079e-19]","[3.7908742674852073e-19, -7.0923382588939595e-19]","[0.017535586736276414, 0.014419193816450989]",,,"[2.146542421124804e-25, 2.150117015564764e-25]","[2.139384681616623e-25, 2.141974479358342e-25]","[2.320602947872802e-26, 2.273960908894706e-26]","[2.406627291132786e-26, 2.369566544026217e-26]","[4.787966337567166e-26, 4.688713028658286e-26]","[4.773793562560918e-26, 4.67234432288254e-26]"
6,60,3050,500,4000,"[[0.015915991742747198, -0.014059042985951129, -0.0010818382569712714, 0.001742875056229217], [-0.014059063377708035, 0.01551479772722469, 0.0006709585886201022, -0.0028199725375567817], [0.0010818127817957518, -0.000670917560877455, -0.0072231596101850455, -1.642454434793148e-05], [0.001742726370784093, -0.0028198806338450007, 1.642653029970292e-05, -0.006821965595185689]]","[[ 1.         -0.88332812 -0.06797178  0.10950465]
 [-0.8833294   0.97479302  0.04215625 -0.17717856]
 [ 0.06797018 -0.04215368 -0.45383032 -0.00103195]
 [ 0.10949531 -0.17717279  0.00103208 -0.42862334]]","[-5.7151169535008735e-19, 5.799453885776397e-19]","[-9.427011003259134e-20, 1.1452300477970777e-18]","[0.017658866789362997, 0.014173116678802193]",,,"[2.148501920567418e-25, 2.150966030697217e-25]","[2.141096207410275e-25, 2.141749553567243e-25]","[2.311070366842768e-26, 2.270357637702284e-26]","[2.395731464419532e-26, 2.372851465459974e-26]","[4.763166720112679e-26, 4.693694244885086e-26]","[4.748927849058918e-26, 4.677512271215259e-26]"
7,60,3050,500,4000,"[[0.015793023896721915, -0.013851797619981858, -0.0009397122731549228, 0.00191205027920709], [-0.01385180082795104, 0.015332687390006967, 0.0005018127061716538, -0.003088297047958894], [0.0009396683168727564, -0.0005017408084656845, -0.007304205397523163, 0.0005367748956579884], [0.0019120486417738927, -0.003088294341110818, -0.0005367846365132275, -0.006843868890922453]]","[[ 1.         -0.87708331 -0.05950173  0.1210693 ]
 [-0.87708351  0.97085191  0.03177433 -0.19554818]
 [ 0.05949895 -0.03176977 -0.46249568  0.0339881 ]
 [ 0.12106919 -0.19554801 -0.03398872 -0.43334759]]","[1.037886863697236e-19, 1.986962520181793e-19]","[3.321281211369819e-19, 2.933465698784321e-19]","[0.017705074166290437, 0.01388097360995808]",,,"[2.152589928692991e-25, 2.154077245839105e-25]","[2.144750457285447e-25, 2.14354652187188e-25]","[2.304710351446203e-26, 2.273460415829001e-26]","[2.387831681092729e-26, 2.383188068052058e-26]","[4.747554717857513e-26, 4.711258284950741e-26]","[4.733173366873957e-26, 4.695254726084206e-26]"
8,60,3050,500,4000,"[[0.015612445195350827, -0.013513120911094583, -0.0008212706935738924, 0.0020595447355166076], [-0.013513121227706473, 0.01508320339293411, 0.0003011309047230839, -0.0033523930334235594], [0.0008213298209179742, -0.0003012269507759839, -0.007426431911053134, 0.0012883137116405136], [0.0020595190793383706, -0.0033523831284062336, -0.0012882984712750383, -0.006897190108855947]]","[[ 1.         -0.8655352  -0.05260359  0.13191686]
 [-0.86553522  0.96610129  0.01928788 -0.21472569]
 [ 0.05260738 -0.01929403 -0.47567385  0.08251838]
 [ 0.13191522 -0.21472505 -0.08251741 -0.44177514]]","[6.3656958764890605e-19, 6.887234466844923e-20]","[3.407559243307331e-20, -5.513213115683313e-19]","[0.01767198992124688, 0.013552900452456077]",,,"[2.159038150229198e-25, 2.159710119708603e-25]","[2.150552402566888e-25, 2.147603626089375e-25]","[2.299472011302029e-26, 2.282469194436661e-26]","[2.381041743952735e-26, 2.399960505499237e-26]","[4.7399652320337e-26, 4.741124037805506e-26]","[4.72536083587297e-26, 4.72527093009058e-26]"
9,60,3050,500,4000,"[[0.015374130968640137, -0.013004023400907415, -0.000732271385616264, 0.0021794770790975458], [-0.013004025595884792, 0.014764006748312214, 6.33804790865419e-05, -0.0036190753042921304], [0.0007323248686572436, -6.346703388885981e-05, -0.0075821518203173285, 0.002239683489149744], [0.0021794460122175298, -0.003619065900449531, -0.002239668453090746, -0.0069720276001786295]]","[[ 1.         -0.84583795 -0.0476301   0.14176262]
 [-0.84583809  0.96031488  0.00412254 -0.23540032]
 [ 0.04763358 -0.00412817 -0.49317596  0.1456787 ]
 [ 0.1417606  -0.23539971 -0.14567773 -0.45349084]]","[4.229705708698219e-19, 1.1550045768086252e-19]","[3.7932792846508627e-19, 1.6261518001813243e-18]","[0.01755360803818157, 0.01319465388235948]",,,"[2.16839874362979e-25, 2.168514829063964e-25]","[2.159011753577723e-25, 2.154535872120169e-25]","[2.292865234557875e-26, 2.296942206577624e-26]","[2.373063086214723e-26, 2.422952816135773e-26]","[4.740017905035713e-26, 4.785130920606093e-26]","[4.725115475844219e-26, 4.769398399852942e-26]"
