azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,5450,500,4000,"[[0.014681174145151415, -0.007419156453637511, 1.5318376842944765e-08, -6.44725754646907e-09], [-0.007419156453613712, 0.01468117414512633, 7.782472858311354e-09, -6.833790854396398e-09], [-1.917876927385946e-08, 1.772003682794494e-08, -0.004877688000641473, 0.011691926768710411], [-1.6172106853756633e-08, 1.2100012728280448e-08, -0.011691926768715553, -0.004877688000635429]]","[[ 1.00000000e+00 -5.05351710e-01  1.04340271e-06 -4.39151357e-07]
 [-5.05351710e-01  1.00000000e+00  5.30098804e-07 -4.65479858e-07]
 [-1.30635119e-06  1.20699044e-06 -3.32241001e-01  7.96389080e-01]
 [-1.10155405e-06  8.24185628e-07 -7.96389080e-01 -3.32241001e-01]]","[1.58061753808e-20, 3.964157591102096e-20]","[1.7664913499863044e-19, -4.873153104430292e-19]","[0.014681167689901502, 0.014681180584416588]",,,"[2.182994397519065e-25, 2.182993884268656e-25]","[2.175068504924567e-25, 2.175067936814333e-25]","[1.039780249496472e-26, 1.039778900027098e-26]","[8.513622928454267e-27, 8.51361924911809e-27]","[4.609981942257196e-26, 4.609980385343363e-26]","[4.575232054862951e-26, 4.575230501273464e-26]"
1,60,5450,500,4000,"[[0.01468178644081985, -0.007416820583821817, -3.839989688166806e-06, -1.2678390641139067e-06], [-0.007416820566205719, 0.014681781119142933, 7.089796305599391e-06, 9.454309090964562e-06], [3.867094605807489e-06, -7.128946087352593e-06, -0.0048771852410400855, 0.011694384867338299], [-1.28834268769766e-06, 9.43867631606757e-06, -0.011694384882207006, -0.004877179919413099]]","[[ 1.00000000e+00 -5.05171534e-01 -2.61547851e-04 -8.63545502e-05]
 [-5.05171533e-01  9.99999638e-01  4.82897387e-04  6.43948141e-04]
 [ 2.63394010e-04 -4.85563941e-04 -3.32192902e-01  7.96523292e-01]
 [-8.77510848e-05  6.42883368e-04 -7.96523293e-01 -3.32192539e-01]]","[3.763642052651563e-20, -1.0637306371025264e-19]","[-1.7946248678845394e-19, -8.477444171675078e-20]","[0.014680518593763719, 0.01468305427189057]",,,"[2.182904941465288e-25, 2.183089574813599e-25]","[2.17499420710134e-25, 2.17518713924698e-25]","[1.040592232740404e-26, 1.039228562167322e-26]","[8.528150156196458e-27, 8.498243897762945e-27]","[4.61121669849512e-26, 4.608852207978858e-26]","[4.576122506047473e-26, 4.574420048343081e-26]"
2,60,5450,500,4000,"[[0.014683674283612192, -0.007409636229667454, -7.764261380472798e-06, -2.476126637899714e-06], [-0.007409636197625163, 0.014683653017251531, 1.4222566035037742e-05, 1.8851126968622742e-05], [7.784991700913074e-06, -1.4228953675797626e-05, -0.004875715623993689, 0.011701913103983145], [-2.5067320510623327e-06, 1.8858899579456934e-05, -0.011701913097975457, -0.004875694357658018]]","[[ 1.00000000e+00 -5.04617311e-01 -5.28768293e-04 -1.68631270e-04]
 [-5.04617309e-01  9.99998552e-01  9.68597216e-04  1.28381539e-03]
 [ 5.30180086e-04 -9.69032233e-04 -3.32050107e-01  7.96933579e-01]
 [-1.70715585e-04  1.28434472e-03 -7.96933579e-01 -3.32048659e-01]]","[-1.9371523739400162e-19, -5.187929732386094e-20]","[2.2483368327986703e-19, 3.8352552472314815e-19]","[0.014681198148981908, 0.014686150402255006]",,,"[2.182820848893168e-25, 2.183188660988528e-25]","[2.174964454876096e-25, 2.175348525188354e-25]","[1.041671549473974e-26, 1.038937312131056e-26]","[8.541855616419478e-27, 8.481978172839246e-27]","[4.612564066708609e-26, 4.607819633722708e-26]","[4.577099130361903e-26, 4.573678630197612e-26]"
3,60,5450,500,4000,"[[0.014686831174646057, -0.007397600194826196, -1.1842177933546108e-05, -3.5761821850464553e-06], [-0.007397600170721554, 0.01468678320923719, 2.1406136134949736e-05, 2.8236711375544895e-05], [1.1849890889647306e-05, -2.138815860622776e-05, -0.004873219204857307, 0.011714511762416774], [-3.6004133280909183e-06, 2.8256642368970586e-05, -0.011714511721780356, -0.004873171239471713]]","[[ 1.00000000e+00 -5.03689333e-01 -8.06312662e-04 -2.43495833e-04]
 [-5.03689331e-01  9.99996734e-01  1.45750543e-03  1.92258705e-03]
 [ 8.06837823e-04 -1.45628137e-03 -3.31808758e-01  7.97620101e-01]
 [-2.45145688e-04  1.92394411e-03 -7.97620098e-01 -3.31805492e-01]]","[2.767959810467523e-20, 1.4485977087468082e-19]","[3.566350199991635e-19, -3.4062176118507727e-19]","[0.014683254984467504, 0.014690407348833708]",,,"[2.182742623875998e-25, 2.183293835445844e-25]","[2.174980422902e-25, 2.175555143293278e-25]","[1.043026582334513e-26, 1.038907444695097e-26]","[8.554765282614254e-27, 8.464793062658452e-27]","[4.614034405895994e-26, 4.606884996521564e-26]","[4.578172190182655e-26, 4.573008244026234e-26]"
4,60,5450,500,4000,"[[0.014691326393073198, -0.00738043651444103, -1.6280415073330375e-05, -4.429085581575888e-06], [-0.007380436542277545, 0.014691240562539265, 2.870632994417944e-05, 3.759800803868742e-05], [1.6269003020231363e-05, -2.8683164055833073e-05, -0.004869814013272317, 0.011732361092640142], [-4.424631454686442e-06, 3.7610221959205634e-05, -0.01173236105181192, -0.0048697281827526084]]","[[ 1.00000000e+00 -5.02366928e-01 -1.10816509e-03 -3.01476222e-04]
 [-5.02366930e-01  9.99994158e-01  1.95396448e-03  2.55919765e-03]
 [ 1.10738830e-03 -1.95238764e-03 -3.31475449e-01  7.98591004e-01]
 [-3.01173042e-04  2.56002902e-03 -7.98591001e-01 -3.31469607e-01]]","[1.6974380218558005e-19, -1.713757443268149e-19]","[-8.409635901228241e-20, -3.482297393386783e-20]","[0.014686897299496134, 0.014695755470654468]",,,"[2.182670497185953e-25, 2.183406224645057e-25]","[2.175043343920451e-25, 2.175808923321654e-25]","[1.044667368302322e-26, 1.03914541638737e-26]","[8.566891906668416e-27, 8.446650006814393e-27]","[4.61563923296773e-26, 4.606049539153239e-26]","[4.579353073403437e-26, 4.572409698884628e-26]"
5,60,5450,500,4000,"[[0.01469739315132616, -0.007358157631460597, -2.088798223777963e-05, -5.081399409588334e-06], [-0.007358157551850813, 0.01469725829249011, 3.603384444542581e-05, 4.692963402435762e-05], [2.091277634909785e-05, -3.607854416528506e-05, -0.0048653523987919455, 0.011755760345687568], [-5.094680555079504e-06, 4.6907768106689896e-05, -0.011755760438705408, -0.004865217540011475]]","[[ 1.00000000e+00 -5.00643723e-01 -1.42120320e-03 -3.45734741e-04]
 [-5.00643718e-01  9.99990824e-01  2.45171671e-03  3.19305836e-03]
 [ 1.42289018e-03 -2.45475805e-03 -3.31035058e-01  7.99853431e-01]
 [-3.46638380e-04  3.19157062e-03 -7.99853438e-01 -3.31025883e-01]]","[8.739586240164272e-20, -5.497608177150008e-20]","[-3.851320384130859e-19, -1.802300199020635e-19]","[0.01469231174391814, 0.01470247454273178]",,,"[2.182604813275145e-25, 2.183526877115078e-25]","[2.17515530231162e-25, 2.176111694082177e-25]","[1.046609128119186e-26, 1.039650993271944e-26]","[8.578249896113529e-27, 8.427490723107795e-27]","[4.617395572818518e-26, 4.605314557690514e-26]","[4.580658540974614e-26, 4.571883837496351e-26]"
6,60,5450,500,4000,"[[0.014705193906296668, -0.007330398553581544, -2.5939204770533473e-05, -5.424875462536823e-06], [-0.007330398636295688, 0.014704998435882303, 4.354602026573905e-05, 5.613829032021052e-05], [2.591930398414878e-05, -4.3519711269932933e-05, -0.004859972984013725, 0.011785021130041436], [-5.4082015092841664e-06, 5.614789040309623e-05, -0.011785021076643701, -0.0048597775136241545]]","[[ 1.00000000e+00 -4.98490438e-01 -1.76394850e-03 -3.68908802e-04]
 [-4.98490444e-01  9.99986707e-01  2.96126801e-03  3.81758246e-03]
 [ 1.76259519e-03 -2.95947891e-03 -3.30493635e-01  8.01418955e-01]
 [-3.67774920e-04  3.81823530e-03 -8.01418951e-01 -3.30480342e-01]]","[-1.1096999673199277e-19, -4.1214763487590264e-20]","[1.8909494896738617e-19, -1.5508713661653602e-19]","[0.014699769022831634, 0.014710618773750805]",,,"[2.182550202016397e-25, 2.183655073950902e-25]","[2.175322634983098e-25, 2.17646445084172e-25]","[1.04887929505797e-26, 1.040445892782607e-26]","[8.588864418425404e-27, 8.407255885163193e-27]","[4.61933041861341e-26, 4.604682272713772e-26]","[4.582115256361048e-26, 4.571432267108132e-26]"
7,60,5450,500,4000,"[[0.01471487884974767, -0.0072967732810285246, -3.146478438397927e-05, -5.360616365853535e-06], [-0.007296773313974844, 0.014714610138475285, 5.119969780053034e-05, 6.533252112344968e-05], [3.1458399172774285e-05, -5.119452313308173e-05, -0.004853585022568955, 0.011820525439231941], [-5.353240324559143e-06, 6.533289652787421e-05, -0.01182052543381432, -0.004853316311298644]]","[[ 1.00000000e+00 -4.95877224e-01 -2.13829721e-03 -3.64299049e-04]
 [-4.95877227e-01  9.99981739e-01  3.47945086e-03  4.43989528e-03]
 [ 2.13786328e-03 -3.47909919e-03 -3.29841997e-01  8.03304299e-01]
 [-3.63797784e-04  4.43992079e-03 -8.03304299e-01 -3.29823736e-01]]","[-4.4952625862664364e-20, 1.0086079903829684e-19]","[2.0119976890856454e-20, -2.342181953038969e-19]","[0.01470951822537402, 0.014720239458099886]",,,"[2.182504691941076e-25, 2.183795292692402e-25]","[2.175546238861696e-25, 2.176873831669008e-25]","[1.051499921329226e-26, 1.041543739494926e-26]","[8.598732386087533e-27, 8.385893334797327e-27]","[4.62146280949781e-26, 4.604167087463599e-26]","[4.58374190601817e-26, 4.571068493492752e-26]"
8,60,5450,500,4000,"[[0.014726831364255918, -0.007256942883313579, -3.763280551690541e-05, -4.797722217357169e-06], [-0.007256942843516146, 0.01472647561164748, 5.90915899503289e-05, 7.447449883020191e-05], [3.7639334751064735e-05, -5.909453775525415e-05, -0.004846225249983081, 0.011862838115515237], [-4.806691630421054e-06, 7.447603776883488e-05, -0.011862838109484648, -0.004845869497376921]]","[[ 1.00000000e+00 -4.92770149e-01 -2.55539054e-03 -3.25781025e-04]
 [-4.92770146e-01  9.99975843e-01  4.01251216e-03  5.05706197e-03]
 [ 2.55583389e-03 -4.01271233e-03 -3.29074540e-01  8.05525494e-01]
 [-3.26390078e-04  5.05716647e-03 -8.05525494e-01 -3.29050383e-01]]","[-1.2819569305052726e-20, -1.458988608821667e-19]","[-2.2637049463105442e-20, 6.191396369483475e-19]","[0.014722033634023945, 0.014731629078453429]",,,"[2.182472631289583e-25, 2.183949017419646e-25]","[2.175833441067991e-25, 2.177343706019068e-25]","[1.054503443067463e-26, 1.042965222671237e-26]","[8.607865148931763e-27, 8.363326575607261e-27]","[4.623829551903793e-26, 4.603780446719251e-26]","[4.585574880634127e-26, 4.570802967511563e-26]"
9,60,5450,500,4000,"[[0.014741404636055095, -0.007210364774937675, -4.451291091895492e-05, -3.6795967962097644e-06], [-0.007210364685467577, 0.014740946732419364, 6.723543366108521e-05, 8.356580309437382e-05], [4.452608531576059e-05, -6.724495475409937e-05, -0.0048379197746905465, 0.011912583618156282], [-3.69548664925417e-06, 8.356586187302018e-05, -0.01191258362266266, -0.004837461871063579]]","[[ 1.00000000e+00 -4.89123320e-01 -3.01958409e-03 -2.49609646e-04]
 [-4.89123314e-01  9.99968938e-01  4.56099234e-03  5.66878158e-03]
 [ 3.02047779e-03 -4.56163822e-03 -3.28185807e-01  8.08103699e-01]
 [-2.50687553e-04  5.66878557e-03 -8.08103700e-01 -3.28154744e-01]]","[3.5864705363062116e-21, 7.93668230299791e-20]","[4.867291824339391e-19, -7.825684663083197e-20]","[0.014737725031235719, 0.014745084224824135]",,,"[2.182456931599915e-25, 2.184119898951728e-25]","[2.176190863626171e-25, 2.177880768919986e-25]","[1.057928686456049e-26, 1.044736362160668e-26]","[8.616265286554038e-27, 8.339473935024863e-27]","[4.626471464904505e-26, 4.603541419301802e-26]","[4.587654618454289e-26, 4.570653610275959e-26]"
