azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,3050,500,4000,"[[0.01929470631483317, -0.016400683130980784, -4.522773505228949e-09, 1.6774255817380376e-07], [-0.016400683131298003, 0.01929470631402064, 1.622872560940053e-08, -1.1549436500711088e-07], [-1.1460914543487263e-07, 5.493772331655271e-08, -0.0062930823212878515, -0.007981253002648073], [-6.795276218227967e-08, 1.337831240241396e-08, 0.007981253001999051, -0.006293082321659809]]","[[ 1.00000000e+00 -8.50009472e-01 -2.34404890e-07  8.69370880e-06]
 [-8.50009472e-01  1.00000000e+00  8.41097312e-07 -5.98580580e-06]
 [-5.93992692e-06  2.84729513e-06 -3.26155901e-01 -4.13649883e-01]
 [-3.52183449e-06  6.93366988e-07  4.13649883e-01 -3.26155901e-01]]","[-7.673296165032722e-19, -1.522930242602657e-19]","[-1.091423260047681e-19, 7.12648038983549e-19]","[0.0192948740468873, 0.01929453856177114]",,,"[2.34180031432582e-25, 2.341794951060148e-25]","[2.309679717384177e-25, 2.309674132716774e-25]","[2.375340959686347e-26, 2.375334846967168e-26]","[2.450858880261234e-26, 2.450855321226959e-26]","[4.739522748455884e-26, 4.739517158879428e-26]","[4.72109200365281e-26, 4.721086500747748e-26]"
1,60,3050,500,4000,"[[0.019551129997802147, -0.01610128626826271, -0.0012466003124298988, 3.929525952120358e-05], [-0.016101277694816174, 0.01946464858873656, 0.001091933065271509, -0.0007911947583179534], [0.0012467056147922075, -0.0010919973625375542, -0.005745400836684802, -0.009422945087287169], [3.946711767054779e-05, -0.0007912804886982493, 0.00942293860681375, -0.005658919428286995]]","[[ 1.         -0.8235476  -0.06376104  0.00200987]
 [-0.82354717  0.99557665  0.05585013 -0.04046798]
 [ 0.06376642 -0.05585341 -0.29386541 -0.48196422]
 [ 0.00201866 -0.04047237  0.48196389 -0.28944206]]","[4.0580159567091606e-19, -6.432885589945935e-20]","[-1.0542168130899132e-18, 6.8662427810513475e-19]","[0.0195904252466584, 0.01951183472765878]",,,"[2.332965912619157e-25, 2.338940674874554e-25]","[2.297796719326411e-25, 2.308074325778132e-25]","[2.402317844676403e-26, 2.334545953258285e-26]","[2.518388417996092e-26, 2.413680078565468e-26]","[4.702228763548244e-26, 4.707381326267067e-26]","[4.6853961784246e-26, 4.688163710459929e-26]"
2,60,3050,500,4000,"[[0.020007425894681817, -0.01615350634829859, -0.0012093371718258194, 0.0003260466622881386], [-0.016153512175343415, 0.019885409686109273, 0.0012833938603543972, -0.001285246349645486], [0.0012093068949880362, -0.0012834583919215737, -0.005636945511722306, -0.010287493561886601], [0.0003258702202382748, -0.0012851086653794443, 0.010287505171699837, -0.0055149293038412334]]","[[ 1.         -0.80737554 -0.06044442  0.01629628]
 [-0.80737583  0.99390145  0.06414588 -0.06423847]
 [ 0.0604429  -0.0641491  -0.28174267 -0.51418376]
 [ 0.01628746 -0.06423158  0.51418434 -0.27564412]]","[-1.038212534015419e-18, -1.2479499596218388e-19]","[-5.188624299458535e-19, -8.577098477301041e-19]","[0.020333472545900504, 0.01968137922167922]",,,"[2.311354090268695e-25, 2.314328569821695e-25]","[2.277577347135944e-25, 2.283523334436427e-25]","[2.385046354958967e-26, 2.313754141683855e-26]","[2.495715612587557e-26, 2.401386488760475e-26]","[4.655023699409545e-26, 4.614099096220471e-26]","[4.637314636181499e-26, 4.593759498292538e-26]"
3,60,3050,500,4000,"[[0.020140834661653506, -0.016111556047075468, -0.0011175607002027548, 0.0006975528893478997], [-0.016111586105601164, 0.01996021631148394, 0.0014549993385827168, -0.0018415779157094163], [0.0011173602149766731, -0.0014549233512879995, -0.005727945404992546, -0.010519400837844724], [0.0006971796912677509, -0.0018413749636169482, 0.010519411625120495, -0.005547327057646283]]","[[ 1.         -0.7999448  -0.05548731  0.03463376]
 [-0.7999463   0.99103223  0.07224126 -0.09143503]
 [ 0.05547735 -0.07223749 -0.28439464 -0.5222922 ]
 [ 0.03461523 -0.09142496  0.52229274 -0.27542687]]","[3.9366281514626407e-19, 3.505959607639817e-19]","[-8.115602724837885e-20, 3.258353811878721e-19]","[0.020838387539657076, 0.01944328176172077]",,,"[2.304798407318145e-25, 2.3050641103237e-25]","[2.271708660968553e-25, 2.274039472500869e-25]","[2.376746867988306e-26, 2.307998164916478e-26]","[2.483721621649774e-26, 2.401315655474957e-26]","[4.635369978944419e-26, 4.587754479968749e-26]","[4.617075777186664e-26, 4.566813626803037e-26]"
4,60,3050,500,4000,"[[0.020143186707825732, -0.016017696817513655, -0.0010146119218050152, 0.0010973389467204297], [-0.016017706584192944, 0.019874218230866013, 0.0016131898285088543, -0.00243469952952895], [0.0010145604645857558, -0.0016131687849608555, -0.0059913572823671385, -0.010463193901253888], [0.0010972439564868185, -0.002434649217774458, 0.010463195646492165, -0.005722388805590404]]","[[ 1.         -0.7951918  -0.05036998  0.05447693]
 [-0.79519228  0.98664717  0.08008613 -0.12086963]
 [ 0.05036743 -0.08008508 -0.2974384  -0.51944084]
 [ 0.05447221 -0.12086713  0.51944093 -0.28408558]]","[-2.038029485642306e-20, -5.266827148680536e-19]","[3.2154914625968835e-20, -3.177232369941491e-19]","[0.021240525642982917, 0.01904584775073683]",,,"[2.303558071171977e-25, 2.301180180662671e-25]","[2.270903937661003e-25, 2.269566213917829e-25]","[2.375080531066323e-26, 2.31207938644449e-26]","[2.478322051781408e-26, 2.411523150622051e-26]","[4.625407100029518e-26, 4.580456438196741e-26]","[4.60658438977097e-26, 4.55918426060008e-26]"
5,60,3050,500,4000,"[[0.02006408792376817, -0.015869919616356202, -0.0009255029284151164, 0.0014977327041838973], [-0.015869873837287992, 0.019672865648771753, 0.001757244525855281, -0.0030588986764146574], [0.0009258383271032984, -0.0017576178194763617, -0.006434537740208698, -0.010196969988081162], [0.0014980104585492356, -0.003058921714436022, 0.010197003877418696, -0.006043315469358531]]","[[ 1.         -0.79096143 -0.04612734  0.07464744]
 [-0.79095915  0.98050137  0.08758158 -0.1524564 ]
 [ 0.04614405 -0.08760019 -0.32069924 -0.50821996]
 [ 0.07466128 -0.15245755  0.50822165 -0.30120061]]","[1.3723378707205401e-18, 1.226944687547044e-19]","[6.79127294841446e-20, -2.790918407721618e-19]","[0.0215618206162139, 0.018566355209476824]",,,"[2.30577233033907e-25, 2.300874293800421e-25]","[2.273347723994838e-25, 2.2683615322483e-25]","[2.379631225525752e-26, 2.324198924675033e-26]","[2.479158466436316e-26, 2.430333223559864e-26]","[4.62195953551592e-26, 4.5840511277923e-26]","[4.602567744934002e-26, 4.562521049760026e-26]"
6,60,3050,500,4000,"[[0.01992464884632634, -0.01565125204369227, -0.0008701285686259871, 0.0018770072992830926], [-0.015651264137971792, 0.019374657021309534, 0.001883845901357643, -0.003712885674223229], [0.0008700278327207047, -0.0018837094425119176, -0.0070668703183453365, -0.009747696756481542], [0.0018769531471008727, -0.003712903926137188, 0.009747679376974695, -0.006516878493736102]]","[[ 1.         -0.7855221  -0.04367096  0.09420529]
 [-0.78552271  0.97239641  0.09454851 -0.18634635]
 [ 0.04366591 -0.09454166 -0.35467979 -0.48922803]
 [ 0.09420257 -0.18634727  0.48922716 -0.3270762 ]]","[-3.250338056455289e-19, -8.599103541705859e-19]","[-6.100024969682614e-19, -7.819312488519316e-19]","[0.0218016561337407, 0.018047641537218186]",,,"[2.311002854627825e-25, 2.303756415296029e-25]","[2.278604668775167e-25, 2.270066415141082e-25]","[2.389379822651314e-26, 2.34345658619481e-26]","[2.485335563217998e-26, 2.456807333346173e-26]","[4.624227952410029e-26, 4.595741603452908e-26]","[4.604167044019488e-26, 4.573927912534537e-26]"
7,60,3050,500,4000,"[[0.01973613380060768, -0.015335094964087963, -0.0008641590763489866, 0.0022139753050686396], [-0.015335080304496646, 0.018989726314238908, 0.0019840092075313594, -0.004395460407886402], [0.0008641402809552714, -0.0019839115072835664, -0.007895381181811127, -0.009120042315008348], [0.0022140841781096918, -0.004395555650468889, 0.009120022842338316, -0.007148973695840323]]","[[ 1.         -0.77700603 -0.04378563  0.11217877]
 [-0.77700529  0.96218066  0.10052674 -0.22271132]
 [ 0.04378468 -0.10052179 -0.400047   -0.46209873]
 [ 0.11218429 -0.22271615  0.46209774 -0.36222767]]","[-1.149560373657442e-19, -7.596559419047029e-20]","[1.0488520290057328e-19, 4.0784887628011737e-19]","[0.021950109093726775, 0.01752215848600006]",,,"[2.319368802625686e-25, 2.31005941190452e-25]","[2.286781242680631e-25, 2.27490487587154e-25]","[2.402749555768167e-26, 2.369295022127253e-26]","[2.495429039547534e-26, 2.49051679245518e-26]","[4.632133281239869e-26, 4.614449005323525e-26]","[4.611262721741464e-26, 4.592283269467296e-26]"
8,60,3050,500,4000,"[[0.01950441187719877, -0.01488087974385132, -0.0009227061716769184, 0.0024887151562724523], [-0.014880892102202899, 0.018523799830904422, 0.0020447562436842048, -0.005105406193638405], [0.000922719203822036, -0.0020448242150945613, -0.008924617021613021, -0.008304078912928097], [0.0024886364284018624, -0.005105342948426648, 0.008304094202069082, -0.00794400497551574]]","[[ 1.         -0.76294942 -0.04730756  0.12759755]
 [-0.76295005  0.94972358  0.10483558 -0.26175648]
 [ 0.04730823 -0.10483906 -0.45756914 -0.42575387]
 [ 0.12759351 -0.26175324  0.42575466 -0.40729272]]","[-5.617632148738549e-19, 3.476170434914775e-19]","[5.869021788325514e-19, -9.996229470064453e-20]","[0.02199312702149827, 0.017015696711663048]",,,"[2.331499802735015e-25, 2.32050436751498e-25]","[2.298471327983315e-25, 2.283560252121216e-25]","[2.417521788813247e-26, 2.401008484550855e-26]","[2.507487428882725e-26, 2.531013727487705e-26]","[4.64612962857455e-26, 4.639926413337866e-26]","[4.624286612538595e-26, 4.617333704810173e-26]"
9,60,3050,500,4000,"[[0.019228586504636557, -0.01422684566587462, -0.0010599880148462898, 0.002678823266788206], [-0.01422685411606876, 0.017976824632423307, 0.002046339954566545, -0.0058382685485268496], [0.001060006188373086, -0.002046402514126966, -0.010150510161125005, -0.007275900357882461], [0.0026787711973266987, -0.005838226028962976, 0.007275915305322927, -0.008898748289029526]]","[[ 1.         -0.73987995 -0.05512563  0.13931462]
 [-0.73988039  0.93490099  0.10642176 -0.30362443]
 [ 0.05512658 -0.10642501 -0.52788644 -0.37838977]
 [ 0.13931191 -0.30362222  0.37839054 -0.46278744]]","[-1.1815314778632533e-19, 9.46707884708666e-19]","[7.817578733028865e-20, 5.1716379507942284e-20]","[0.021907409759498467, 0.016549763228838728]",,,"[2.348582436167229e-25, 2.336438321781541e-25]","[2.314796190404799e-25, 2.29731836599617e-25]","[2.430285978314146e-26, 2.437337204174348e-26]","[2.518585743695968e-26, 2.577434448703003e-26]","[4.667035989110078e-26, 4.67258990439114e-26]","[4.644057650457259e-26, 4.649514443407422e-26]"
10,60,3050,500,4000,"[[0.01889713264990997, -0.013278926711658048, -0.0012912379002085624, 0.00275854308760314], [-0.013278928475164027, 0.01733871728515383, 0.0019608635394297333, -0.006583973802148259], [0.0012913204387496146, -0.001961064374752503, -0.011546839607897381, -0.005998925116778093], [0.00275849596168441, -0.0065839104285204016, 0.005998973000253635, -0.009988424243877869]]","[[ 1.         -0.70269532 -0.06832983  0.14597681]
 [-0.70269542  0.91753165  0.10376514 -0.34841126]
 [ 0.0683342  -0.10377576 -0.6110366  -0.31745161]
 [ 0.14597431 -0.34840791  0.31745414 -0.52856825]]","[2.824961580035154e-19, -4.501221879056378e-19]","[5.669843451618235e-19, -6.670529336085466e-19]","[0.021655675725723862, 0.016138589553521057]",,,"[2.372675587137161e-25, 2.36019103971742e-25]","[2.337705121812467e-25, 2.318433125882774e-25]","[2.435463467967377e-26, 2.475694014180358e-26]","[2.524035467471163e-26, 2.627732090282701e-26]","[4.696078702837851e-26, 4.713648062867455e-26]","[4.671842820999182e-26, 4.690080982041808e-26]"
11,60,3050,500,4000,"[[0.0184759682273509, -0.011886378714772466, -0.0016328185779648486, 0.0026949309804124564], [-0.011886398523965476, 0.016574934011919784, 0.001751465718786534, -0.007323732224508139], [0.0016328357520917088, -0.0017515449771333853, -0.013041999503531779, -0.004432961225367819], [0.0026948332016828824, -0.007323681119077309, 0.004432986215147705, -0.011140965288368122]]","[[ 1.         -0.64334267 -0.08837526  0.14586142]
 [-0.64334374  0.89710774  0.09479697 -0.39639234]
 [ 0.08837619 -0.09480126 -0.70588991 -0.2399312 ]
 [ 0.14585613 -0.39638957  0.23993255 -0.60299764]]","[-8.787408552896804e-19, 2.3131073587291523e-19]","[4.178634279217189e-19, 9.249865764924515e-19]","[0.021170899196238005, 0.01578103723834732]",,,"[2.407441185063088e-25, 2.395993684814581e-25]","[2.370693084553424e-25, 2.35107419593344e-25]","[2.423588993270824e-26, 2.510938304580751e-26]","[2.515931442992553e-26, 2.677353557101018e-26]","[4.735069644862827e-26, 4.766071994304114e-26]","[4.709577043973414e-26, 4.742089276009669e-26]"
12,60,3050,500,4000,"[[0.017931881863934792, -0.00976152070779375, -0.002177924584306305, 0.0024301210494394186], [-0.009761524981350677, 0.015605864134360022, 0.0014022220510123036, -0.008086680700055904], [0.0021779407613644877, -0.001402280455287849, -0.014547677245546207, -0.0025996882674122175], [0.002430089384568866, -0.008086665413931281, 0.0025997062175505048, -0.012221659516044623]]","[[ 1.         -0.54436678 -0.12145544  0.13551958]
 [-0.54436701  0.87028591  0.07819715 -0.45096665]
 [ 0.12145634 -0.07820041 -0.81127443 -0.14497576]
 [ 0.13551781 -0.4509658   0.14497676 -0.68156034]]","[6.983226237335828e-20, 1.4085291765518157e-18]","[4.515842267126973e-19, -4.6657824887985e-19]","[0.02036200290228923, 0.015501760806056284]",,,"[2.460205487073361e-25, 2.454130405370999e-25]","[2.42085067272151e-25, 2.405568362306548e-25]","[2.377091525683018e-26, 2.53532281515416e-26]","[2.478841677525542e-26, 2.718291507321444e-26]","[4.788335805815264e-26, 4.846027803657908e-26]","[4.761862879118389e-26, 4.821729907727629e-26]"
13,60,3050,500,4000,"[[0.016626134609980758, -0.006919156611903394, -0.0025505518982341336, 0.0018380120531649815], [-0.006919073532893726, 0.014204243293616005, 0.0007979299596746132, -0.008009143483843762], [0.0025506898185749327, -0.0007984991127086922, -0.014968067716093703, -0.0007038374244147766], [0.0018381334034937961, -0.00800915853250532, 0.0007039830732773234, -0.012546176405533443]]","[[ 1.         -0.41616147 -0.15340619  0.11054957]
 [-0.41615647  0.85433227  0.04799251 -0.48172012]
 [ 0.15341448 -0.04802674 -0.90027346 -0.0423332 ]
 [ 0.11055687 -0.48172102  0.04234196 -0.75460573]]","[2.2919012734304242e-20, -5.544428696346375e-19]","[-3.834925518189268e-19, 1.0119543826942064e-19]","[0.018464146653093937, 0.014788122548765187]",,,"[2.545237402226273e-25, 2.544238421002273e-25]","[2.50224187212137e-25, 2.492603555072511e-25]","[2.264453835637459e-26, 2.493209400761966e-26]","[2.391120423124875e-26, 2.693392463059475e-26]","[4.829252213307795e-26, 4.798396939605071e-26]","[4.802585515890627e-26, 4.774362299983521e-26]"
14,60,3050,500,4000,"[[0.013123233839096462, -0.0020464579536615696, -0.0017461181046152445, 0.00074426572674795], [-0.002046539267526218, 0.010809000451058237, -0.00035067271341823747, -0.007187438848632973], [0.0017461605639757197, 0.0003504429194407606, -0.012830877118418186, 0.0016502348862133254], [0.0007439424538704153, -0.0071874269038068395, -0.0016501411417229415, -0.010516643733707188]]","[[ 1.         -0.15594159 -0.13305547  0.05671359]
 [-0.15594779  0.82365373 -0.02672152 -0.54768809]
 [ 0.13305871  0.02670401 -0.9777222   0.1257491 ]
 [ 0.05668896 -0.54768718 -0.12574196 -0.80137593]]","[-4.571824700786177e-19, -6.475283423102323e-19]","[-5.92674562332726e-19, -1.2711221383051696e-20]","[0.013867499558295008, 0.01237896810560946]",,,"[2.725140082899093e-25, 2.736470947071372e-25]","[2.678422392009874e-25, 2.685472846384626e-25]","[2.020013184978801e-26, 2.314017170787694e-26]","[2.19019405140055e-26, 2.514403726946974e-26]","[4.911190298818018e-26, 4.864167094582224e-26]","[4.887262975176887e-26, 4.841522807141652e-26]"
15,60,3050,500,4000,"[[0.16164319441558989, -0.05438982049625653, -0.08999266084587755, -0.00914142783310621], [-0.03789696824292518, -0.04790634919528236, 0.1030428070138976, -0.05925678737320952], [0.09364284120928713, -0.12213035932468745, -0.09391107104304754, -0.004678973694127363], [-0.03058325311033788, -0.02711889802203558, 0.06041187534481641, 0.10741662383689012]]","[[ 1.         -0.33648073 -0.55673647 -0.05655313]
 [-0.23444828 -0.29637096  0.63747074 -0.36659005]
 [ 0.57931818 -0.75555522 -0.58097757 -0.02894631]
 [-0.18920223 -0.16777012  0.37373597  0.66452921]]","[3.766899780552727e-19, 3.9779553643845554e-19]","[3.9313994986298035e-19, -6.791343146494404e-19]","[0.031124035817840217, 0.03485537786953917]",,,"[2.718166321297733e-25, 2.737328376847124e-25]","[2.685388505278349e-25, 2.703723225058262e-25]","[1.594782015810859e-26, 1.663715612287087e-26]","[1.708037519386269e-26, 1.785063267701187e-26]","[4.65824318669888e-26, 4.678539892139869e-26]","[4.63896000614547e-26, 4.658488306901565e-26]"
16,60,3050,500,4000,"[[0.08257661840353796, -0.029899971474745324, -0.05391949202392664, -0.0034458351392122645], [-0.020595186862973375, -0.021946303061637515, 0.0455952259722406, -0.029483912312240516], [0.05430827166287295, -0.057616378967759736, -0.05131567052667642, 0.0014654067344993284], [-0.020967679919015905, -0.009920945701336042, 0.03465246253737558, 0.04632633689944897]]","[[ 1.         -0.36208762 -0.65296319 -0.04172894]
 [-0.249407   -0.26576897  0.55215661 -0.35704916]
 [ 0.6576713  -0.69773236 -0.621431    0.01774602]
 [-0.25391788 -0.12014231  0.41964013  0.56101034]]","[-1.3552910324299863e-18, 1.543549391395399e-19]","[1.5141629076471162e-18, 5.549996014564265e-19]","[0.02858578153328394, 0.031075378790528393]",,,"[2.744596049529128e-25, 2.729917251803317e-25]","[2.703687109533763e-25, 2.682962531327325e-25]","[1.991431962944779e-26, 1.769083785974603e-26]","[2.134522250392616e-26, 1.978792297018455e-26]","[4.760098226912867e-26, 4.870176472753494e-26]","[4.740157960361947e-26, 4.848894113625785e-26]"
