azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,5350,500,4000,"[[0.008288236496856581, -0.002683222627698131, 1.0000239613971018e-08, -2.9748680372745636e-09], [-0.00268322262771172, 0.00828823649683696, -1.3416187975376957e-08, 1.0457019193582715e-08], [-3.733215087091124e-09, -1.4669457906791321e-08, -0.005314867012388008, 0.00576605317338939], [-4.69024292056329e-09, -1.109502722317481e-09, -0.005766053173399906, -0.005314867012397487]]","[[ 1.00000000e+00 -3.23738666e-01  1.20655819e-06 -3.58926539e-07]
 [-3.23738666e-01  1.00000000e+00 -1.61870236e-06  1.26166998e-06]
 [-4.50423331e-07 -1.76991305e-06 -6.41254266e-01  6.95691197e-01]
 [-5.65891541e-07 -1.33864752e-07 -6.95691197e-01 -6.41254266e-01]]","[-2.8990994577817132e-21, -5.562431542776339e-20]","[5.486547428647534e-20, 1.884060824464708e-19]","[0.008288233517476463, 0.008288239467212534]",,,"[3.073664582578312e-25, 3.073663695218009e-25]","[3.127075286624884e-25, 3.127074202040222e-25]","[9.211971116207396e-27, 9.21195674664693e-27]","[7.724968511246823e-27, 7.724966043293104e-27]","[4.6562015104435e-26, 4.656199944872726e-26]","[4.607545270423033e-26, 4.607543742864103e-26]"
1,60,5350,500,4000,"[[0.008288572271228003, -0.002680792538589984, -6.351201812482352e-06, -1.7555273087935648e-07], [-0.002680792500082546, 0.008288553474265895, 7.4784097376534795e-06, 1.4666217922514278e-05], [6.366203800040901e-06, -7.468332741344423e-06, -0.005315239385200187, 0.005767317948786974], [-2.1562304956042767e-07, 1.4678386400365366e-05, -0.005767317919188759, -0.005315220588300827]]","[[ 1.00000000e+00 -3.23432366e-01 -7.66260051e-04 -2.11800929e-05]
 [-3.23432361e-01  9.99997732e-01  9.02255478e-04  1.76945045e-03]
 [ 7.68070012e-04 -9.01039708e-04 -6.41273215e-01  6.95815607e-01]
 [-2.60144983e-05  1.77091855e-03 -6.95815604e-01 -6.41270947e-01]]","[-5.052778643132095e-20, 4.911943418724876e-20]","[1.212177492640052e-19, -1.62338625405921e-19]","[0.008288396713984951, 0.008288747819446518]",,,"[3.073594654398988e-25, 3.073765605593283e-25]","[3.127036463283173e-25, 3.127188518126337e-25]","[9.219794785410836e-27, 9.206682509198078e-27]","[7.734797370438388e-27, 7.714192999492072e-27]","[4.657582605178147e-26, 4.654953616680444e-26]","[4.608601484197158e-26, 4.606599184797498e-26]"
2,60,5350,500,4000,"[[0.008289480622988395, -0.002673508655099085, -1.2797770854608625e-05, -3.3333920975313774e-07], [-0.0026735086020797773, 0.008289405153261101, 1.4966420593250332e-05, 2.9377418095564646e-05], [1.2808395695675814e-05, -1.4984377947283602e-05, -0.005316376225222365, 0.005770940991837006], [-3.500696049747872e-07, 2.937308890835526e-05, -0.005770941014864069, -0.005316300755517208]]","[[ 1.00000000e+00 -3.22518234e-01 -1.54385678e-03 -4.02123155e-05]
 [-3.22518228e-01  9.99990896e-01  1.80547145e-03  3.54393953e-03]
 [ 1.54513850e-03 -1.80763773e-03 -6.41340087e-01  6.96176426e-01]
 [-4.22305837e-05  3.54341728e-03 -6.96176429e-01 -6.41330983e-01]]","[1.8829338361744185e-19, -1.893773439682136e-20]","[-7.773190854288853e-20, 4.2358943306551237e-19]","[0.008289147279266062, 0.008289813957685204]",,,"[3.073555387331902e-25, 3.073895525462139e-25]","[3.12707228351824e-25, 3.127374287859849e-25]","[9.230230234913674e-27, 9.203933516694699e-27]","[7.74369676655443e-27, 7.70244207323156e-27]","[4.659105924574327e-26, 4.653829339925417e-26]","[4.609777546312741e-26, 4.60575316947393e-26]"
3,60,5350,500,4000,"[[0.008291080203276248, -0.002661251052506008, -1.933198383072107e-05, -4.1712227219344803e-07], [-0.002661250944114531, 0.00829090950606175, 2.2499020615101737e-05, 4.41567324640154e-05], [1.9346618337362128e-05, -2.2545998462480923e-05, -0.00531831376097891, 0.005777091360060176], [-4.299564857385591e-07, 4.413930014983446e-05, -0.005777091494217285, -0.0053181430638515464]]","[[ 1.00000000e+00 -3.20977603e-01 -2.33166045e-03 -5.03097621e-05]
 [-3.20977590e-01  9.99979412e-01  2.71364166e-03  5.32581176e-03]
 [ 2.33342554e-03 -2.71930773e-03 -6.41450044e-01  6.96783919e-01]
 [-5.18577164e-05  5.32370922e-03 -6.96783936e-01 -6.41429456e-01]]","[-1.646588640269573e-20, 8.389483842624322e-20]","[-1.2152219382527313e-19, -3.657250671928766e-19]","[0.008290663076490647, 0.008291497321034581]",,,"[3.073547709371e-25, 3.074058191893706e-25]","[3.127184736743974e-25, 3.12763687884296e-25]","[9.243366083398707e-27, 9.203732804362308e-27]","[7.751679060676139e-27, 7.689690838592836e-27]","[4.66078468941868e-26, 4.652829729407708e-26]","[4.611087147219092e-26, 4.605007470129245e-26]"
4,60,5350,500,4000,"[[0.008293417306207165, -0.0026440106811004256, -2.5963497248132476e-05, -4.575381214521487e-07], [-0.0026440108163951056, 0.008293111427141942, 3.015144597051314e-05, 5.908269730463051e-05], [2.5950215762199693e-05, -3.0147166205641055e-05, -0.005321076402825111, 0.005785776896662928], [-4.2824198675707893e-07, 5.9078826524317445e-05, -0.005785776933946372, -0.005320770523792085]]","[[ 1.00000000e+00 -3.18808349e-01 -3.13061508e-03 -5.51688290e-05]
 [-3.18808366e-01  9.99963118e-01  3.63558770e-03  7.12404732e-03]
 [ 3.12901363e-03 -3.63507166e-03 -6.41602395e-01  6.97634845e-01]
 [-5.16363727e-05  7.12358059e-03 -6.97634849e-01 -6.41565512e-01]]","[1.231995518350429e-19, 9.287278593127497e-20]","[-3.5443259052371547e-20, -7.072338591229784e-20]","[0.008292959763571056, 0.00829387483981346]",,,"[3.073572063124226e-25, 3.074256362459898e-25]","[3.12737567188717e-25, 3.127980441846987e-25]","[9.259313885284239e-27, 9.206145801280782e-27]","[7.758742046347874e-27, 7.675904934045199e-27]","[4.662634272777047e-26, 4.651956502530585e-26]","[4.612546237362701e-26, 4.60436294435631e-26]"
5,60,5350,500,4000,"[[0.008296588547048556, -0.0026213847453955322, -3.282380216454081e-05, -3.0810766326748625e-07], [-0.0026213849394871136, 0.00829610584316424, 3.790300785987957e-05, 7.413663525682095e-05], [3.280838803422243e-05, -3.7844481984412734e-05, -0.005324761009546219, 0.005797172622531701], [-2.9835549975630387e-07, 7.415966759566635e-05, -0.0057971723274287835, -0.00532427830579113]]","[[ 1.00000000e+00 -3.15959353e-01 -3.95630107e-03 -3.71366691e-05]
 [-3.15959376e-01  9.99941819e-01  4.56850519e-03  8.93579751e-03]
 [ 3.95444318e-03 -4.56145098e-03 -6.41801263e-01  6.98741729e-01]
 [-3.59612265e-05  8.93857363e-03 -6.98741693e-01 -6.41743082e-01]]","[1.9046365963620332e-19, 9.46273203278884e-20]","[2.0802342441578962e-19, 1.6995687676718755e-19]","[0.008296280434868826, 0.008296896650195024]",,,"[3.073630805664852e-25, 3.074492330024116e-25]","[3.127649569704074e-25, 3.128407863493331e-25]","[9.278218826729465e-27, 9.211165602917188e-27]","[7.76488151147402e-27, 7.661026302286948e-27]","[4.664676980501248e-26, 4.651212661235501e-26]","[4.61417742366136e-26, 4.603821580656463e-26]"
6,60,5350,500,4000,"[[0.008300845067370666, -0.002593139821499541, -3.998494619383359e-05, 2.7502825689544673e-08], [-0.002593139827500933, 0.008300140887084482, 4.5730902770692787e-05, 8.944275274431847e-05], [3.998454788859242e-05, -4.5753499591123185e-05, -0.00532951778921785, 0.0058115231581507285], [3.8519813269931097e-08, 8.943102167017273e-05, -0.005811523338749582, -0.00532881360895485]]","[[ 1.00000000e+00 -3.12394678e-01 -4.81697296e-03  3.31325612e-06]
 [-3.12394679e-01  9.99915168e-01  5.50918640e-03  1.07751382e-02]
 [ 4.81692497e-03 -5.51190863e-03 -6.42045207e-01  7.00112231e-01]
 [ 4.64046889e-06  1.07737250e-02 -7.00112253e-01 -6.41960375e-01]]","[-1.409824096462139e-20, 2.5041522935760047e-19]","[1.227585051848452e-19, -1.5135248142899412e-20]","[0.008300872565677393, 0.008300817560026043]",,,"[3.073730521744756e-25, 3.074765988011987e-25]","[3.128017434746428e-25, 3.128923224018619e-25]","[9.30043303332223e-27, 9.219065018010945e-27]","[7.77010296965548e-27, 7.644994078717829e-27]","[4.666946914982883e-26, 4.650602098619665e-26]","[4.616015475704707e-26, 4.603386472179354e-26]"
7,60,5350,500,4000,"[[0.008306341525425932, -0.0025589376962889218, -4.747807275881425e-05, 5.952858618794255e-07], [-0.002558937590487437, 0.008305367908586016, 5.377337332199423e-05, 0.00010500857645611184], [4.74838873542979e-05, -5.378376614080463e-05, -0.00533547716109923, 0.005828974041048312], [5.862411448726563e-07, 0.00010500583215366596, -0.0058289740895694124, -0.005334503544266273]]","[[ 1.00000000e+00 -3.08070369e-01 -5.71588257e-03  7.16664322e-05]
 [-3.08070356e-01  9.99882786e-01  6.47377346e-03  1.26419768e-02]
 [ 5.71658259e-03 -6.47502465e-03 -6.42337802e-01  7.01749865e-01]
 [ 7.05775392e-05  1.26416464e-02 -7.01749870e-01 -6.42220589e-01]]","[-2.0845607452615022e-20, -2.1012002484268586e-19]","[1.0484527916861796e-19, -3.638436385798089e-19]","[0.00830693680676555, 0.008305746235042436]",,,"[3.073870668603638e-25, 3.075086231698435e-25]","[3.128481763720385e-25, 3.129537835010328e-25]","[9.326176668578299e-27, 9.229971604902117e-27]","[7.774375429856777e-27, 7.627753720507727e-27]","[4.669472566549122e-26, 4.650143812076388e-26]","[4.618089405282845e-26, 4.603075134184026e-26]"
8,60,5350,500,4000,"[[0.008313343526950255, -0.0025182309926753492, -5.537383225833179e-05, 1.4202695311725172e-06], [-0.0025182309183531507, 0.008312047686351185, 6.20218460202139e-05, 0.00012094831433479507], [5.5377309173678685e-05, -6.203189495083392e-05, -0.005342804976525894, 0.005849852875016671], [1.4164794805575408e-06, 0.00012094470825097401, -0.005849852948654, -0.005341509135931046]]","[[ 1.00000000e+00 -3.02914343e-01 -6.66083773e-03  1.70842156e-04]
 [-3.02914334e-01  9.99844125e-01  7.46051764e-03  1.45486968e-02]
 [ 6.66125597e-03 -7.46172641e-03 -6.42678239e-01  7.03670293e-01]
 [ 1.70386256e-04  1.45482630e-02 -7.03670302e-01 -6.42522364e-01]]","[-8.637698656612521e-20, 1.7008033227569918e-19]","[7.269841230899578e-20, 1.2638521566761733e-19]","[0.008314763791954902, 0.008311923252894107]",,,"[3.07405965527915e-25, 3.075457436927656e-25]","[3.129056099898195e-25, 3.130260374075485e-25]","[9.355830319265562e-27, 9.244123296121123e-27]","[7.777684089714449e-27, 7.609213807902087e-27]","[4.672303831469375e-26, 4.649854549235714e-26]","[4.620449848108346e-26, 4.602902906805003e-26]"
9,60,5350,500,4000,"[[0.008322228756169319, -0.002470440400033534, -6.379428922824551e-05, 2.6025675105219607e-06], [-0.0024704401780109905, 0.008320551114089143, 7.054154663543792e-05, 0.00013735696690395603], [6.380363212275645e-05, -7.054963248775999e-05, -0.0053517465613536425, 0.005874541821373411], [2.584223404228535e-06, 0.00013735680726302307, -0.005874541817007839, -0.005350068919288165]]","[[ 1.00000000e+00 -2.96848413e-01 -7.66552940e-03  3.12724822e-04]
 [-2.96848386e-01  9.99798414e-01  8.47628066e-03  1.65048295e-02]
 [ 7.66665205e-03 -8.47725225e-03 -6.43066505e-01  7.05885646e-01]
 [ 3.10520592e-04  1.65048103e-02 -7.05885645e-01 -6.42864919e-01]]","[5.655001271614693e-20, -9.072121664702597e-20]","[3.4267085649575665e-19, 2.23750364657402e-19]","[0.008324831319147834, 0.008319626184129623]",,,"[3.07430462114416e-25, 3.075887587491539e-25]","[3.129753949590833e-25, 3.131103985677425e-25]","[9.389857486423128e-27, 9.261821625429941e-27]","[7.779992485924154e-27, 7.589281267689286e-27]","[4.675499474875415e-26, 4.649761683745097e-26]","[4.62315650301092e-26, 4.602895560209333e-26]"
