azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,3250,500,4000,"[[0.016446101761851625, -0.0025089141731004516, -2.75181949813e-09, -5.982824355447988e-08], [-0.0025089141729460022, 0.016446101761578617, 5.899757035639744e-08, -3.372078221295663e-08], [3.712880961567618e-08, 1.791023212026026e-08, -0.012505615875779202, -0.010382157020490723], [5.46208044061878e-08, -7.12180987284961e-08, 0.010382157020272516, -0.01250561587583456]]","[[ 1.00000000e+00 -1.52553730e-01 -1.67323512e-07 -3.63783737e-06]
 [-1.52553730e-01  1.00000000e+00  3.58732855e-06 -2.05038146e-06]
 [ 2.25760549e-06  1.08902598e-06 -7.60400006e-01 -6.31283764e-01]
 [ 3.32120068e-06 -4.33039390e-06  6.31283764e-01 -7.60400006e-01]]","[1.226091215678259e-19, -1.285057617524237e-19]","[-3.7691762143574e-19, 9.120726531961696e-20]","[0.016446041924654917, 0.016446161581141962]",,,"[3.133514526215208e-25, 3.133509156315317e-25]","[3.127849774253041e-25, 3.127844160325083e-25]","[1.791306465710537e-26, 1.791301889368072e-26]","[1.852450265106821e-26, 1.852447833341364e-26]","[4.720666329933432e-26, 4.720658170478898e-26]","[4.68978171166127e-26, 4.689773732974337e-26]"
1,60,3250,500,4000,"[[0.016430722541947308, -0.0024379564284952096, 0.00014430353513073348, 6.42536536361672e-05], [-0.00243795697997045, 0.016429185758214192, 4.257475879644327e-05, -0.00015406689829270862], [-0.00014434625075392972, -4.2560695063138134e-05, -0.012570042021676293, -0.010296267656854695], [6.413667597081346e-05, -0.00015406205738705366, 0.010296266999957523, -0.01256850523818252]]","[[ 1.         -0.14837792  0.00878254  0.00391058]
 [-0.14837795  0.99990647  0.00259117 -0.00937676]
 [-0.00878514 -0.00259031 -0.76503282 -0.62664728]
 [ 0.00390346 -0.00937646  0.62664724 -0.76493929]]","[-7.259476367015322e-19, 1.3070552467621e-19]","[-2.591294143817746e-19, -3.445573292148945e-19]","[0.016494976186603685, 0.016366468879401307]",,,"[3.135507328479646e-25, 3.1352620502516e-25]","[3.130062902705955e-25, 3.129510395481142e-25]","[1.801877393005086e-26, 1.790928343380105e-26]","[1.861942100689879e-26, 1.853678080042501e-26]","[4.74719164303031e-26, 4.71784652951418e-26]","[4.716483156489499e-26, 4.686983844825192e-26]"
2,60,3250,500,4000,"[[0.01637008695817996, -0.002162114810234924, 0.00027547990182988716, 0.00010884710489082568], [-0.0021621132312315845, 0.016366148719631032, 4.7168501071490255e-05, -0.00019736904841969198], [-0.000275499471374755, -4.6988317806920217e-05, -0.012799431599552017, -0.009973239818749364], [0.00010882893823826774, -0.00019742931577559902, 0.00997323842763168, -0.012795493361565326]]","[[ 1.         -0.13207717  0.01682825  0.00664915]
 [-0.13207708  0.99975942  0.00288138 -0.01205669]
 [-0.01682944 -0.00287038 -0.78187927 -0.6092356 ]
 [ 0.00664804 -0.01206037  0.60923552 -0.78163869]]","[-6.434594056038066e-19, -1.1957511578590328e-21]","[4.527672448489306e-19, -9.638664015612134e-19]","[0.016478934054099732, 0.016261239844436587]",,,"[3.142714416230687e-25, 3.141395495620521e-25]","[3.13763814052364e-25, 3.135727796650013e-25]","[1.828196419015457e-26, 1.80251618553937e-26]","[1.887613007007249e-26, 1.867528226095769e-26]","[4.826799615068895e-26, 4.742723262545063e-26]","[4.79654126084042e-26, 4.712064400120221e-26]"
3,60,3250,500,4000,"[[0.01564015338393157, -0.002315811689914622, -0.00020939641660699823, -4.700037845365359e-05], [-0.0023158124922763755, 0.015637231012946104, 7.695040075746871e-05, -0.0001985713419943938], [0.00020941757130234288, -7.671411453010347e-05, -0.012866398553067152, -0.0085848189924035], [-4.686640005769214e-05, -0.00019865339270184386, 0.008584816361672562, -0.012863476183375931]]","[[ 1.         -0.14806835 -0.01338839 -0.00300511]
 [-0.1480684   0.99981315  0.00492005 -0.01269625]
 [ 0.01338974 -0.00490495 -0.82265169 -0.54889609]
 [-0.00299654 -0.0127015   0.54889592 -0.82246484]]","[1.1473953687575027e-20, 1.4487368941748636e-19]","[-6.366788332109703e-20, 1.290725786808042e-19]","[0.015593152996989075, 0.015687153753845207]",,,"[3.147156335114839e-25, 3.147146575241309e-25]","[3.142552503557803e-25, 3.141683921481987e-25]","[1.841757659837972e-26, 1.8189360249169e-26]","[1.900714271811291e-26, 1.887432140103334e-26]","[4.946379518936315e-26, 4.789955489847814e-26]","[4.915679666970458e-26, 4.759659294356797e-26]"
4,60,3250,500,4000,"[[0.015263524774907503, -0.00265322376127822, -0.0004886339363051512, -7.283722284529519e-05], [-0.0026532211006426434, 0.01523771294290873, 0.00024375330964348214, -0.0006955534806956625], [0.0004886716067142259, -0.00024368371805890077, -0.01275720824864839, -0.00794509784253423], [-7.268124963284944e-05, -0.0006955880135101286, 0.00794509339091916, -0.012731396417170618]]","[[ 1.         -0.17382772 -0.03201318 -0.00477198]
 [-0.17382755  0.99830892  0.01596966 -0.04556965]
 [ 0.03201565 -0.0159651  -0.835797   -0.52052838]
 [-0.00476176 -0.04557191  0.52052809 -0.83410592]]","[9.856031707823633e-19, -2.643436574311556e-19]","[5.044098653595626e-19, -6.380924699278198e-19]","[0.015190687543792462, 0.015336361989403746]",,,"[3.148649703032398e-25, 3.153394098865708e-25]","[3.144451017930547e-25, 3.147910680299653e-25]","[1.82449289213441e-26, 1.827012684233811e-26]","[1.882856215748204e-26, 1.898841417050086e-26]","[4.910962619134277e-26, 4.796765881550682e-26]","[4.880379322523711e-26, 4.766712573584941e-26]"
5,60,3250,500,4000,"[[0.014903057379935167, -0.002986078158855438, -0.0007765273839320264, -0.00010556461350113568], [-0.00298608974900189, 0.014844690701706818, 0.00036010316403995866, -0.0009962597574068662], [0.0007764515962357893, -0.00035998943080230703, -0.012490697182090425, -0.007551561853653368], [-0.00010579397913956491, -0.0009962661212697818, 0.007551564223906837, -0.012432330505060957]]","[[ 1.         -0.20036682 -0.05210524 -0.00708342]
 [-0.20036759  0.99608358  0.02416304 -0.06684935]
 [ 0.05210015 -0.02415541 -0.83812985 -0.50671226]
 [-0.00709881 -0.06684978  0.50671242 -0.83421342]]","[-6.912504690623428e-20, 8.560153409042265e-20]","[4.619570130470056e-19, -9.580894806960465e-20]","[0.014797492758378342, 0.015008621985265678]",,,"[3.152235607961114e-25, 3.156593629284741e-25]","[3.147813922097773e-25, 3.150717764399356e-25]","[1.813075649875363e-26, 1.824046816062384e-26]","[1.876205710698206e-26, 1.904244268647949e-26]","[4.867633830718172e-26, 4.721244525942983e-26]","[4.837289897006773e-26, 4.691353168742281e-26]"
6,60,3250,500,4000,"[[0.01440762985398683, -0.0033562958820382424, -0.0009197868790890965, -7.90031164054349e-05], [-0.0033562834209739318, 0.014316522161495142, 0.0004399182989931286, -0.0012534472696900723], [0.0009198502886180182, -0.00043999270274597545, -0.012214776347492125, -0.006849423064909003], [-7.879395762350379e-05, -0.0012534545205531754, 0.006849419328692174, -0.012123668655929211]]","[[ 1.         -0.23295267 -0.06384026 -0.00548342]
 [-0.23295181  0.99367643  0.0305337  -0.08699885]
 [ 0.06384466 -0.03053887 -0.84779915 -0.47540249]
 [-0.0054689  -0.08699936  0.47540223 -0.84147558]]","[3.098558539522243e-19, 8.426685768100516e-19]","[-9.543826038406439e-20, -1.2300311141854258e-18]","[0.014328626729780958, 0.014486632962505805]",,,"[3.158408440410549e-25, 3.161601754408999e-25]","[3.153758727600489e-25, 3.15501992753752e-25]","[1.807093398592729e-26, 1.825640150765094e-26]","[1.877530664646266e-26, 1.917556057094777e-26]","[4.84101984928908e-26, 4.691207723386396e-26]","[4.811146558031186e-26, 4.661729275643615e-26]"
7,60,3250,500,4000,"[[0.01389990049325917, -0.003632781857380393, -0.001081466918684128, -4.5504822696380235e-05], [-0.0036327711643518766, 0.013768418647870283, 0.0005041071494769661, -0.00148729236045511], [0.0010815075211458225, -0.0005042081666746241, -0.01195103398611168, -0.006076734947309675], [-4.5393364795212284e-05, -0.00148728423613181, 0.006076736102132088, -0.011819552141162681]]","[[ 1.         -0.26135308 -0.07780393 -0.00327375]
 [-0.26135231  0.99054081  0.03626696 -0.10700022]
 [ 0.07780685 -0.03627423 -0.85979277 -0.43717831]
 [-0.00326573 -0.10699963  0.43717839 -0.85033358]]","[4.788052836228418e-19, -4.977740699454639e-20]","[-5.435983485884747e-19, -2.228887152906022e-19]","[0.013854395663020517, 0.013945405308363733]",,,"[3.168433609933315e-25, 3.170471567995821e-25]","[3.163621831652932e-25, 3.163160956740151e-25]","[1.803746486782327e-26, 1.832426003266823e-26]","[1.881751324625242e-26, 1.936978886673918e-26]","[4.821665821687194e-26, 4.678553331131634e-26]","[4.79239533758997e-26, 4.649811332105307e-26]"
8,60,3250,500,4000,"[[0.01335890611463595, -0.003824550466134921, -0.0012848908921571896, -1.468543128467178e-05], [-0.0038245490779770215, 0.013179764958280382, 0.0005523272080498434, -0.0016727020041213932], [0.0012848955136163685, -0.0005522981975413448, -0.011654862441144036, -0.0052623312994260025], [-1.4642536904390562e-05, -0.0016727147570624213, 0.005262327126187697, -0.011475721284842456]]","[[ 1.         -0.28629219 -0.09618234 -0.0010993 ]
 [-0.28629208  0.98659013  0.04134524 -0.1252125 ]
 [ 0.09618269 -0.04134307 -0.87244138 -0.39391933]
 [-0.00109609 -0.12521345  0.39391901 -0.85903151]]","[-2.7798154735296085e-20, -4.793912180025493e-19]","[1.004576421950471e-18, -1.0781790573907658e-19]","[0.013344220676086743, 0.013373591538640095]",,,"[3.182862963863842e-25, 3.183038185324116e-25]","[3.177844996235983e-25, 3.174895478506962e-25]","[1.803115974973178e-26, 1.841751751495588e-26]","[1.889625998070666e-26, 1.960486095322882e-26]","[4.805826579382183e-26, 4.673781480413315e-26]","[4.77734264995824e-26, 4.646018493299656e-26]"
9,60,3250,500,4000,"[[0.012769973137118442, -0.003917752550618645, -0.001546737897237365, 7.05803740332371e-06], [-0.003917759019177797, 0.012534962704817184, 0.0005871390472428637, -0.0017915899074842476], [0.001546721772494558, -0.0005871055324263579, -0.011302965934992623, -0.004429627224034191], [7.000904476468827e-06, -0.0017915867455194513, 0.004429628412243491, -0.011067955502783392]]","[[ 1.00000000e+00 -3.06794111e-01 -1.21123035e-01  5.52705736e-04]
 [-3.06794617e-01  9.81596638e-01  4.59780957e-02 -1.40297077e-01]
 [ 1.21121772e-01 -4.59754712e-02 -8.85120573e-01 -3.46878351e-01]
 [ 5.48231731e-04 -1.40296830e-01  3.46878444e-01 -8.66717211e-01]]","[6.347543059178079e-20, -8.908939029383766e-20]","[-2.9324560897362047e-19, 3.14783646936541e-19]","[0.012777031167566007, 0.012762915092767042]",,,"[3.203361079679098e-25, 3.200327372631074e-25]","[3.198023914694033e-25, 3.191204480476938e-25]","[1.80612140961403e-26, 1.851343752994633e-26]","[1.902462429959518e-26, 1.986036770392708e-26]","[4.792370671786348e-26, 4.674497356231393e-26]","[4.764906044560596e-26, 4.647921191395013e-26]"
