azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H,E air,H air,E Ge,H Ge,E CaF2,H CaF2
0,60,5600,500,4000,"[[0.01461123720397052, -0.008379827511662087, 1.5221472275069055e-08, -5.858181812993691e-09], [-0.008379827511638927, 0.014611237203945636, 6.324045418744005e-09, -5.742895809702688e-09], [-1.7547489096987538e-08, 1.61035124093019e-08, -0.003583276713294319, 0.011420458462830145], [-1.8608836363539138e-08, 1.4207144078314422e-08, -0.011420458462836411, -0.003583276713287725]]","[[ 1.00000000e+00 -5.73519367e-01  1.04176478e-06 -4.00936740e-07]
 [-5.73519367e-01  1.00000000e+00  4.32820666e-07 -3.93046511e-07]
 [-1.20095847e-06  1.10213202e-06 -2.45241157e-01  7.81621591e-01]
 [-1.27359758e-06  9.72343675e-07 -7.81621591e-01 -2.45241157e-01]]","[-4.4425074888397936e-20, 1.069707064444707e-20]","[-1.2988425572042228e-20, 1.9742594464584586e-19]","[0.014611231337834414, 0.014611243054198034]",,,"[2.187420866586971e-25, 2.187420395846516e-25]","[2.175468619237443e-25, 2.175468102577853e-25]","[9.920745254646028e-27, 9.920732880692182e-27]","[8.289370867335708e-27, 8.28936734489709e-27]","[4.60208456407222e-26, 4.602083116785165e-26]","[4.569759328391099e-26, 4.569757880011226e-26]"
1,60,5600,500,4000,"[[0.01461131157126557, -0.008378240319982104, -5.451673546358572e-06, 1.1651436421186668e-06], [-0.008378240305199748, 0.01461130859101433, 5.597023519182682e-06, 4.943487963694919e-06], [5.477438413407086e-06, -5.633022434946885e-06, -0.0035822834822332745, 0.01142202815699688], [1.150509821285737e-06, 4.927626612028633e-06, -0.01142202816236731, -0.0035822805020235358]]","[[ 1.00000000e+00 -5.73407820e-01 -3.73113223e-04  7.97425773e-05]
 [-5.73407819e-01  9.99999796e-01  3.83060993e-04  3.38332937e-04]
 [ 3.74876573e-04 -3.85524763e-04 -2.45171932e-01  7.81725042e-01]
 [ 7.87410367e-05  3.37247385e-04 -7.81725043e-01 -2.45171728e-01]]","[1.3679216384324137e-20, 8.340951835474128e-20]","[2.394338938983273e-19, -7.950749943695666e-20]","[0.014612476706952716, 0.014610146419669748]",,,"[2.187373027496162e-25, 2.187474669579155e-25]","[2.17541907434921e-25, 2.175552344863362e-25]","[9.926343215108492e-27, 9.916719605450903e-27]","[8.302257496017887e-27, 8.2756682396098e-27]","[4.603044855704953e-26, 4.601174000845096e-26]","[4.570418426855951e-26, 4.569131578960521e-26]"
2,60,5600,500,4000,"[[0.0146115684315562, -0.008373338933636383, -1.0952704157233442e-05, 2.376282760094383e-06], [-0.008373338913119853, 0.01461155651151668, 1.1217419236157525e-05, 9.826407180996074e-06], [1.0974516486962165e-05, -1.1225894133096553e-05, -0.0035793164700377174, 0.01142687575633342], [2.3477690926455017e-06, 9.834208511219488e-06, -0.011426875743728094, -0.0035793045500225177]]","[[ 1.00000000e+00 -5.73062295e-01 -7.49591271e-04  1.62630232e-04]
 [-5.73062293e-01  9.99999184e-01  7.67708086e-04  6.72508720e-04]
 [ 7.51084084e-04 -7.68288099e-04 -2.44964563e-01  7.82043065e-01]
 [ 1.60678787e-04  6.73042634e-04 -7.82043064e-01 -2.44963747e-01]]","[-7.472890205608473e-20, -2.600842605277647e-20]","[-6.622633353266954e-20, -1.8575623023572285e-20]","[0.014613944706360524, 0.014609192140842928]",,,"[2.18733091181192e-25, 2.187532663573876e-25]","[2.17540382006154e-25, 2.17566872445107e-25]","[9.933557238941504e-27, 9.914275676327636e-27]","[8.314348918881557e-27, 8.261127188328734e-27]","[4.604058613499864e-26, 4.600308040460713e-26]","[4.571112778464979e-26, 4.568530068130017e-26]"
3,60,5600,500,4000,"[[0.01461197807356409, -0.00836515045185408, -1.654379405210538e-05, 3.66107811128311e-06], [-0.008365150442931015, 0.014611951145841151, 1.6856655057902516e-05, 1.4681183512427905e-05], [1.6554184637840954e-05, -1.684277787209811e-05, -0.0035743167408003275, 0.011434951868628295], [3.6344010664905648e-06, 1.4702179708407229e-05, -0.011434951833142326, -0.003574289813102249]]","[[ 1.00000000e+00 -5.72485834e-01 -1.13220770e-03  2.50553217e-04]
 [-5.72485833e-01  9.99998157e-01  1.15361897e-03  1.00473621e-03]
 [ 1.13291880e-03 -1.15266925e-03 -2.44615529e-01  7.82573845e-01]
 [ 2.48727520e-04  1.00617313e-03 -7.82573843e-01 -2.44613686e-01]]","[8.747325181741935e-20, 1.104026470953914e-19]","[-2.708748971828001e-19, 4.237932320045225e-19]","[0.014615639143718686, 0.014608316987500102]",,,"[2.187294925622286e-25, 2.187596617304663e-25]","[2.175423530274391e-25, 2.175819675447268e-25]","[9.942426118816365e-27, 9.913413086008217e-27]","[8.32566310566195e-27, 8.245727832140152e-27]","[4.605130455757154e-26, 4.599487991490615e-26]","[4.571846995155767e-26, 4.567955857753131e-26]"
4,60,5600,500,4000,"[[0.014612560393236197, -0.008353485520442478, -2.238521865815748e-05, 5.139620616869142e-06], [-0.008353485548548943, 0.014612511975304745, 2.255714234649562e-05, 1.9471742069975798e-05], [2.2374171013482844e-05, -2.2536419159493172e-05, -0.0035673643887209777, 0.011446378354022903], [5.14204356416396e-06, 1.9483676440672796e-05, -0.011446378334803003, -0.0035673159708014975]]","[[ 1.00000000e+00 -5.71664739e-01 -1.53191625e-03  3.51726219e-04]
 [-5.71664741e-01  9.99996687e-01  1.54368172e-03  1.33253458e-03]
 [ 1.53116021e-03 -1.54226354e-03 -2.44130001e-01  7.83324623e-01]
 [ 3.51892032e-04  1.33335130e-03 -7.83324621e-01 -2.44126688e-01]]","[7.870788854253178e-20, -1.3018370818251534e-19]","[-7.786031537437003e-20, -4.906394286630327e-19]","[0.014617700005895252, 0.014607420764667114]",,,"[2.187265155860375e-25, 2.18766724622099e-25]","[2.175478707645336e-25, 2.176006355475415e-25]","[9.952987359159512e-27, 9.914167235582679e-27]","[8.336207493572881e-27, 8.229447274525545e-27]","[4.606264437537302e-26, 4.598714341500924e-26]","[4.572625124361393e-26, 4.567409157324072e-26]"
5,60,5600,500,4000,"[[0.014613459365794683, -0.008338448283609022, -2.8268491646073355e-05, 6.732405012359045e-06], [-0.008338448214103162, 0.014613383121539565, 2.822107055802384e-05, 2.4214829593133466e-05], [2.8289924279756247e-05, -2.826236048236465e-05, -0.003558285407357669, 0.011461292987398678], [6.728463675406429e-06, 2.4190595644203866e-05, -0.01146129303625882, -0.00355820916314989]]","[[ 1.00000000e+00 -5.70600573e-01 -1.93441477e-03  4.60698924e-04]
 [-5.70600568e-01  9.99994783e-01  1.93116974e-03  1.65702241e-03]
 [ 1.93588141e-03 -1.93399521e-03 -2.43493708e-01  7.84297044e-01]
 [ 4.60429219e-04  1.65536407e-03 -7.84297048e-01 -2.43488491e-01]]","[4.594364425153649e-20, 1.1438849275069176e-19]","[5.488057176683088e-20, 1.7401286372105674e-19]","[0.014620191762847871, 0.01460672695283048]",,,"[2.187241673133951e-25, 2.187745149868837e-25]","[2.175570310309609e-25, 2.176229634940231e-25]","[9.965305466670115e-27, 9.916493918285844e-27]","[8.345992200743334e-27, 8.212247443942593e-27]","[4.60746771101704e-26, 4.597986167511821e-26]","[4.573454223872217e-26, 4.566888786654315e-26]"
6,60,5600,500,4000,"[[0.01461473585720431, -0.00831982535010156, -3.440952177158055e-05, 8.545742593015912e-06], [-0.008319825415669713, 0.014614625034739148, 3.3974386134189344e-05, 2.879335065713098e-05], [3.4390823110344384e-05, -3.394933570421101e-05, -0.0035471647088751563, 0.011479869597438202], [8.557170070450428e-06, 2.8803949890751673e-05, -0.011479869579361162, -0.003547053886430868]]","[[ 1.00000000e+00 -5.69276478e-01 -2.35444021e-03  5.84734659e-04]
 [-5.69276482e-01  9.99992417e-01  2.32466645e-03  1.97015881e-03]
 [ 2.35316077e-03 -2.32295240e-03 -2.42711517e-01  7.85499629e-01]
 [ 5.85516574e-04  1.97088406e-03 -7.85499628e-01 -2.42703934e-01]]","[1.6732961750174755e-19, 7.440566605549928e-20]","[1.3400814668191683e-19, 3.1645318521921534e-19]","[0.014623281591836465, 0.014606190106659742]",,,"[2.187228346213464e-25, 2.187829026240472e-25]","[2.175702819683793e-25, 2.176489119909652e-25]","[9.979535977884475e-27, 9.920536771551499e-27]","[8.355037339890101e-27, 8.194092148376405e-27]","[4.608753935211095e-26, 4.597301667184811e-26]","[4.57434784005082e-26, 4.566392643294802e-26]"
7,60,5600,500,4000,"[[0.014616406247247443, -0.008297424678739933, -4.0802269583411184e-05, 1.0629760811111711e-05], [-0.008297424703575211, 0.014616253445205599, 3.975709468001611e-05, 3.329832776237515e-05], [4.0795658219968424e-05, -3.975093344193159e-05, -0.0035338506827784677, 0.011502272861006203], [1.0635748716869935e-05, 3.329949492066694e-05, -0.011502272863162544, -0.0035336978807386575]]","[[ 1.00000000e+00 -5.67678849e-01 -2.79153910e-03  7.27248588e-04]
 [-5.67678851e-01  9.99989546e-01  2.72003213e-03  2.27814739e-03]
 [ 2.79108678e-03 -2.71961061e-03 -2.41772883e-01  7.86942609e-01]
 [ 7.27658259e-04  2.27822724e-03 -7.86942609e-01 -2.41762429e-01]]","[-1.4246961424750056e-19, 6.349701849805316e-20]","[-2.6282848122434674e-19, 1.1524783757884328e-19]","[0.014627036000095657, 0.014605776478485011]",,,"[2.187222788743841e-25, 2.187922294044884e-25]","[2.17587535714903e-25, 2.176789373002356e-25]","[9.995758693260074e-27, 9.926340100191388e-27]","[8.363340307897323e-27, 8.174954217950897e-27]","[4.610126520980514e-26, 4.596668326361484e-26]","[4.575309212141494e-26, 4.565927680753999e-26]"
8,60,5600,500,4000,"[[0.01461866931863673, -0.008271141494513209, -4.755306956245842e-05, 1.3053421615088364e-05], [-0.008271141466809294, 0.01461846636346772, 4.563376139664854e-05, 3.767284310848415e-05], [4.756032923124891e-05, -4.563727842707119e-05, -0.0035183046627605802, 0.011528789652989752], [1.3044524142108042e-05, 3.767466510611952e-05, -0.01152878963696514, -0.0035181017075940923]]","[[ 1.00000000e+00 -5.65793050e-01 -3.25290001e-03  8.92928168e-04]
 [-5.65793048e-01  9.99986117e-01  3.12160843e-03  2.57703641e-03]
 [ 3.25339661e-03 -3.12184902e-03 -2.40672019e-01  7.88634684e-01]
 [ 8.92319530e-04  2.57716105e-03 -7.88634683e-01 -2.40658136e-01]]","[1.0660441982035427e-19, 1.0495669418028495e-19]","[-2.1228072109461153e-19, -2.833919643103909e-19]","[0.014631722732286367, 0.014605615889070401]",,,"[2.187228169093942e-25, 2.188025331892314e-25]","[2.176092337836685e-25, 2.177131838877781e-25]","[1.001411466514555e-26, 9.933988669825374e-27]","[8.370910484371276e-27, 8.154789479710326e-27]","[4.611601133148219e-26, 4.596088417133425e-26]","[4.576353811149224e-26, 4.565495660666898e-26]"
9,60,5600,500,4000,"[[0.014621650484552948, -0.008240736303558436, -5.4671367440642866e-05, 1.582904471583628e-05], [-0.008240736243776501, 0.014621388601788084, 5.1591194176784834e-05, 4.190577816497948e-05], [5.468447242965595e-05, -5.1600161593665716e-05, -0.003500457682184921, 0.011559706414120042], [1.5814893103920552e-05, 4.190649326845758e-05, -0.011559706392158102, -0.0035001957994277998]]","[[ 1.         -0.56359823 -0.00373907  0.00108258]
 [-0.56359822  0.99998209  0.00352841  0.00286601]
 [ 0.00373997 -0.00352902 -0.23940236  0.79058834]
 [ 0.00108161  0.00286606 -0.79058834 -0.23938445]]","[-9.084506465253427e-20, 1.1501048558714634e-19]","[-2.9570302125511626e-19, 3.5350370371783743e-19]","[0.014637479521300205, 0.014605821431885766]",,,"[2.18724603487873e-25, 2.188140215476837e-25]","[2.176356864190272e-25, 2.177519968315471e-25]","[1.003476341876582e-26, 9.943586262398717e-27]","[8.377752242794933e-27, 8.133552664879893e-27]","[4.613191928518738e-26, 4.595568006289659e-26]","[4.577495616191498e-26, 4.565102076790608e-26]"
