azi,aoi,wvl,pitch,mm,dmm,reflected flux
22,60,4000,7560,"[[0.7496771753052487, -0.02285441729561905, -0.004539487950405286, 0.0005849815734885792], [-0.02285178894330991, 0.7496510371194542, -0.000840228530374094, -0.004173062316101926], [0.004528188686277393, 0.0001413848918367451, -0.7232878408849662, 0.1958258853177883], [0.0007515274628200339, -0.004268556594727571, -0.1958243953757378, -0.7232618778999019]]","[[ 1.00000000e+00 -3.04856784e-02 -6.05525698e-03  7.80311303e-04]
 [-3.04821725e-02  9.99965134e-01 -1.12078713e-03 -5.56647908e-03]
 [ 6.04018481e-03  1.88594366e-04 -9.64799069e-01  2.61213615e-01]
 [ 1.00246811e-03 -5.69385962e-03 -2.61211628e-01 -9.64764437e-01]]","[0.0005126555818415032, 0.00048232298519807404]"
22,60,4050,7560,"[[0.8101192585684664, -0.05701430910082345, -0.005709158293543126, 0.001212518615447139], [-0.05701158216413599, 0.8099891089432598, -0.001880214198809238, -0.01315088058621381], [0.005712121505767559, 0.001374693218487352, -0.7774203529915701, 0.2205829782113258], [0.001321854418266057, -0.01322505295140657, -0.2205791717477284, -0.7772902876249553]]","[[ 1.         -0.07037767 -0.00704731  0.00149672]
 [-0.07037431  0.99983935 -0.00232091 -0.01623326]
 [ 0.00705096  0.0016969  -0.95963692  0.27228458]
 [ 0.00163168 -0.01632482 -0.27227988 -0.95947637]]","[0.0005754338954231901, 0.0004997639705027863]"
22,60,4100,7560,"[[0.8353401100957552, -0.06955421747213492, -0.007462009763473202, 0.001678352429810288], [-0.0695518097125089, 0.8351584603231768, -0.002063375104917708, -0.01550337957093424], [0.007467652224716324, 0.001688109586193623, -0.7997766941286216, 0.230883017033531], [0.001751445321871912, -0.01555948311625598, -0.2308797858445343, -0.7995950890571369]]","[[ 1.         -0.08326455 -0.0089329   0.00200918]
 [-0.08326167  0.99978254 -0.0024701  -0.01855936]
 [ 0.00893965  0.00202086 -0.95742642  0.27639403]
 [ 0.00209669 -0.01862652 -0.27639016 -0.95720902]]","[0.0006004921124877133, 0.0005081791037532465]"
22,60,4150,7560,"[[0.8469618020318778, -0.07634916980800677, -0.009006688002785146, 0.001972679808305776], [-0.07634714173027002, 0.8467613761430477, -0.001956966288442395, -0.01582133628895704], [0.009012929016481933, 0.001670701588416541, -0.8106395264318156, 0.2331782286328826], [0.002022049687662699, -0.01586388461930869, -0.2331757606923062, -0.8104391259999713]]","[[ 1.         -0.09014476 -0.01063411  0.00232912]
 [-0.09014237  0.99976336 -0.00231057 -0.01868011]
 [ 0.01064148  0.00197258 -0.95711462  0.27531139]
 [ 0.00238742 -0.01873034 -0.27530847 -0.95687801]]","[0.000612713483853305, 0.0005113821507507588]"
22,60,4200,7560,"[[0.8506174147580996, -0.08298550087092016, -0.01076815538708625, 0.002247375724259744], [-0.08298375251609291, 0.8504006387665745, -0.001730608751770489, -0.01563492332157177], [0.01077486892548023, 0.001507025445739258, -0.8148936481074442, 0.2293568355547244], [0.002279526457509343, -0.01566731889553429, -0.2293549421852479, -0.814676887435483]]","[[ 1.         -0.09755914 -0.01265922  0.00264205]
 [-0.09755708  0.99974515 -0.00203453 -0.01838068]
 [ 0.01266712  0.00177168 -0.95800254  0.26963572]
 [ 0.00267985 -0.01841876 -0.26963349 -0.95774772]]","[0.000619543265938638, 0.0005094041321068126]"
22,60,4250,7560,"[[0.8439752944141843, -0.09564579819967084, -0.01448585272307746, 0.002818195976288308], [-0.09564402603111816, 0.8436639212628552, -0.001446497754590353, -0.01747203564704843], [0.01449460357448267, 0.00126218652895559, -0.812439898504764, 0.2075531460761268], [0.002833305967417741, -0.01749600721258543, -0.2075513324493754, -0.8121285356785543]]","[[ 1.         -0.11332772 -0.01716384  0.00333919]
 [-0.11332562  0.99963106 -0.00171391 -0.02070207]
 [ 0.0171742   0.00149553 -0.96263469  0.24592325]
 [ 0.0033571  -0.02073047 -0.2459211  -0.96226577]]","[0.000623536956362869, 0.0004965949573653455]"
22,60,4300,7560,"[[0.8820554351886369, -0.06419078971781067, -0.0001101356358102737, -0.0003893314394161386], [-0.06419100133253375, 0.8819916954305034, 0.002195505374193891, 0.0103674081738303], [0.0001082543607467076, -0.002353177093181802, -0.7987349335977579, 0.3686707876677394], [-0.0003533020580391497, 0.0103314464709393, -0.3686717609052622, -0.7986712016215226]]","[[ 1.00000000e+00 -7.27740992e-02 -1.24862488e-04 -4.41391123e-04]
 [-7.27743391e-02  9.99927737e-01  2.48907868e-03  1.17536923e-02]
 [ 1.22729657e-04 -2.66783356e-03 -9.05538248e-01  4.17967820e-01]
 [-4.00544052e-04  1.17129220e-02 -4.17968924e-01 -9.05465994e-01]]","[0.0006279334251710913, 0.000542738807975282]"
22,60,4350,7560,"[[0.9039508204322149, -0.04571659126337496, -0.0006749001877226283, 0.0002428998087970315], [-0.04571652081585237, 0.9039354653700189, -0.0009042136652186154, -0.005140201571228492], [0.0006766338352011366, 0.0007842131186060575, -0.8535549189814723, 0.2940755135648248], [0.0002511940878843931, -0.00516049663947759, -0.2940751650908233, -0.8535395680356362]]","[[ 1.00000000e+00 -5.05742019e-02 -7.46611621e-04  2.68709097e-04]
 [-5.05741239e-02  9.99983013e-01 -1.00029077e-03 -5.68637304e-03]
 [ 7.48529477e-04  8.67539584e-04 -9.44249288e-01  3.25322470e-01]
 [ 2.77884684e-04 -5.70882455e-03 -3.25322084e-01 -9.44232306e-01]]","[0.0006302037407423567, 0.000569528252727604]"
22,60,4400,7560,"[[0.9052714461971241, -0.04686856730159572, -0.001936224773123952, 0.0005138625807226647], [-0.04686845743842816, 0.9052321950674168, -0.001248831225190877, -0.00809205872812355], [0.001938574907670718, 0.001153473834661688, -0.8617701807422535, 0.2732586665268887], [0.0005150210653315063, -0.008106836019534564, -0.2732582307053367, -0.8617309321859368]]","[[ 1.00000000e+00 -5.17729434e-02 -2.13883336e-03  5.67633700e-04]
 [-5.17728220e-02  9.99956642e-01 -1.37951023e-03 -8.93882024e-03]
 [ 2.14142942e-03  1.27417455e-03 -9.51946716e-01  3.01852740e-01]
 [ 5.68913410e-04 -8.95514385e-03 -3.01852259e-01 -9.51903361e-01]]","[0.0006318445708756308, 0.0005696401694758525]"
22,60,4450,7560,"[[0.9060588780494945, -0.04803775880400268, -0.00274848228434426, 0.0006565193759101211], [-0.04803765935275911, 0.9060072952664824, -0.001317103839335248, -0.009151061485960437], [0.002751077179805706, 0.00124102162990722, -0.8660321360092857, 0.2619569558896959], [0.0006529178576679014, -0.009162210921897194, -0.2619565571623976, -0.865980554863222]]","[[ 1.00000000e+00 -5.30183633e-02 -3.03344777e-03  7.24587984e-04]
 [-5.30182536e-02  9.99943069e-01 -1.45366253e-03 -1.00998530e-02]
 [ 3.03631171e-03  1.36969204e-03 -9.55823244e-01  2.89116924e-01]
 [ 7.20613057e-04 -1.01121584e-02 -2.89116484e-01 -9.55766315e-01]]","[0.0006331429952947683, 0.00056938683198469]"
