azi,aoi,wvl,pitch,mm,dmm,reflected flux
0,60,3000,7560,"[[0.7363714516196757, -0.1046787766454964, 0.004606421299439214, -0.002931351444672152], [-0.1046769673907658, 0.7359772181915305, 0.005795248004758575, 0.02273045199149167], [-0.004611113733552774, -0.005537952685787936, -0.6326982045229667, 0.3618549875092485], [-0.002988033883112534, 0.02280281134190297, -0.3618508985109142, -0.6323039964528349]]","[[ 1.         -0.14215485  0.00625557 -0.00398081]
 [-0.1421524   0.99946463  0.00787001  0.03086819]
 [-0.00626194 -0.0075206  -0.85921066  0.49140279]
 [-0.00405778  0.03096645 -0.49139724 -0.85867533]]","[0.8410502278073075, 0.6316926746302884]"
0,60,3025,7560,"[[0.7497425813740269, -0.09292362932944764, 0.007135197908392179, -0.003070909908934978], [-0.09292177709445582, 0.7494224699264197, 0.004611409476559311, 0.01994865988451121], [-0.007146116093789614, -0.004331838908244606, -0.657521168070436, 0.3480186943067289], [-0.003101417579053465, 0.02001982841051062, -0.3480148781185841, -0.6572010847300029]]","[[ 1.         -0.12394071  0.00951686 -0.00409595]
 [-0.12393824  0.99957304  0.00615066  0.02660735]
 [-0.00953143 -0.00577777 -0.8769959   0.46418425]
 [-0.00413664  0.02670227 -0.46417916 -0.87656897]]","[0.842666210244731, 0.6568189516870093]"
0,60,3050,7560,"[[0.7577459417419472, -0.08637322197369285, 0.00845010830723492, -0.003052780642155155], [-0.08637133818914228, 0.7574701142576423, 0.003834209867267343, 0.01794959202911857], [-0.008464019627005322, -0.003546571938957035, -0.674416068952519, 0.3344546043136195], [-0.003067504741710711, 0.01801766522980935, -0.3344510787184717, -0.6741402704343348]]","[[ 1.         -0.11398705  0.01115164 -0.00402877]
 [-0.11398456  0.99963599  0.00506002  0.02368814]
 [-0.01117    -0.00468042 -0.89002927  0.44138092]
 [-0.0040482   0.02377798 -0.44137627 -0.8896653 ]]","[0.8441191632561051, 0.6713727194027622]"
0,60,3075,7560,"[[0.7629206177112846, -0.08256214551313096, 0.00919084572666981, -0.002984892924341993], [-0.08256024094377307, 0.7626725885936276, 0.003303748728313272, 0.0165463308085177], [-0.009205981651848563, -0.003014521473863398, -0.6866842767828657, 0.3219912213150322], [-0.002990922901813975, 0.01661092911928428, -0.3219879512264393, -0.6864362765362088]]","[[ 1.         -0.10821853  0.01204692 -0.00391246]
 [-0.10821603  0.9996749   0.0043304   0.02168814]
 [-0.01206676 -0.00395129 -0.90007304  0.42205075]
 [-0.00392036  0.02177281 -0.42204647 -0.89974797]]","[0.8454827627641379, 0.6803584718277694]"
0,60,3100,7560,"[[0.7664538035291855, -0.08033198315361662, 0.009635762904813019, -0.0029053260058325], [-0.08033006326168163, 0.7662234264740237, 0.002931313754844278, 0.01558537027815153], [-0.009651103488740348, -0.002643696850688423, -0.696054458489391, 0.3106304268154639], [-0.002907490528741476, 0.01564658709640056, -0.3106273695675796, -0.6958241097216596]]","[[ 1.         -0.10480995  0.01257188 -0.00379061]
 [-0.10480744  0.99969942  0.00382451  0.02033439]
 [-0.01259189 -0.00344926 -0.90814927  0.40528265]
 [-0.00379343  0.02041426 -0.40527866 -0.90784873]]","[0.8467857862218148, 0.6861218200020467]"
0,60,3125,7560,"[[0.7688660214628609, -0.0791358705936282, 0.009913159273469724, -0.002827532821263097], [-0.0791339375310624, 0.76864648274183, 0.002665060867487192, 0.01496226470948565], [-0.009928081873842795, -0.002380857290270261, -0.7034283825803153, 0.300112672484151], [-0.002829276300425625, 0.0150202988874681, -0.3001097899680647, -0.7032088712949517]]","[[ 1.         -0.10292544  0.01289322 -0.00367754]
 [-0.10292292  0.99971446  0.00346622  0.01946017]
 [-0.01291263 -0.00309658 -0.91489071  0.39033156]
 [-0.0036798   0.01953565 -0.39032781 -0.91460521]]","[0.8480018915948397, 0.6897301504937465]"
0,60,3150,7560,"[[0.7705793039082318, -0.07860148443166076, 0.01009455798340695, -0.002757805926874519], [-0.07859953520294033, 0.7703653149052361, 0.002477199528817361, 0.01462178751018039], [-0.01010865860881716, -0.00219731018337315, -0.709455446589427, 0.2903017236839082], [-0.00276170894255888, 0.01467690145087983, -0.2902989795889667, -0.7092414840603397]]","[[ 1.         -0.10200311  0.01309996 -0.00357887]
 [-0.10200058  0.9997223   0.00321472  0.01897506]
 [-0.01311826 -0.0028515  -0.92067804  0.37673179]
 [-0.00358394  0.01904658 -0.37672823 -0.92040038]]","[0.8491807878776013, 0.6919778190998614]"
0,60,3175,7560,"[[0.7717851116410757, -0.07854487979863384, 0.010212758863491, -0.002697647437409361], [-0.07854290827731408, 0.7715721668175175, 0.002350352459749829, 0.01453404071275064], [-0.01022575191602794, -0.00207529412877326, -0.7145088852253003, 0.2809781036906103], [-0.002705816877668701, 0.01458647840732214, -0.2809754649145774, -0.7142959658794321]]","[[ 1.         -0.1017704   0.01323265 -0.00349533]
 [-0.10176785  0.99972409  0.00304535  0.01883172]
 [-0.01324948 -0.00268895 -0.92578734  0.36406261]
 [-0.00350592  0.01889966 -0.36405919 -0.92551146]]","[0.8503299909767936, 0.6932402314650444]"
0,60,3200,7560,"[[0.7725977298708905, -0.07886182077852777, 0.01027959289047798, -0.002646742449772066], [-0.07885981734047243, 0.7723814661971897, 0.002275175754623901, 0.01469541394099514], [-0.01029124689509306, -0.002005268646792003, -0.7188460651314892, 0.2719147172457648], [-0.002661108503160045, 0.01474538906905403, -0.2719121519899649, -0.7186298259531214]]","[[ 1.         -0.10207359  0.01330523 -0.00342577]
 [-0.10207099  0.99972008  0.00294484  0.01902078]
 [-0.01332032 -0.00259549 -0.93042736  0.35194864]
 [-0.00344436  0.01908547 -0.35194532 -0.93014747]]","[0.8514595501858863, 0.6937359087146947]"
0,60,3225,7560,"[[0.7730877860269364, -0.07949824337586098, 0.01028842105518656, -0.002603400246013986], [-0.07949619351880177, 0.7728633452251535, 0.002248688624138511, 0.01513151328745361], [-0.01029850712731311, -0.001984166268772838, -0.7226666324676793, 0.2628444132079396], [-0.002626017415648235, 0.01517920600635731, -0.2628418882686651, -0.7224422152306572]]","[[ 1.         -0.1028321   0.01330822 -0.00336754]
 [-0.10282945  0.99970968  0.00290871  0.01957283]
 [-0.01332126 -0.00256655 -0.93477952  0.33999297]
 [-0.00339679  0.01963452 -0.3399897  -0.93448924]]","[0.8525860289386528, 0.6935895422734882]"
