azi,aoi,wvl,pitch,mm,dmm,reflected flux
0,60,4000,7560,"[[0.6572115634359108, 0.04235704092076747, -0.01770380996176251, 0.001014129675369337], [0.0423675811092496, 0.6568197914216005, -0.002131993158340485, -0.01402479886688681], [0.01765227670634766, 0.0016619750128279, -0.6443076252368823, 0.1224540388298127], [0.001399092476544289, -0.01405650040569474, -0.1224541971763078, -0.6439159950662497]]","[[ 1.          0.06444963 -0.02693776  0.00154308]
 [ 0.06446567  0.99940389 -0.003244   -0.02133985]
 [ 0.02685935  0.00252883 -0.98036563  0.18632362]
 [ 0.00212883 -0.02138809 -0.18632386 -0.97976973]]","[0.6148545221804187, 0.6995686039758355]"
0,60,4070,7560,"[[0.7760899222844324, -0.05940250862082491, -0.01246742492159134, 0.001765065900017725], [-0.05940076487700791, 0.7758893976164236, -0.0008965402031209805, -0.01231450564429807], [0.01247880953872562, 0.0006604960713910537, -0.7577222177266166, 0.1569735088959398], [0.001743162865805864, -0.01233781751415258, -0.1569714335874522, -0.7575217113802525]]","[[ 1.00000000e+00 -7.65407550e-02 -1.60644077e-02  2.27430591e-03]
 [-7.65385082e-02  9.99741622e-01 -1.15520145e-03 -1.58673696e-02]
 [ 1.60790769e-02  8.51056111e-04 -9.76333020e-01  2.02262012e-01]
 [ 2.24608362e-03 -1.58974072e-02 -2.02259338e-01 -9.76074666e-01]]","[0.835492430450418, 0.7166874132734462]"
0,60,4140,7560,"[[0.8110309782207008, -0.08849173334959498, -0.01091341866140597, 0.002054675812178735], [-0.08849198498107808, 0.8108387352699606, -0.001000576910988735, -0.01369350212276642], [0.01092719298222441, 0.0009297012150671045, -0.7851329803396412, 0.1830351844535711], [0.001968836820556845, -0.01369687101188419, -0.1830339889161454, -0.7849407412710803]]","[[ 1.         -0.10911018 -0.01345623  0.00253341]
 [-0.10911049  0.99976296 -0.00123371 -0.01688407]
 [ 0.01347321  0.00114632 -0.96806781  0.22568211]
 [ 0.00242757 -0.01688822 -0.22568064 -0.96783078]]","[0.8995227110805994, 0.7225392444777581]"
0,60,4210,7560,"[[0.8189502569324422, -0.1043945314781084, -0.01137537612874865, 0.002497056527624408], [-0.1043954434887914, 0.818682531816849, -0.001287897415726397, -0.01735893698440837], [0.0113839972480268, 0.001296872197073983, -0.790149386260749, 0.1882485897992755], [0.00241840057515498, -0.01735278296985494, -0.1882481302639827, -0.7898816630929372]]","[[ 1.         -0.12747359 -0.01389019  0.00304909]
 [-0.12747471  0.99967309 -0.00157262 -0.02119657]
 [ 0.01390072  0.00158358 -0.96483197  0.22986572]
 [ 0.00295305 -0.02118906 -0.22986516 -0.96450506]]","[0.9233447879078855, 0.7145557250653329]"
0,60,4280,7560,"[[0.820584375926356, -0.1126665285633048, -0.02380122697510888, 0.01007473425311432], [-0.1126641602306857, 0.8163828400893021, -0.01308447155903044, -0.0777048305601487], [0.02385002991651807, 0.01263657753263096, -0.7572747475264534, 0.2948577119123335], [0.00998540969580531, -0.07778235439122852, -0.2948342321516237, -0.7530732779642779]]","[[ 1.         -0.13730036 -0.02900522  0.01227751]
 [-0.13729747  0.99487982 -0.01594531 -0.0946945 ]
 [ 0.02906469  0.01539949 -0.92284812  0.3593265 ]
 [ 0.01216866 -0.09478898 -0.35929789 -0.91772802]]","[0.9332509039816023, 0.7079178469776635]"
0,60,4350,7560,"[[0.8687206466452606, -0.07363704218570305, 0.001435235265663808, -0.001832307169912287], [-0.07363275418656973, 0.8678059607164423, 0.005889845363927124, 0.03934002328124946], [-0.001413810115488224, -0.00576262890528201, -0.8275689847358707, 0.2536653250770605], [-0.002012432247125349, 0.03936688089040636, -0.2536625234463398, -0.8266543131487387]]","[[ 1.         -0.08476493  0.00165213 -0.0021092 ]
 [-0.08475999  0.99894709  0.00677991  0.04528501]
 [-0.00162746 -0.00663347 -0.95262958  0.29199873]
 [-0.00231655  0.04531593 -0.2919955  -0.95157669]]","[0.9423576883179476, 0.7950836040267163]"
0,60,4420,7560,"[[0.8732659476120965, -0.0787748595476993, 0.005365483268716834, -0.001356725705171129], [-0.07877320380908842, 0.8731177028115282, 0.001881379532988258, 0.01498208040520821], [-0.005349807549699615, -0.001772029360174654, -0.8369304844406513, 0.2364955648917111], [-0.001506496909626434, 0.01500410252476084, -0.236495075387298, -0.8367822496950259]]","[[ 1.         -0.09020718  0.00614416 -0.00155362]
 [-0.09020529  0.99983024  0.00215442  0.01715638]
 [-0.00612621 -0.0020292  -0.9583913   0.27081734]
 [-0.00172513  0.0171816  -0.27081678 -0.95822155]]","[0.9520408066415079, 0.7944910876318794]"
0,60,4490,7560,"[[0.8724280282070684, -0.08268612918391416, 0.005859387129472559, -0.001101584702127647], [-0.08268506478078841, 0.8723682687830395, 0.0008632190576577884, 0.008234133021136182], [-0.005845700182983133, -0.000753935679182752, -0.838451314053058, 0.2264754297706193], [-0.001244876449863266, 0.008255525201868563, -0.2264753932959544, -0.8383915641202057]]","[[ 1.00000000e+00 -9.47770206e-02  6.71618396e-03 -1.26266542e-03]
 [-9.47758005e-02  9.99931502e-01  9.89444435e-04  9.43818029e-03]
 [-6.70049562e-03 -8.64180947e-04 -9.61054995e-01  2.59592107e-01]
 [-1.42691020e-03  9.46270057e-03 -2.59592065e-01 -9.60986508e-01]]","[0.9551141568710213, 0.7897418985932217]"
0,60,4560,7560,"[[0.8687522389182798, -0.08816877530731365, 0.006559259637453531, -0.001051297041937359], [-0.08816789023881738, 0.868708562369733, 0.0004285018958479297, 0.00560513110206802], [-0.006546684697934561, -0.0003206253135942957, -0.8366753547129958, 0.2166326329750329], [-0.001194195107659519, 0.005626222354458919, -0.2166328268357998, -0.8366316875632752]]","[[ 1.00000000e+00 -1.01488976e-01  7.55020746e-03 -1.21012297e-03]
 [-1.01487957e-01  9.99949725e-01  4.93238321e-04  6.45193284e-03]
 [-7.53573275e-03 -3.69064158e-04 -9.63077063e-01  2.49360661e-01]
 [-1.37460953e-03  6.47621048e-03 -2.49360885e-01 -9.63026799e-01]]","[0.9569210137046489, 0.7805834631860192]"
0,60,4630,7560,"[[0.8593389664471924, -0.09877199356756056, 0.008345660063635124, -0.001245206792094346], [-0.09877100930952748, 0.8592795307019327, 0.0002246468411968901, 0.005540928609153541], [-0.00833367071959697, -0.0001247855622240265, -0.8295112637130614, 0.2015362246067739], [-0.001394613737786182, 0.005561584118388758, -0.2015366341592029, -0.8294518375292909]]","[[ 1.00000000e+00 -1.14939503e-01  9.71172074e-03 -1.44902866e-03]
 [-1.14938357e-01  9.99930836e-01  2.61418195e-04  6.44789638e-03]
 [-9.69776892e-03 -1.45211107e-04 -9.65289945e-01  2.34524713e-01]
 [-1.62289131e-03  6.47193289e-03 -2.34525190e-01 -9.65220792e-01]]","[0.9581109594931608, 0.7605669724655829]"
