#wvl	CB	CD	kappa_real	kappa_im
210.0	0.00277425425	-0.00177707301	0.0005377095	-0.0003444345
211.0	0.00284454362	-0.00126127407	0.0005539584	-0.0002456258
212.0	0.00220901212	-0.00193714219	0.0004322312	-0.0003790351
213.0	0.00111527331	-0.00310289849	0.0002192517	-0.0006099992
214.0	-0.00023376809	-0.00425935811	-0.0000461723	-0.0008412790
215.0	-0.00167551771	-0.00508337003	-0.0003324831	-0.0010087239
216.0	-0.00308329316	-0.00540125705	-0.0006146823	-0.0010767893
217.0	-0.00436192549	-0.00516225568	-0.0008736150	-0.0010339067
218.0	-0.00544336083	-0.00441195603	-0.0010952310	-0.0008877073
219.0	-0.00623857980	-0.00333144634	-0.0012609909	-0.0006733782
220.0	-0.00696244439	-0.00200647635	-0.0014137302	-0.0004074167
221.0	-0.00731530893	-0.00049470525	-0.0014921314	-0.0001009069
222.0	-0.00715134434	0.00091843807	-0.0014652873	0.0001881850
223.0	-0.00685927538	0.00201746382	-0.0014117741	0.0004152338
224.0	-0.00618718045	0.00281168322	-0.0012791543	0.0005812949
225.0	-0.00502235487	0.00331545526	-0.0010429705	0.0006885061
226.0	-0.00368147519	0.00356690030	-0.0007679137	0.0007440147
227.0	-0.00219506902	0.00350084151	-0.0004598923	0.0007334667
228.0	-0.00064943792	0.00336895234	-0.0001366642	0.0007089438
229.0	0.00059342650	0.00308739948	0.0001254251	0.0006525449
230.0	0.00143037313	0.00253246876	0.0003036402	0.0005375936
231.0	0.00201471944	0.00191162326	0.0004295450	0.0004075646
232.0	0.00228973846	0.00126420099	0.0004902933	0.0002706987
233.0	0.00214766796	0.00060447762	0.0004618545	0.0001299925
234.0	0.00191636269	-0.00003085613	0.0004138812	-0.0000066641
235.0	0.00175738977	-0.00062459201	0.0003811694	-0.0001354710
236.0	0.00150963075	-0.00108444022	0.0003288250	-0.0002362108
237.0	0.00117506741	-0.00133875611	0.0002570356	-0.0002928410
238.0	0.00085131658	-0.00141646114	0.0001870037	-0.0003111457
239.0	0.00060037665	-0.00135529015	0.0001324353	-0.0002989595
