Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
210.000000	1.712269	0.000000	
211.000000	1.708058	0.000000	
212.000000	1.703708	0.000002	
213.000000	1.699177	0.000005	
214.000000	1.694411	0.000015	
215.000000	1.689338	0.000044	
216.000000	1.683860	0.000115	
217.000000	1.677845	0.000285	
218.000000	1.671128	0.000660	
219.000000	1.663515	0.001432	
220.000000	1.654816	0.002924	
221.000000	1.644896	0.005622	
222.000000	1.633779	0.010194	
223.000000	1.621769	0.017454	
224.000000	1.609581	0.028254	
225.000000	1.598429	0.043266	
226.000000	1.590001	0.062697	
227.000000	1.586237	0.085987	
228.000000	1.588924	0.111629	
229.000000	1.599170	0.137263	
230.000000	1.616978	0.160085	
231.000000	1.641127	0.177453	
232.000000	1.669409	0.187465	
233.000000	1.699111	0.189284	
234.000000	1.727541	0.183167	
235.000000	1.752446	0.170269	
236.000000	1.772259	0.152333	
237.000000	1.786185	0.131349	
238.000000	1.794149	0.109260	
239.000000	1.796664	0.087739	
240.000000	1.794637	0.068048	
241.000000	1.789183	0.050989	
242.000000	1.781442	0.036924	
243.000000	1.772441	0.025850	
244.000000	1.763014	0.017503	
245.000000	1.753765	0.011468	
246.000000	1.745075	0.007275	
247.000000	1.737140	0.004472	
248.000000	1.730018	0.002666	
249.000000	1.723676	0.001542	
250.000000	1.718034	0.000866	
251.000000	1.712990	0.000473	
252.000000	1.708445	0.000251	
253.000000	1.704305	0.000130	
254.000000	1.700492	0.000065	
255.000000	1.696941	0.000032	
256.000000	1.693599	0.000015	
257.000000	1.690421	0.000007	
258.000000	1.687370	0.000003	
259.000000	1.684415	0.000001	
260.000000	1.681527	0.000001	
261.000000	1.678676	0.000001	
262.000000	1.675833	0.000001	
263.000000	1.672963	0.000004	
264.000000	1.670023	0.000013	
265.000000	1.666959	0.000040	
266.000000	1.663696	0.000111	
267.000000	1.660140	0.000286	
268.000000	1.656183	0.000679	
269.000000	1.651725	0.001491	
270.000000	1.646727	0.003030	
271.000000	1.641288	0.005704	
272.000000	1.635735	0.009966	
273.000000	1.630687	0.016180	
274.000000	1.627040	0.024433	
275.000000	1.625815	0.034348	
276.000000	1.627880	0.044995	
277.000000	1.633628	0.054992	
278.000000	1.642742	0.062807	
279.000000	1.654184	0.067173	
280.000000	1.666428	0.067430	
281.000000	1.677849	0.063680	
282.000000	1.687097	0.056694	
283.000000	1.693351	0.047667	
284.000000	1.696398	0.037901	
285.000000	1.696543	0.028527	
286.000000	1.694432	0.020343	
287.000000	1.690841	0.013754	
288.000000	1.686499	0.008823	
289.000000	1.681981	0.005375	
290.000000	1.677662	0.003111	
291.000000	1.673743	0.001713	
292.000000	1.670286	0.000899	
293.000000	1.667272	0.000449	
294.000000	1.664645	0.000214	
295.000000	1.662333	0.000098	
296.000000	1.660274	0.000043	
297.000000	1.658414	0.000018	
298.000000	1.656712	0.000007	
299.000000	1.655136	0.000003	
300.000000	1.653665	0.000001	
301.000000	1.652279	0.000000	
302.000000	1.650968	0.000000	
303.000000	1.649719	0.000000	
304.000000	1.648526	0.000000	
305.000000	1.647382	0.000000	
306.000000	1.646282	0.000000	
307.000000	1.645221	0.000000	
308.000000	1.644196	0.000000	
309.000000	1.643204	0.000000	
310.000000	1.642241	0.000000	
311.000000	1.641306	0.000000	
312.000000	1.640396	0.000000	
313.000000	1.639511	0.000000	
314.000000	1.638647	0.000000	
315.000000	1.637805	0.000000	
316.000000	1.636982	0.000000	
317.000000	1.636177	0.000000	
318.000000	1.635390	0.000000	
319.000000	1.634619	0.000000	
320.000000	1.633864	0.000000	
