azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H
35,60,6200,,4000,"[[0.00012497989519278678, 9.124557440892965e-05, -7.436391755278415e-05, -2.883536836110553e-06], [5.157005289720872e-05, 6.59674455297126e-05, -5.504312608296352e-06, -5.777660730556918e-06], [-0.00010534614577757911, -7.561605013119694e-05, 8.440300186868423e-05, -3.4740470641757692e-06], [-1.0333493198630911e-05, -3.489452214631391e-06, 1.1477821516484595e-05, 4.14581325298866e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986303, 0.9873616548774701]",,
36,60,6200,,4000,"[[0.0001249798951927903, 9.124557440893613e-05, -7.436391755278154e-05, -2.8835368361218726e-06], [5.157005289721056e-05, 6.596744552971414e-05, -5.5043126082934384e-06, -5.777660730561095e-06], [-0.00010534614577758253, -7.561605013120374e-05, 8.440300186868309e-05, -3.4740470641633467e-06], [-1.0333493198628162e-05, -3.489452214627675e-06, 1.1477821516478749e-05, 4.145813252988821e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986305, 0.9873616548774704]",,
37,60,6200,,4000,"[[0.0001249798951928063, 9.124557440895237e-05, -7.436391755278837e-05, -2.883536836117434e-06], [5.157005289722562e-05, 6.596744552972589e-05, -5.50431260830096e-06, -5.7776607305577545e-06], [-0.00010534614577759386, -7.561605013121323e-05, 8.440300186868881e-05, -3.4740470641673718e-06], [-1.033349319862905e-05, -3.489452214630827e-06, 1.1477821516479237e-05, 4.1458132529888534e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986325, 0.9873616548774728]",,
38,60,6200,,4000,"[[0.0001249798951928163, 9.124557440895679e-05, -7.436391755279555e-05, -2.883536836124732e-06], [5.157005289722951e-05, 6.596744552973328e-05, -5.504312608300303e-06, -5.777660730558642e-06], [-0.00010534614577760092, -7.561605013121593e-05, 8.440300186869893e-05, -3.47404706416016e-06], [-1.0333493198630384e-05, -3.489452214631159e-06, 1.1477821516476772e-05, 4.145813252989646e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986305, 0.9873616548774714]",,
39,60,6200,,4000,"[[0.00012497989519279882, 9.124557440894554e-05, -7.436391755278423e-05, -2.8835368361149083e-06], [5.1570052897219736e-05, 6.596744552972164e-05, -5.504312608297694e-06, -5.777660730557495e-06], [-0.00010534614577758784, -7.561605013120876e-05, 8.440300186868524e-05, -3.4740470641702093e-06], [-1.0333493198628836e-05, -3.489452214630621e-06, 1.1477821516480472e-05, 4.145813252988822e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986287, 0.9873616548774687]",,
40,60,6200,,4000,"[[0.00012497989519280625, 9.124557440895429e-05, -7.436391755278533e-05, -2.8835368361163245e-06], [5.157005289722691e-05, 6.596744552972757e-05, -5.5043126082995845e-06, -5.7776607305595485e-06], [-0.00010534614577759267, -7.561605013121472e-05, 8.440300186868644e-05, -3.474047064169884e-06], [-1.0333493198629415e-05, -3.4894522146300814e-06, 1.1477821516481739e-05, 4.145813252988912e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986289, 0.98736165487747]",,
41,60,6200,,4000,"[[0.00012497989519280413, 9.124557440894647e-05, -7.436391755278984e-05, -2.8835368361213864e-06], [5.157005289722188e-05, 6.596744552972542e-05, -5.504312608298588e-06, -5.7776607305573056e-06], [-0.00010534614577759131, -7.561605013120832e-05, 8.440300186869187e-05, -3.47404706416449e-06], [-1.0333493198633339e-05, -3.489452214633883e-06, 1.1477821516480079e-05, 4.145813252989263e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.99728932289863, 0.9873616548774751]",,
42,60,6200,,4000,"[[0.00012497989519280064, 9.124557440894703e-05, -7.436391755278514e-05, -2.8835368361132583e-06], [5.1570052897220684e-05, 6.596744552972264e-05, -5.504312608297985e-06, -5.777660730558949e-06], [-0.00010534614577758903, -7.561605013121e-05, 8.440300186868576e-05, -3.4740470641738516e-06], [-1.033349319863139e-05, -3.4894522146313867e-06, 1.1477821516484785e-05, 4.145813252988825e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986324, 0.9873616548774758]",,
43,60,6200,,4000,"[[0.0001249798951927944, 9.124557440894003e-05, -7.436391755278247e-05, -2.8835368361243087e-06], [5.157005289721379e-05, 6.596744552971821e-05, -5.50431260829314e-06, -5.777660730557128e-06], [-0.00010534614577758486, -7.561605013120575e-05, 8.440300186868527e-05, -3.474047064159657e-06], [-1.0333493198630376e-05, -3.4894522146322515e-06, 1.1477821516475622e-05, 4.1458132529891096e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986301, 0.9873616548774694]",,
44,60,6200,,4000,"[[0.00012497989519280096, 9.12455744089501e-05, -7.436391755278192e-05, -2.8835368361184404e-06], [5.15700528972225e-05, 6.596744552972347e-05, -5.504312608297172e-06, -5.777660730563741e-06], [-0.00010534614577758841, -7.561605013121282e-05, 8.440300186868241e-05, -3.474047064171053e-06], [-1.0333493198633767e-05, -3.489452214630432e-06, 1.1477821516487482e-05, 4.14581325298878e-05]]","[[ 1.          0.73008202 -0.59500704 -0.02307201]
 [ 0.41262679  0.52782446 -0.04404158 -0.04622872]
 [-0.84290474 -0.60502571  0.67533263 -0.02779685]
 [-0.08268124 -0.02792011  0.09183734  0.33171841]]",,,"[0.9972893228986295, 0.9873616548774723]",,
