azi,aoi,wvl,radius,pitch,mm,dmm,abs pillar,abs substrate,reflected flux,E,H
39,60,3500,,4000,"[[6.344990116978456e-05, 3.132117674575827e-05, -2.6627047436135723e-05, 1.791672628939324e-05], [1.3067287015553889e-05, 3.3776109906735185e-05, 2.351502870659976e-05, 2.217739669266752e-05], [-4.168878257253973e-05, -2.9460072022089944e-05, 4.5725601587682203e-05, -2.8179659648396455e-05], [-1.0115150345245966e-05, -3.141909894286578e-05, 8.948605989745495e-06, 3.2402840131488065e-05]]","[[ 1.          0.49363634 -0.41965467  0.28237595]
 [ 0.20594653  0.53232723  0.37060781  0.3495261 ]
 [-0.65703463 -0.46430446  0.72065678 -0.44412456]
 [-0.15941948 -0.49517964  0.1410342   0.51068386]]",,,"[0.9931176149563626, 0.9209371785217029]",,
39,60,3524,,4000,"[[0.00013919936256384508, 0.00011013356102583882, 4.050187985404564e-05, 1.3659185933353067e-05], [0.00010235022657347292, 0.00012359093355947178, 2.047989704672541e-05, -1.4195403494447417e-05], [-5.847660364336115e-05, -4.696176576661892e-05, -5.218637068985385e-05, -6.25361822135019e-05], [7.829102311352367e-06, -8.32830139264809e-06, 6.259108918019728e-05, -3.865715245626091e-05]]","[[ 1.          0.791193    0.29096311  0.09812679]
 [ 0.73527798  0.88786997  0.14712637 -0.10197894]
 [-0.42009247 -0.33737055 -0.37490381 -0.44925624]
 [ 0.05624381 -0.05983003  0.44965069 -0.2777107 ]]",,,"[0.9933724985194998, 0.9269966489429697]",,
39,60,3548,,4000,"[[5.2224495113358264e-05, 2.577044548060048e-05, 2.07557158910517e-05, -4.740389900080049e-06], [2.7198967440209743e-05, 4.7405525265676065e-05, 8.231118590553203e-06, -5.895734209488202e-06], [-1.4804126611447866e-05, -4.992331402213367e-06, -3.6146117452820814e-05, -2.2309369690936534e-05], [1.2587331102424774e-05, -1.3855153359549415e-06, 2.581700240165248e-05, -3.316646845159605e-05]]","[[ 1.          0.49345514  0.39743258 -0.09076947]
 [ 0.52080862  0.90772587  0.1576103  -0.11289212]
 [-0.28347094 -0.09559367 -0.69212957 -0.4271821 ]
 [ 0.24102351 -0.02652999  0.49434662 -0.63507495]]",,,"[0.9935998845679787, 0.9312144502454501]",,
39,60,3572,,4000,"[[0.00016590047762423947, 0.00013681264915129518, 2.220423913214185e-05, 5.234981875916943e-05], [0.00012371203819220477, 0.00014224507374996695, 2.3066030002877772e-05, 1.0521473092799541e-05], [-8.145078315505781e-05, -6.19819421415025e-05, -1.3347200377512423e-05, -9.047683082216346e-05], [-3.512016103157765e-06, -1.4629236433575732e-05, 7.317495805278187e-05, -3.934585245380462e-06]]","[[ 1.          0.824667    0.13384072  0.31554954]
 [ 0.74570031  0.85741208  0.13903534  0.06342039]
 [-0.49096172 -0.37360918 -0.08045306 -0.54536812]
 [-0.02116942 -0.0881808   0.44107744 -0.02371654]]",,,"[0.9938593803052983, 0.9382686113678177]",,
39,60,3596,,4000,"[[0.001394970443010618, 0.0013685164024932, -0.00010029733570161744, -7.165475832916518e-05], [0.0010283456282461734, 0.0010399610410577868, -0.00016742153269026663, 7.653252672504366e-05], [-0.0008983916161660482, -0.0009118219163398429, -6.792657979570686e-05, 0.0001702518771623213], [0.00015306494276130913, 0.000133455621453452, -0.0001879547784388531, -0.000167937214777587]]","[[ 1.          0.98103613 -0.07189926 -0.05136651]
 [ 0.73718094  0.74550758 -0.12001798  0.05486319]
 [-0.64402197 -0.65364963 -0.04869392  0.12204694]
 [ 0.1097263   0.09566914 -0.13473746 -0.12038765]]",,,"[1.0323035194598236, 1.7456542977390392]",,
39,60,3620,,4000,"[[0.0001589532287788109, 3.086007068574351e-05, 6.60925888768573e-05, 0.00011990839486854882], [9.995702888996828e-05, 6.533563792930862e-05, 7.694345591618652e-05, 7.32795888678212e-05], [-9.814356850161971e-05, 2.0344931280391108e-05, -3.342946237496263e-05, -0.0001169112756188728], [-8.661972314901516e-06, -4.286273045873699e-05, 5.383249440182854e-05, -3.0123249502098536e-05]]","[[ 1.          0.1941456   0.41579897  0.75436275]
 [ 0.62884554  0.41103687  0.4840635   0.46101353]
 [-0.61743677  0.12799319 -0.21031006 -0.7355074 ]
 [-0.05449384 -0.26965624  0.33866877 -0.18951015]]",,,"[1.0241785242805723, 1.9023191930536987]",,
39,60,3644,,4000,"[[4.3936071015733374e-05, 1.6200104780569008e-05, 2.508110846064054e-05, -1.4752738543136312e-05], [2.377064201560005e-05, 3.256059761260666e-05, 1.3667519870221853e-05, -1.1801671525780221e-05], [-1.4754395929964183e-05, -1.446256692540009e-06, -3.067373660902955e-05, -9.795512673612557e-06], [1.806690537823274e-05, -4.624809709837641e-06, 1.796141503092066e-05, -2.834856998937373e-05]]","[[ 1.          0.36871992  0.5708546  -0.33577737]
 [ 0.54102794  0.74109034  0.31107743 -0.26861008]
 [-0.3358151  -0.0329173  -0.69814473 -0.22294922]
 [ 0.41120894 -0.10526225  0.40880795 -0.64522315]]",,,"[0.9944697551719217, 0.941309317049324]",,
39,60,3668,,4000,"[[5.024188525224566e-05, 2.6410399342301336e-05, 2.6674010695448622e-05, -1.2513703139307746e-05], [2.6062039164279606e-05, 3.9413670241266144e-05, 7.746267811821066e-06, -4.942675989894719e-06], [-2.1000446862494753e-05, -7.931905642383104e-06, -3.5603233529538736e-05, -8.31598647102596e-06], [2.11034630436464e-05, 6.308636291089792e-06, 1.8508110958440417e-05, -3.19632494714119e-05]]","[[ 1.          0.52566497  0.53091182 -0.24906914]
 [ 0.51873131  0.78447833  0.15417948 -0.0983776 ]
 [-0.41798684 -0.15787436 -0.7086365  -0.165519  ]
 [ 0.42003724  0.12556528  0.3683801  -0.6361873 ]]",,,"[0.9947389122310578, 0.9434529253743039]",,
39,60,3692,,4000,"[[5.281008248803846e-05, 3.129633111756477e-05, 2.668092008991607e-05, -1.1009656276810225e-05], [2.8728163637223167e-05, 4.1795706363663133e-05, 6.116349778801557e-06, -4.168575740952068e-06], [-2.3378530423801736e-05, -1.163795182914687e-05, -3.621630452924042e-05, -8.709390968350235e-06], [2.0992410506050795e-05, 8.573085267296617e-06, 1.8417423578458018e-05, -3.169136253588747e-05]]","[[ 1.          0.59262038  0.50522398 -0.20847641]
 [ 0.54399013  0.79143422  0.11581784 -0.07893522]
 [-0.44269066 -0.22037367 -0.6857839  -0.16491909]
 [ 0.39750763  0.16233804  0.34874824 -0.60010061]]",,,"[0.994912764218645, 0.9451051673856266]",,
39,60,3716,,4000,"[[5.258501866061735e-05, 3.3150278644151365e-05, 2.542228111582218e-05, -1.0344676047934449e-05], [2.923382851950619e-05, 4.161329285488957e-05, 4.688439160074852e-06, -3.729294786868544e-06], [-2.3982562835756268e-05, -1.3615499214491627e-05, -3.51638994794862e-05, -8.137578779450538e-06], [2.055396856508701e-05, 9.738148016037297e-06, 1.7342133734196427e-05, -3.065653287998462e-05]]","[[ 1.          0.63041299  0.48345102 -0.19672287]
 [ 0.55593455  0.79135263  0.08915922 -0.07091934]
 [-0.45607216 -0.25892354 -0.66870566 -0.1547509 ]
 [ 0.39087119  0.18518864  0.32979229 -0.58298986]]",,,"[0.9950593445988398, 0.9464167690744194]",,
